Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
1,Damià Abella,es ESP,"DF,MF",Barcelona,22,1982,9,5,458,5.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Demetrio Albertini,it ITA,"FW,MF",Barcelona,32,1971,5,1,259,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Juliano Belletti,br BRA,"DF,MF",Barcelona,28,1976,31,29,2536,28.2,0,4,4,0,0,0,10,0,0.00,0.14,0.14,0.00,0.14,Matches
82,Giovanni van Bronckhorst,nl NED,"DF,MF",Barcelona,29,1975,29,27,2388,26.5,4,1,5,4,0,0,8,0,0.15,0.04,0.19,0.15,0.19,Matches
135,Deco,pt POR,MF,Barcelona,26,1977,35,35,2947,32.7,8,11,19,8,0,0,13,0,0.24,0.34,0.58,0.24,0.58,Matches
152,Edmílson,br BRA,"DF,MF",Barcelona,28,1976,6,4,362,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
158,Samuel Eto'o,cm CMR,FW,Barcelona,23,1981,37,37,3036,33.7,24,3,27,20,4,5,4,0,0.71,0.09,0.80,0.59,0.68,Matches
188,Gabri García,es ESP,"DF,MF",Barcelona,25,1979,4,2,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
206,Ludovic Giuly,fr FRA,"FW,MF",Barcelona,28,1976,29,29,2080,23.1,11,4,15,11,0,0,1,0,0.48,0.17,0.65,0.48,0.65,Matches
225,Andrés Iniesta,es ESP,MF,Barcelona,20,1984,37,12,1657,18.4,2,2,4,2,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches
242,Albert Jorquera,es ESP,GK,Barcelona,25,1979,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
267,Henrik Larsson,se SWE,FW,Barcelona,32,1971,12,6,571,6.3,3,0,3,3,0,0,1,0,0.47,0.00,0.47,0.47,0.47,Matches
276,Gerard López,es ESP,MF,Barcelona,25,1979,13,2,302,3.4,2,0,2,2,0,0,2,0,0.60,0.00,0.60,0.60,0.60,Matches
279,Maxi López,ar ARG,FW,Barcelona,20,1984,8,2,237,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
303,Rafael Márquez,mx MEX,"DF,MF",Barcelona,25,1979,34,33,2715,30.2,3,4,7,3,0,0,7,1,0.10,0.13,0.23,0.10,0.23,Matches
314,Lionel Messi,ar ARG,"FW,MF",Barcelona,17,1987,7,0,70,0.8,1,0,1,1,0,0,0,0,1.29,0.00,1.29,1.29,1.29,Matches
340,Thiago Motta,it ITA,MF,Barcelona,21,1982,8,3,273,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
355,Fernando Navarro,es ESP,DF,Barcelona,22,1982,5,2,217,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
411,Oleguer Presas,es ESP,DF,Barcelona,24,1980,36,33,2926,32.5,1,1,2,1,0,0,3,0,0.03,0.03,0.06,0.03,0.06,Matches
418,Carles Puyol,es ESP,DF,Barcelona,26,1978,36,36,3109,34.5,0,1,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,Matches
436,Rodri,es ESP,DF,Barcelona,19,1984,1,0,3,0.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
446,Ronaldinho,br BRA,"FW,MF",Barcelona,24,1980,35,35,3071,34.1,9,9,18,6,3,4,5,0,0.26,0.26,0.53,0.18,0.44,Matches
452,Rubén,es ESP,GK,Barcelona,20,1984,2,1,105,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
497,Sylvinho,br BRA,DF,Barcelona,30,1974,21,11,960,10.7,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches
519,Víctor Valdés,es ESP,GK,Barcelona,22,1982,35,35,3135,34.8,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
535,Xavi,es ESP,MF,Barcelona,24,1980,36,36,3052,33.9,3,6,9,3,0,0,5,0,0.09,0.18,0.27,0.09,0.27,Matches
