Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
3,Éric Abidal,fr FRA,DF,Barcelona,30,1979,26,23,2023,22.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Adriano,br BRA,"DF,MF",Barcelona,25,1984,14,11,937,10.4,0,1,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches
10,Ibrahim Afellay,nl NED,"FW,MF",Barcelona,24,1986,16,7,669,7.4,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches
20,Thiago Alcántara,es ESP,MF,Barcelona,19,1991,12,6,666,7.4,2,0,2,2,0,0,1,0,0.27,0.00,0.27,0.27,0.27,Matches
30,Dani Alves,br BRA,"DF,MF",Barcelona,27,1983,35,31,2905,32.3,2,14,16,2,0,0,10,0,0.06,0.43,0.50,0.06,0.50,Matches
65,Marc Bartra,es ESP,DF,Barcelona,19,1991,2,2,180,2.0,1,,,1,0,,0,0,0.50,,,0.50,,Matches
80,Sergio Busquets,es ESP,MF,Barcelona,22,1988,28,25,2300,25.6,1,2,3,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,Matches
159,Jonathan dos Santos,mx MEX,MF,Barcelona,20,1990,2,1,88,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
191,Andreu Fontàs,es ESP,DF,Barcelona,20,1989,6,5,459,5.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
244,Andrés Iniesta,es ESP,MF,Barcelona,26,1984,34,32,2786,31.0,8,4,12,8,0,0,1,0,0.26,0.13,0.39,0.26,0.39,Matches
271,Seydou Keita,ml MLI,MF,Barcelona,30,1980,35,15,1558,17.3,3,2,5,3,0,0,2,0,0.17,0.12,0.29,0.17,0.29,Matches
277,Bojan Krkić,es ESP,"FW,MF",Barcelona,19,1990,27,9,949,10.5,6,2,8,5,1,1,2,0,0.57,0.19,0.76,0.47,0.66,Matches
321,José Manuel Pinto,es ESP,GK,Barcelona,34,1975,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
333,Javier Mascherano,ar ARG,"DF,MF",Barcelona,26,1984,27,18,1542,17.1,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
338,Maxwell,br BRA,DF,Barcelona,28,1981,25,19,1820,20.2,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches
344,Lionel Messi,ar ARG,"FW,MF",Barcelona,23,1987,33,31,2858,31.8,31,19,50,27,4,4,3,0,0.98,0.60,1.57,0.85,1.45,Matches
348,Gabriel Milito,ar ARG,DF,Barcelona,29,1980,10,8,645,7.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
354,Martín Montoya,es ESP,DF,Barcelona,19,1991,2,1,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
378,Nolito,es ESP,"FW,MF",Barcelona,23,1986,2,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
404,Pedro,es ESP,"FW,MF",Barcelona,23,1987,33,24,2126,23.6,13,9,22,13,0,0,2,0,0.55,0.38,0.93,0.55,0.93,Matches
418,Gerard Piqué,es ESP,DF,Barcelona,23,1987,31,29,2649,29.4,3,1,4,3,0,0,11,1,0.10,0.03,0.14,0.10,0.14,Matches
429,Carles Puyol,es ESP,DF,Barcelona,32,1978,17,17,1381,15.3,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches
445,Sergi Roberto,es ESP,"DF,MF",Barcelona,18,1992,1,1,90,1.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
456,Oriol Romeu,es ESP,MF,Barcelona,18,1991,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
500,Jeffrén Suárez,ve VEN,"FW,MF",Barcelona,22,1988,8,4,305,3.4,1,1,2,1,0,0,0,0,0.30,0.30,0.59,0.30,0.59,Matches
531,Víctor Valdés,es ESP,GK,Barcelona,28,1982,32,32,2880,32.0,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
548,David Villa,es ESP,"FW,MF",Barcelona,28,1981,34,32,2744,30.5,18,6,24,18,0,0,3,1,0.59,0.20,0.79,0.59,0.79,Matches
551,Xavi,es ESP,MF,Barcelona,30,1980,31,29,2451,27.2,3,11,14,3,0,0,6,0,0.11,0.40,0.51,0.11,0.51,Matches
