Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2,Éric Abidal,fr FRA,DF,Barcelona,32,1979,5,2,187,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Adriano,br BRA,"DF,MF",Barcelona,27,1984,23,18,1428,15.9,5,1,6,5,0,0,3,0,0.32,0.06,0.38,0.32,0.38,Matches
15,Jordi Alba,es ESP,"DF,MF",Barcelona,23,1989,29,27,2497,27.7,2,5,7,2,0,0,3,0,0.07,0.18,0.25,0.07,0.25,Matches
19,Thiago Alcántara,es ESP,MF,Barcelona,21,1991,27,15,1415,15.7,2,4,6,2,0,0,4,0,0.13,0.25,0.38,0.13,0.38,Matches
28,Dani Alves,br BRA,"DF,MF",Barcelona,29,1983,30,26,2265,25.2,0,6,6,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,Matches
71,Marc Bartra,es ESP,DF,Barcelona,21,1991,8,3,400,4.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
94,Sergio Busquets,es ESP,MF,Barcelona,24,1988,31,25,2250,25.0,1,2,3,1,0,0,9,0,0.04,0.08,0.12,0.04,0.12,Matches
147,Gerard Deulofeu,es ESP,"FW,MF",Barcelona,18,1994,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
158,Jonathan dos Santos,mx MEX,MF,Barcelona,22,1990,3,0,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
172,Cesc Fàbregas,es ESP,"FW,MF",Barcelona,25,1987,32,30,2296,25.5,11,12,23,11,0,0,7,0,0.43,0.47,0.90,0.43,0.90,Matches
235,Andrés Iniesta,es ESP,MF,Barcelona,28,1984,31,24,2091,23.2,3,15,18,3,0,0,4,0,0.13,0.65,0.77,0.13,0.77,Matches
316,José Manuel Pinto,es ESP,GK,Barcelona,36,1975,7,7,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
332,Javier Mascherano,ar ARG,"DF,MF",Barcelona,28,1984,25,21,1934,21.5,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
339,Lionel Messi,ar ARG,"FW,MF",Barcelona,25,1987,32,28,2650,29.4,46,11,57,42,4,4,1,0,1.56,0.37,1.94,1.43,1.80,Matches
353,Martín Montoya,es ESP,DF,Barcelona,21,1991,15,11,1154,12.8,1,3,4,1,0,0,0,0,0.08,0.23,0.31,0.08,0.31,Matches
401,Pedro,es ESP,"FW,MF",Barcelona,25,1987,28,23,2066,23.0,7,7,14,7,0,0,3,0,0.30,0.30,0.61,0.30,0.61,Matches
420,Gerard Piqué,es ESP,DF,Barcelona,25,1987,28,27,2399,26.7,2,0,2,2,0,0,6,1,0.08,0.00,0.08,0.08,0.08,Matches
431,Carles Puyol,es ESP,DF,Barcelona,34,1978,13,12,963,10.7,1,0,1,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches
450,Sergi Roberto,es ESP,"DF,MF",Barcelona,20,1992,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
475,Alexis Sánchez,cl CHI,"FW,MF",Barcelona,23,1988,29,18,1706,19.0,8,9,17,8,0,0,4,0,0.42,0.47,0.90,0.42,0.90,Matches
496,Alexandre Song,cm CMR,"DF,MF",Barcelona,24,1987,20,17,1539,17.1,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches
504,Cristian Tello,es ESP,"FW,MF",Barcelona,20,1991,22,12,1178,13.1,7,4,11,7,0,0,0,0,0.53,0.31,0.84,0.53,0.84,Matches
525,Víctor Valdés,es ESP,GK,Barcelona,30,1982,31,31,2790,31.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
542,David Villa,es ESP,"FW,MF",Barcelona,30,1981,28,17,1414,15.7,10,5,15,10,0,1,1,0,0.64,0.32,0.95,0.64,0.95,Matches
546,Xavi,es ESP,MF,Barcelona,32,1980,30,24,2192,24.4,5,7,12,5,0,0,0,0,0.21,0.29,0.49,0.21,0.49,Matches
