Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Squad
Víctor Valdés,es ESP,GK,23,35,35,3150,35.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Barcelona
Carles Puyol,es ESP,DF,27,35,35,3133,34.8,1,0,1,1,0,0,7,1,0.03,0.00,0.03,0.03,0.03,Matches,Barcelona
Samuel Eto'o,cm CMR,FW,24,34,34,3015,33.5,26,5,31,25,1,2,1,0,0.78,0.15,0.93,0.75,0.90,Matches,Barcelona
Oleguer Presas,es ESP,DF,25,33,31,2725,30.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Barcelona
Ronaldinho,br BRA,"FW,MF",25,29,29,2523,28.0,17,14,31,10,7,8,5,0,0.61,0.50,1.11,0.36,0.86,Matches,Barcelona
Deco,pt POR,MF,27,29,28,2373,26.4,3,7,10,3,0,0,7,1,0.11,0.27,0.38,0.11,0.38,Matches,Barcelona
Rafael Márquez,mx MEX,"DF,MF",26,25,25,1976,22.0,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,Barcelona
Edmílson,br BRA,"DF,MF",29,28,24,2192,24.4,0,2,2,0,0,0,10,1,0.00,0.08,0.08,0.00,0.08,Matches,Barcelona
Sylvinho,br BRA,DF,31,26,22,2024,22.5,2,4,6,2,0,0,5,0,0.09,0.18,0.27,0.09,0.27,Matches,Barcelona
Ludovic Giuly,fr FRA,"FW,MF",29,30,21,1752,19.5,5,5,10,5,0,0,1,0,0.26,0.26,0.51,0.26,0.51,Matches,Barcelona
Juliano Belletti,br BRA,"DF,MF",29,27,20,1712,19.0,0,1,1,0,0,0,9,0,0.00,0.05,0.05,0.00,0.05,Matches,Barcelona
Mark van Bommel,nl NED,MF,28,24,17,1555,17.3,2,2,4,2,0,0,4,0,0.12,0.12,0.23,0.12,0.23,Matches,Barcelona
Giovanni van Bronckhorst,nl NED,"DF,MF",30,19,15,1392,15.5,0,2,2,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,Matches,Barcelona
Andrés Iniesta,es ESP,MF,21,33,14,1662,18.5,0,4,4,0,0,0,3,0,0.00,0.22,0.22,0.00,0.22,Matches,Barcelona
Henrik Larsson,se SWE,FW,33,28,14,1345,14.9,10,1,11,10,0,0,0,0,0.67,0.07,0.74,0.67,0.74,Matches,Barcelona
Xavi,es ESP,MF,25,16,14,1215,13.5,0,1,1,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,Matches,Barcelona
Lionel Messi,ar ARG,"FW,MF",18,17,11,911,10.1,6,3,9,6,0,0,2,0,0.59,0.30,0.89,0.59,0.89,Matches,Barcelona
Thiago Motta,it ITA,MF,22,15,11,908,10.1,1,1,2,1,0,0,3,1,0.10,0.10,0.20,0.10,0.20,Matches,Barcelona
Gabri García,es ESP,"DF,MF",26,11,4,428,4.8,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,Barcelona
Santiago Ezquerro,es ESP,FW,28,12,3,475,5.3,2,0,2,2,0,0,0,0,0.38,0.00,0.38,0.38,0.38,Matches,Barcelona
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,Barcelona
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Barcelona
Albert Jorquera,es ESP,GK,26,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Barcelona
Rodri,es ESP,DF,20,4,3,254,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Barcelona
Maxi López,ar ARG,FW,21,6,2,272,3.0,0,1,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches,Barcelona
Ludovic Sylvestre,gp GLP,MF,21,2,1,107,1.2,0,,,0,0,,0,0,0.00,,,0.00,,Matches,Barcelona
Jesús Olmo,es ESP,DF,20,1,1,90,1.0,0,,,0,0,,1,0,0.00,,,0.00,,Matches,Barcelona
Andrea Orlandi,es ESP,"FW,MF",20,1,1,73,0.8,0,,,0,0,,0,0,0.00,,,0.00,,Matches,Barcelona
Pitu,es ESP,MF,21,1,0,29,0.3,0,,,0,0,,0,0,0.00,,,0.00,,Matches,Barcelona
Paco Montañés,es ESP,"FW,MF",18,1,0,21,0.2,0,,,0,0,,0,0,0.00,,,0.00,,Matches,Barcelona
Francisco Martos,es ESP,"DF,MF",21,1,0,17,0.2,0,,,0,0,,0,0,0.00,,,0.00,,Matches,Barcelona
Ramón Masó,es ESP,MF,17,1,0,10,0.1,0,,,0,0,,0,0,0.00,,,0.00,,Matches,Barcelona
