Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
62,Juliano Belletti,br BRA,"DF,MF",es Barcelona,29,1976,10,7,641,7.1,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches
78,Mark van Bommel,nl NED,MF,es Barcelona,28,1977,9,7,513,5.7,1,0,1,1,0,0,2,0,0.18,0.00,0.18,0.18,0.18,Matches
87,Giovanni van Bronckhorst,nl NED,"DF,MF",es Barcelona,30,1975,13,13,1148,12.8,0,1,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,Matches
155,Deco,pt POR,MF,es Barcelona,27,1977,11,11,969,10.8,2,0,2,2,0,0,3,0,0.19,0.00,0.19,0.19,0.19,Matches
187,Edmílson,br BRA,"DF,MF",es Barcelona,29,1976,9,7,637,7.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
196,Samuel Eto'o,cm CMR,FW,es Barcelona,24,1981,11,11,978,10.9,6,0,6,6,0,0,1,0,0.55,0.00,0.55,0.55,0.55,Matches
197,Santiago Ezquerro,es ESP,FW,es Barcelona,28,1976,4,1,157,1.7,1,0,1,1,0,0,0,0,0.57,0.00,0.57,0.57,0.57,Matches
227,Gabri García,es ESP,"DF,MF",es Barcelona,26,1979,4,2,211,2.3,1,0,1,1,0,0,0,0,0.43,0.00,0.43,0.43,0.43,Matches
243,Ludovic Giuly,fr FRA,"FW,MF",es Barcelona,29,1976,8,6,466,5.2,1,1,2,1,0,0,0,0,0.19,0.19,0.39,0.19,0.39,Matches
287,Andrés Iniesta,es ESP,MF,es Barcelona,21,1984,10,5,519,5.8,1,2,3,1,0,0,2,0,0.17,0.35,0.52,0.17,0.52,Matches
302,Albert Jorquera,es ESP,GK,es Barcelona,26,1979,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
344,Henrik Larsson,se SWE,FW,es Barcelona,33,1971,10,5,560,6.2,1,3,4,1,0,0,1,0,0.16,0.48,0.64,0.16,0.64,Matches
359,Maxi López,ar ARG,FW,es Barcelona,21,1984,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
388,Rafael Márquez,mx MEX,"DF,MF",es Barcelona,26,1979,8,8,704,7.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
402,Lionel Messi,ar ARG,"FW,MF",es Barcelona,18,1987,6,4,322,3.6,1,1,2,1,0,0,0,0,0.28,0.28,0.56,0.28,0.56,Matches
415,Thiago Motta,it ITA,MF,es Barcelona,22,1982,7,4,426,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
479,Oleguer Presas,es ESP,DF,es Barcelona,25,1980,11,11,954,10.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
482,Carles Puyol,es ESP,DF,es Barcelona,27,1978,12,12,1080,12.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
515,Ronaldinho,br BRA,"FW,MF",es Barcelona,25,1980,12,12,1078,12.0,7,4,11,5,2,3,0,0,0.58,0.33,0.92,0.42,0.75,Matches
580,Sylvinho,br BRA,DF,es Barcelona,31,1974,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
603,Víctor Valdés,es ESP,GK,es Barcelona,23,1982,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
641,Xavi,es ESP,MF,es Barcelona,25,1980,4,4,313,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
