Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
4,Éric Abidal,fr FRA,DF,Barcelona,27,1979,30,28,2523,28.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
133,Deco,pt POR,MF,Barcelona,29,1977,18,14,1221,13.6,1,5,6,1,0,0,10,0,0.07,0.37,0.44,0.07,0.44,Matches
145,Giovani dos Santos,mx MEX,"FW,MF",Barcelona,18,1989,28,10,1257,14.0,3,3,6,3,0,0,2,0,0.21,0.21,0.43,0.21,0.43,Matches
152,Edmílson,br BRA,"DF,MF",Barcelona,31,1976,11,5,449,5.0,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
161,Samuel Eto'o,cm CMR,FW,Barcelona,26,1981,18,18,1494,16.6,16,3,19,16,0,0,5,0,0.96,0.18,1.14,0.96,1.14,Matches
166,Santiago Ezquerro,es ESP,FW,Barcelona,30,1976,3,1,111,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
169,Fali,es ESP,"DF,MF",Barcelona,21,1986,1,0,21,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
221,Eiður Guðjohnsen,is ISL,"FW,MF",Barcelona,28,1978,23,12,990,11.0,2,1,3,2,0,0,2,0,0.18,0.09,0.27,0.18,0.27,Matches
224,Thierry Henry,fr FRA,FW,Barcelona,29,1977,30,27,2337,26.0,12,7,19,12,0,0,2,0,0.46,0.27,0.73,0.46,0.73,Matches
237,Andrés Iniesta,es ESP,MF,Barcelona,23,1984,31,28,2616,29.1,3,2,5,3,0,0,6,0,0.10,0.07,0.17,0.10,0.17,Matches
264,Bojan Krkić,es ESP,"FW,MF",Barcelona,16,1990,31,14,1453,16.1,10,3,13,10,0,0,1,0,0.62,0.19,0.81,0.62,0.81,Matches
310,José Manuel Pinto,es ESP,GK,Barcelona,31,1975,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
311,José Manuel Rueda,es ESP,MF,Barcelona,19,1988,1,0,17,0.2,0,,,0,0,,0,0,0.00,,,0.00,,Matches
324,Rafael Márquez,mx MEX,"DF,MF",Barcelona,28,1979,24,15,1529,17.0,2,0,2,2,0,0,7,1,0.12,0.00,0.12,0.12,0.12,Matches
336,Lionel Messi,ar ARG,"FW,MF",Barcelona,20,1987,27,23,1973,21.9,10,12,22,6,4,4,2,0,0.46,0.55,1.00,0.27,0.82,Matches
340,Gabriel Milito,ar ARG,DF,Barcelona,26,1980,27,26,2221,24.7,1,0,1,1,0,0,7,1,0.04,0.00,0.04,0.04,0.04,Matches
394,Pedro,es ESP,"FW,MF",Barcelona,20,1987,2,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
407,Oleguer Presas,es ESP,DF,Barcelona,27,1980,12,7,738,8.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
413,Carles Puyol,es ESP,DF,Barcelona,29,1978,30,29,2513,27.9,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
440,Ronaldinho,br BRA,"FW,MF",Barcelona,27,1980,17,13,1168,13.0,8,2,10,6,2,2,0,0,0.62,0.15,0.77,0.46,0.62,Matches
455,Víctor Sánchez,es ESP,"DF,MF",Barcelona,19,1987,1,0,2,0.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
489,Sylvinho,br BRA,DF,Barcelona,33,1974,14,10,969,10.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
494,Lilian Thuram,fr FRA,DF,Barcelona,35,1972,18,17,1423,15.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
504,Yaya Touré,ci CIV,MF,Barcelona,24,1983,26,25,2085,23.2,1,0,1,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matches
511,Víctor Valdés,es ESP,GK,Barcelona,25,1982,35,35,3150,35.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
520,Víctor Vázquez,es ESP,"FW,MF",Barcelona,20,1987,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
535,Xavi,es ESP,MF,Barcelona,27,1980,35,33,2907,32.3,7,5,12,7,0,0,5,1,0.22,0.15,0.37,0.22,0.37,Matches
541,Gianluca Zambrotta,it ITA,DF,Barcelona,30,1977,29,25,2108,23.4,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches
