match_date,season,home_team,away_team,home_score,away_score,goles_favor,xg_favor,xg_contra,tiros_totales,tiros_a_puerta,posesion_pct,pases_intentados,pases_completados,presiones,recuperaciones,intercepciones,faltas_cometidas,match_id,kick_off,competition,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
2004-12-04,2004/2005,Barcelona,Málaga,4,0,4,1.91,0.07,17,9,71.15,656,559,59,62,7,15,68314,20:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,14,Regular Season,Spotify Camp Nou,José Omar Losantos,Frank Rijkaard,Gregorio Manzano Ballesteros,1.1.0,2,2.0
2004-10-24,2004/2005,Barcelona,Osasuna,3,0,3,1.9,0.33,19,5,59.79,507,391,91,67,4,20,68313,21:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,8,Regular Season,Spotify Camp Nou,Vicente José Lizondo Cortés,Frank Rijkaard,Javier Aguirre Onaindía,1.1.0,2,2.0
2005-05-01,2004/2005,Barcelona,Albacete,2,0,2,1.07,0.13,22,8,72.01,692,595,94,66,13,13,68316,19:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,34,Regular Season,Spotify Camp Nou,Carlos Velasco Carballo,Frank Rijkaard,Martín Monteagudo Monteagudo,1.1.0,2,2.0
2004-12-21,2004/2005,Barcelona,Levante UD,2,1,2,1.4,0.85,16,6,63.67,552,449,105,74,6,17,68315,20:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,17,Regular Season,Spotify Camp Nou,David Fernández Borbalan,Frank Rijkaard,Bernd Schuster,1.1.0,2,2.0
2004-12-11,2004/2005,Albacete,Barcelona,1,2,2,0.69,1.17,10,6,52.48,455,332,86,57,4,20,69153,20:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,15,Regular Season,Estadio Carlos Belmonte,Alfonso Perez Burrull,José Manuel González López,Frank Rijkaard,1.1.0,2,2.0
2005-04-17,2004/2005,Barcelona,Getafe,2,0,2,1.47,0.23,18,6,60.98,611,517,101,55,9,19,68352,21:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,32,Regular Season,Spotify Camp Nou,Puentes Leira,Frank Rijkaard,Enrique Sánchez Flores,1.1.0,2,2.0
2004-10-16,2004/2005,Espanyol,Barcelona,0,1,1,1.27,0.86,15,4,60.69,477,354,70,57,3,22,68353,22:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,7,Regular Season,Estadi Olímpic Lluís Companys,Carlos Megía Dávila,Miguel Ángel Lotina Oruecheberría,Frank Rijkaard,1.1.0,2,2.0
2005-10-26,2005/2006,Barcelona,Málaga,2,0,2,3.27,0.4,36,18,70.19,605,489,92,69,6,6,69164,20:30:00.000,Spain - La Liga,available,scheduled,2022-07-03T12:34:31.749038,2021-06-13T16:17:31.694,11,Regular Season,Spotify Camp Nou,Puentes Leira,Frank Rijkaard,Antonio Tapia Flores,1.1.0,2,2.0
2006-01-22,2005/2006,Barcelona,Deportivo Alavés,2,0,2,4.78,0.43,27,7,63.25,580,474,136,63,15,26,68324,19:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,20,Regular Season,Spotify Camp Nou,Turienzo,,,1.1.0,2,2.0
2005-12-04,2005/2006,Villarreal,Barcelona,0,2,1,0.37,0.39,11,4,49.03,429,319,209,74,6,26,68320,19:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,14,Regular Season,Estadio de la Cerámica,César Muñiz,Manuel Luis Pellegrini Ripamonti,Frank Rijkaard,1.1.0,2,2.0
