season,player,nation,pos,age,mp,starts,min,goals,assists
2005-2006,Francisco Martos,es ESP,"DF,MF",21.0,1,0,17,0,0
2005-2006,Ramón Masó,es ESP,MF,17.0,1,0,10,0,0
2006-2007,Ronaldinho,br BRA,"FW,MF",26.0,32,32,2733,21,8
2006-2007,Lionel Messi,ar ARG,"FW,MF",19.0,26,23,1983,14,3
2006-2007,Samuel Eto'o,cm CMR,FW,25.0,19,17,1477,11,7
2006-2007,Andrés Iniesta,es ESP,MF,22.0,37,28,2696,6,3
2006-2007,Eiður Guðjohnsen,is ISL,"FW,MF",27.0,25,14,1171,5,2
2006-2007,Javier Saviola,ar ARG,FW,24.0,18,6,677,5,0
2006-2007,Xavi,es ESP,MF,26.0,35,31,2866,3,3
2006-2007,Gianluca Zambrotta,it ITA,DF,29.0,29,25,2313,3,3
2006-2007,Ludovic Giuly,fr FRA,"FW,MF",30.0,27,15,1468,3,2
2006-2007,Carles Puyol,es ESP,DF,28.0,35,35,3028,2,0
2006-2007,Deco,pt POR,MF,28.0,31,31,2473,1,9
2006-2007,Rafael Márquez,mx MEX,"DF,MF",27.0,21,20,1720,1,0
2006-2007,Santiago Ezquerro,es ESP,FW,29.0,9,2,274,1,0
2006-2007,Víctor Valdés,es ESP,GK,24.0,38,38,3420,0,0
2006-2007,Lilian Thuram,fr FRA,DF,34.0,23,23,1954,0,0
2006-2007,Edmílson,br BRA,"DF,MF",30.0,26,22,1809,0,0
2006-2007,Giovanni van Bronckhorst,nl NED,"DF,MF",31.0,23,20,1775,0,2
2006-2007,Oleguer Presas,es ESP,DF,26.0,25,11,1238,0,0
2006-2007,Sylvinho,br BRA,DF,32.0,13,11,976,0,2
2006-2007,Juliano Belletti,br BRA,"DF,MF",30.0,13,9,808,0,1
2006-2007,Thiago Motta,it ITA,MF,23.0,14,5,566,0,0
2006-2007,Jesús Olmo,es ESP,DF,21.0,1,0,3,0,0
2007-2008,Samuel Eto'o,cm CMR,FW,26.0,18,18,1494,16,3
2007-2008,Thierry Henry,fr FRA,FW,29.0,30,27,2337,12,7
2007-2008,Lionel Messi,ar ARG,"FW,MF",20.0,27,23,1973,10,12
2007-2008,Bojan Krkić,es ESP,"FW,MF",16.0,31,14,1453,10,3
2007-2008,Ronaldinho,br BRA,"FW,MF",27.0,17,13,1168,8,2
2007-2008,Xavi,es ESP,MF,27.0,35,33,2907,7,5
2007-2008,Andrés Iniesta,es ESP,MF,23.0,31,28,2616,3,2
2007-2008,Giovani dos Santos,mx MEX,"FW,MF",18.0,28,10,1257,3,3
2007-2008,Rafael Márquez,mx MEX,"DF,MF",28.0,24,15,1529,2,0
2007-2008,Eiður Guðjohnsen,is ISL,"FW,MF",28.0,23,12,990,2,1
2007-2008,Gabriel Milito,ar ARG,DF,26.0,27,26,2221,1,0
2007-2008,Yaya Touré,ci CIV,MF,24.0,26,25,2085,1,0
2007-2008,Deco,pt POR,MF,29.0,18,14,1221,1,5
2007-2008,Víctor Valdés,es ESP,GK,25.0,35,35,3150,0,0
2007-2008,Carles Puyol,es ESP,DF,29.0,30,29,2513,0,0
