season,player,nation,pos,age,mp,starts,min,goals,assists
2016-2017,Jordi Alba,es ESP,DF,27.0,26,21,1968,1,6
2016-2017,Javier Mascherano,ar ARG,DF,32.0,25,20,1921,1,3
2016-2017,Denis Suárez,es ESP,MF,22.0,26,12,1186,1,3
2016-2017,Jérémy Mathieu,fr FRA,DF,32.0,13,12,1039,1,0
2016-2017,Marc-André ter Stegen,de GER,GK,24.0,36,36,3240,0,0
2016-2017,Sergio Busquets,es ESP,MF,28.0,33,33,2687,0,3
2016-2017,Sergi Roberto,es ESP,DF,24.0,32,26,2383,0,5
2016-2017,Lucas Digne,fr FRA,DF,23.0,17,14,1171,0,0
2016-2017,Andrés Iniesta,es ESP,MF,32.0,23,13,1336,0,3
2016-2017,Marlon,br BRA,DF,20.0,2,2,180,0,0
2016-2017,Claudio Bravo,cl CHI,GK,33.0,1,1,90,0,0
2016-2017,Jasper Cillessen,nl NED,GK,27.0,1,1,90,0,0
2016-2017,Carles Aleñá,es ESP,MF,18.0,3,0,43,0,0
2016-2017,Munir El Haddadi,ma MAR,"FW,MF",20.0,1,0,21,0,0
2016-2017,Àlex Carbonell,es ESP,MF,18.0,0,0,0,0,0
2016-2017,Marc Cardona,es ESP,FW,21.0,0,0,0,0,0
2016-2017,Douglas,br BRA,DF,25.0,0,0,0,0,0
2016-2017,Wilfrid Kaptoum,cm CMR,MF,20.0,0,0,0,0,0
2016-2017,Borja López,es ESP,DF,22.0,0,0,0,0,0
2016-2017,Jordi Masip,es ESP,GK,27.0,0,0,0,0,0
2016-2017,Nili,es ESP,DF,22.0,0,0,0,0,0
2016-2017,Sergi Samper,es ESP,MF,21.0,0,0,0,0,0
2017-2018,Lionel Messi,ar ARG,FW,30.0,36,32,3000,34,12
2017-2018,Luis Suárez,uy URU,FW,30.0,33,32,2899,25,12
2017-2018,Paulinho,br BRA,MF,29.0,34,21,1945,9,2
2017-2018,Philippe Coutinho,br BRA,"MF,FW",25.0,18,16,1296,8,5
2017-2018,Paco Alcácer,es ESP,"MF,FW",23.0,17,8,695,4,3
2017-2018,Ousmane Dembélé,fr FRA,"MF,FW",20.0,17,12,925,3,6
2017-2018,Jordi Alba,es ESP,DF,28.0,33,30,2744,2,8
2017-2018,Gerard Piqué,es ESP,DF,30.0,30,29,2632,2,0
2017-2018,Denis Suárez,es ESP,"MF,FW",23.0,18,4,595,2,2
2017-2018,Ivan Rakitić,hr CRO,MF,29.0,35,31,2835,1,5
2017-2018,Sergio Busquets,es ESP,MF,29.0,31,30,2593,1,4
2017-2018,Andrés Iniesta,es ESP,MF,33.0,30,25,1824,1,2
2017-2018,Sergi Roberto,es ESP,DF,25.0,30,24,2225,1,7
2017-2018,Samuel Umtiti,fr FRA,DF,23.0,25,24,2189,1,0
2017-2018,Gerard Deulofeu,es ESP,"MF,FW",23.0,10,5,503,1,1
2017-2018,Aleix Vidal,es ESP,"MF,FW",27.0,15,4,460,1,1
2017-2018,Marc-André ter Stegen,de GER,GK,25.0,37,37,3330,0,0
2017-2018,Nélson Semedo,pt POR,DF,23.0,24,17,1493,0,0
2017-2018,Thomas Vermaelen,be BEL,DF,31.0,14,12,1018,0,1
2017-2018,Lucas Digne,fr FRA,DF,24.0,12,8,704,0,2
2017-2018,André Gomes,pt POR,MF,24.0,16,6,635,0,0
2017-2018,Javier Mascherano,ar ARG,DF,33.0,7,6,541,0,0
2017-2018,Yerry Mina,co COL,DF,22.0,5,4,371,0,1
2017-2018,Jasper Cillessen,nl NED,GK,28.0,1,1,90,0,0
2017-2018,José Arnaiz,es ESP,"FW,MF",22.0,1,0,6,0,0
2017-2018,Carles Aleñá,es ESP,MF,19.0,0,0,0,0,0
2017-2018,Oriol Busquets,es ESP,MF,18.0,0,0,0,0,0
2017-2018,David Costas,es ESP,DF,22.0,0,0,0,0,0
2017-2018,Arda Turan,tr TUR,"FW,MF",30.0,0,0,0,0,0
2018-2019,Lionel Messi,ar ARG,FW,31.0,34,29,2713,36,13
2018-2019,Luis Suárez,uy URU,FW,31.0,33,31,2827,21,6
2018-2019,Ousmane Dembélé,fr FRA,"FW,MF",21.0,29,20,1661,8,5
2018-2019,Philippe Coutinho,br BRA,"FW,MF",26.0,34,22,2018,5,2
2018-2019,Gerard Piqué,es ESP,DF,31.0,35,35,3150,4,2
2018-2019,Ivan Rakitić,hr CRO,MF,30.0,34,29,2643,3,5
2018-2019,Arturo Vidal,cl CHI,MF,31.0,33,22,1929,3,7
2018-2019,Jordi Alba,es ESP,DF,29.0,36,32,2991,2,8
2018-2019,Carles Aleñá,es ESP,MF,20.0,17,6,637,2,0
2018-2019,Clément Lenglet,fr FRA,DF,23.0,23,22,1933,1,0
2018-2019,Nélson Semedo,pt POR,DF,24.0,26,20,1600,1,0
2018-2019,Malcom,br BRA,"FW,MF",21.0,15,6,614,1,2
2018-2019,Munir El Haddadi,ma MAR,FW,22.0,7,1,152,1,1
2018-2019,Marc-André ter Stegen,de GER,GK,26.0,35,35,3150,0,0
2018-2019,Sergio Busquets,es ESP,MF,30.0,35,30,2715,0,1
2018-2019,Sergi Roberto,es ESP,"DF,MF",26.0,29,23,2088,0,7
2018-2019,Arthur Melo,br BRA,MF,21.0,27,19,1430,0,1
2018-2019,Samuel Umtiti,fr FRA,DF,24.0,14,13,1189,0,1
2018-2019,Thomas Vermaelen,be BEL,DF,32.0,9,7,587,0,0
2018-2019,Jasper Cillessen,nl NED,GK,29.0,3,3,270,0,0
2018-2019,Kevin-Prince Boateng,gh GHA,FW,31.0,3,3,239,0,0
2018-2019,Rafinha,br BRA,"FW,MF",25.0,5,3,223,0,0
2018-2019,Moussa Wagué,sn SEN,"MF,DF",19.0,3,2,225,0,0
2018-2019,Jean-Clair Todibo,fr FRA,DF,18.0,2,2,157,0,0
2018-2019,Riqui Puig,es ESP,MF,18.0,2,2,156,0,0
2018-2019,Jeison Murillo,co COL,DF,26.0,2,1,113,0,0
2018-2019,Álex Collado,es ESP,MF,19.0,1,0,85,0,0
2018-2019,Abel Ruiz,es ESP,FW,18.0,1,0,22,0,0
2018-2019,Denis Suárez,es ESP,MF,24.0,2,0,19,0,0
2018-2019,Carles Pérez,es ESP,"FW,MF",20.0,1,0,18,0,0
2018-2019,Chumi,es ESP,DF,19.0,0,0,0,0,0
2018-2019,Jokin Ezkieta,es ESP,GK,21.0,0,0,0,0,0
2018-2019,Juan Miranda,es ESP,DF,18.0,0,0,0,0,0
2018-2019,Iñaki Peña,es ESP,GK,19.0,0,0,0,0,0
2019-2020,Lionel Messi,ar ARG,FW,32,33,32,2880,25,21
2019-2020,Luis Suárez,uy URU,FW,32,28,22,1998,16,8
2019-2020,Antoine Griezmann,fr FRA,FW,28,35,31,2549,9,4
2019-2020,Arturo Vidal,cl CHI,"MF,FW",32,33,16,1671,8,2
2019-2020,Ansu Fati,es ESP,"FW,MF",16,24,11,1027,7,1
2019-2020,Arthur Melo,br BRA,MF,22,21,14,1182,3,3
2019-2020,Sergio Busquets,es ESP,MF,31,33,29,2483,2,2
2019-2020,Clément Lenglet,fr FRA,DF,24,28,28,2424,2,1
2019-2020,Jordi Alba,es ESP,DF,30,27,25,2187,2,5
2019-2020,Frenkie de Jong,nl NED,MF,22,29,24,2115,2,2
2019-2020,Gerard Piqué,es ESP,DF,32,35,35,3092,1,0
2019-2020,Sergi Roberto,es ESP,"DF,MF",27,30,27,2339,1,2
2019-2020,Nélson Semedo,pt POR,DF,25,32,24,2097,1,2
2019-2020,Ivan Rakitić,hr CRO,MF,31,31,16,1589,1,3
2019-2020,Junior Firpo,do DOM,DF,22,17,11,1014,1,1
2019-2020,Carles Pérez,es ESP,FW,21,10,5,476,1,2
2019-2020,Martin Braithwaite,dk DEN,"FW,MF",28,11,4,407,1,0
2019-2020,Ousmane Dembélé,fr FRA,"FW,MF",22,5,3,357,1,0
2019-2020,Marc-André ter Stegen,de GER,GK,27,36,36,3240,0,2
2019-2020,Samuel Umtiti,fr FRA,DF,25,13,10,949,0,0
2019-2020,Riqui Puig,es ESP,MF,19,11,5,510,0,2
2019-2020,Ronald Araújo,uy URU,DF,20,6,2,238,0,0
2019-2020,Rafinha,br BRA,FW,26,3,2,186,0,0
2019-2020,Neto,br BRA,GK,30,2,2,180,0,0
2019-2020,Carles Aleñá,es ESP,MF,21,4,2,172,0,0
2019-2020,Moussa Wagué,sn SEN,DF,20,1,1,90,0,0
2019-2020,Jean-Clair Todibo,fr FRA,DF,19,2,1,77,0,0
2019-2020,Álex Collado,es ESP,MF,20,1,0,6,0,0
2019-2020,Sergio Akieme,es ESP,DF,21,0,0,0,0,0
2019-2020,Chumi,es ESP,DF,20,0,0,0,0,0
2019-2020,Player,Nation,Pos,Age,0,0,0,0,0
2019-2020,Arnau Comas,es ESP,DF,19,0,0,0,0,0
2019-2020,Jorge Cuenca,es ESP,DF,19,0,0,0,0,0
2019-2020,Rey Manaj,al ALB,FW,22,0,0,0,0,0
2019-2020,Monchu,es ESP,MF,19,0,0,0,0,0
2019-2020,Dani Morer,es ESP,DF,21,0,0,0,0,0
2019-2020,Iñaki Peña,es ESP,GK,20,0,0,0,0,0
2019-2020,Kike Saverio,es ESP,MF,20,0,0,0,0,0
2019-2020,Arnau Tenas,es ESP,GK,18,0,0,0,0,0
2020-2021,Lionel Messi,ar ARG,"FW,MF",33.0,35,33,3023,30,9
2020-2021,Antoine Griezmann,fr FRA,"FW,MF",29.0,36,32,2604,13,7
2020-2021,Ousmane Dembélé,fr FRA,"FW,MF",23.0,30,19,1774,6,3
2020-2021,Ansu Fati,es ESP,"MF,FW",17.0,7,6,431,4,0
2020-2021,Frenkie de Jong,nl NED,"MF,DF",23.0,37,35,3154,3,4
2020-2021,Jordi Alba,es ESP,"DF,MF",31.0,35,34,3025,3,5
2020-2021,Pedri,es ESP,MF,17.0,37,28,2415,3,3
2020-2021,Francisco Trincão,pt POR,FW,20.0,28,3,706,3,2
2020-2021,Sergiño Dest,us USA,"MF,DF",19.0,30,23,1909,2,1
2020-2021,Óscar Mingueza,es ESP,DF,21.0,27,23,1901,2,2
2020-2021,Ronald Araújo,uy URU,DF,21.0,24,16,1510,2,1
2020-2021,Martin Braithwaite,dk DEN,"FW,MF",29.0,29,11,1175,2,2
2020-2021,Philippe Coutinho,br BRA,MF,28.0,12,8,654,2,2
2020-2021,Clément Lenglet,fr FRA,DF,25.0,33,29,2475,1,0
2020-2021,Sergi Roberto,es ESP,"DF,MF",28.0,15,9,946,1,2
2020-2021,Ilaix Moriba,gn GUI,MF,17.0,14,4,542,1,2
2020-2021,Junior Firpo,do DOM,"MF,DF",23.0,7,3,289,1,1
2020-2021,Riqui Puig,es ESP,MF,20.0,14,2,292,1,0
2020-2021,Sergio Busquets,es ESP,MF,32.0,36,32,2517,0,5
2020-2021,Marc-André ter Stegen,de GER,GK,28.0,31,31,2790,0,0
2020-2021,Gerard Piqué,es ESP,DF,33.0,18,18,1481,0,0
2020-2021,Neto,br BRA,GK,31.0,7,7,630,0,0
2020-2021,Samuel Umtiti,fr FRA,DF,26.0,13,6,645,0,0
2020-2021,Miralem Pjanić,ba BIH,MF,30.0,19,6,627,0,0
2020-2021,Carles Aleñá,es ESP,MF,22.0,2,0,48,0,0
2020-2021,Álex Collado,es ESP,MF,21.0,0,0,0,0,0
2020-2021,Konrad De La Fuente,us USA,FW,19.0,0,0,0,0,0
2020-2021,Matheus Fernandes,br BRA,MF,22.0,0,0,0,0,0
2020-2021,Iñaki Peña,es ESP,GK,21.0,0,0,0,0,0
2020-2021,Rafinha,br BRA,MF,27.0,0,0,0,0,0
2020-2021,Santi Ramos Mingo,ar ARG,DF,18.0,0,0,0,0,0
2020-2021,Arnau Tenas,es ESP,GK,19.0,0,0,0,0,0
2021-2022,Memphis,nl NED,FW,27,28,20,1851,12,2
2021-2022,Pierre-Emerick Aubameyang,ga GAB,FW,32,17,13,1082,11,1
2021-2022,Luuk de Jong,nl NED,"FW,MF",30,21,6,654,6,0
2021-2022,Ronald Araújo,uy URU,DF,22,30,25,2272,4,0
2021-2022,Ferrán Torres,es ESP,FW,21,18,17,1412,4,4
2021-2022,Ansu Fati,es ESP,FW,18,10,3,336,4,0
2021-2022,Frenkie de Jong,nl NED,MF,24,32,30,2476,3,3
2021-2022,Pedri,es ESP,MF,18,12,10,885,3,1
2021-2022,Sergio Busquets,es ESP,MF,33,36,36,3198,2,0
2021-2022,Jordi Alba,es ESP,DF,32,30,30,2644,2,10
2021-2022,Gavi,es ESP,"MF,FW",16,34,28,2316,2,5
2021-2022,Nicolás González,es ESP,MF,19,27,12,1114,2,1
2021-2022,Philippe Coutinho,br BRA,"FW,MF",29,12,5,503,2,0
2021-2022,Sergi Roberto,es ESP,"MF,DF",29,9,4,400,2,1
2021-2022,Martin Braithwaite,dk DEN,FW,30,4,3,235,2,1
2021-2022,Gerard Piqué,es ESP,DF,34,27,25,2092,1,0
2021-2022,Ousmane Dembélé,fr FRA,"FW,MF",24,21,15,1409,1,13
2021-2022,Dani Alves,br BRA,DF,38,14,13,1098,1,3
2021-2022,Abde Ezzalzouli,ma MAR,FW,19,10,6,580,1,0
2021-2022,Ferran Jutglà,es ESP,FW,22,6,4,301,1,0
2021-2022,Riqui Puig,es ESP,MF,21,15,2,487,1,0
2021-2022,Sergio Agüero,ar ARG,FW,33,4,2,151,1,0
2021-2022,Marc-André ter Stegen,de GER,GK,29,35,35,3150,0,0
2021-2022,Eric García,es ESP,DF,20,26,23,2039,0,0
2021-2022,Sergiño Dest,us USA,"DF,FW",20,21,17,1512,0,3
2021-2022,Óscar Mingueza,es ESP,DF,22,19,9,894,0,1
2021-2022,Clément Lenglet,fr FRA,DF,26,21,7,826,0,1
2021-2022,Adama Traoré,es ESP,FW,25,11,4,382,0,2
2021-2022,Neto,br BRA,GK,32,3,3,270,0,0
2021-2022,Antoine Griezmann,fr FRA,FW,30,3,3,263,0,0
2021-2022,Yusuf Demir,at AUT,FW,18,6,2,192,0,0
2021-2022,Player,Nation,Pos,Age,0,0,0,0,0
2021-2022,Alejandro Balde,es ESP,DF,17,5,2,188,0,0
2021-2022,Ilias Akhomach,ma MAR,FW,17,2,2,124,0,0
2021-2022,Emerson,br BRA,DF,22,3,1,91,0,0
2021-2022,Samuel Umtiti,fr FRA,DF,27,1,1,90,0,0
2021-2022,Alvaro Sanz,es ESP,MF,20,2,0,29,0,0
2021-2022,Estanis,es ESP,FW,17,1,0,11,0,0
2021-2022,Mika Mármol,es ESP,DF,20,1,0,1,0,0
2021-2022,Lazar Carević,me MNE,GK,22,0,0,0,0,0
2021-2022,Arnau Comas,es ESP,DF,21,0,0,0,0,0
2021-2022,Lucas De Vega,es ESP,MF,21,0,0,0,0,0
2021-2022,Guillem Jaime,es ESP,DF,22,0,0,0,0,0
2021-2022,Rey Manaj,al ALB,FW,24,0,0,0,0,0
2021-2022,Jandro Orellana,es ESP,MF,20,0,0,0,0,0
2021-2022,Iñaki Peña,es ESP,GK,22,0,0,0,0,0
2021-2022,Miralem Pjanić,ba BIH,MF,31,0,0,0,0,0
2021-2022,Arnau Tenas,es ESP,GK,20,0,0,0,0,0
2022-2023,Robert Lewandowski,pl POL,FW,33,34,33,2847,23,7
2022-2023,Raphinha,br BRA,FW,25,36,25,2072,7,7
2022-2023,Ansu Fati,es ESP,FW,19,36,12,1393,7,3
2022-2023,Pedri,es ESP,MF,19,26,22,1976,6,1
2022-2023,Ousmane Dembélé,fr FRA,FW,25,25,16,1410,5,7
2022-2023,Sergi Roberto,es ESP,"DF,MF",30,23,15,1308,4,1
2022-2023,Ferrán Torres,es ESP,FW,22,33,14,1392,4,2
2022-2023,Gavi,es ESP,"MF,FW",17,36,30,2531,2,4
2022-2023,Frenkie de Jong,nl NED,MF,25,33,29,2534,2,4
2022-2023,Jordi Alba,es ESP,DF,33,24,14,1419,2,3
2022-2023,Alejandro Balde,es ESP,DF,18,33,30,2471,1,6
2022-2023,Jules Koundé,fr FRA,DF,23,29,28,2426,1,3
2022-2023,Andreas Christensen,dk DEN,DF,26,23,22,1760,1,1
2022-2023,Eric García,es ESP,"DF,MF",21,24,15,1417,1,0
2022-2023,Marcos Alonso,es ESP,DF,31,24,11,1172,1,0
2022-2023,Franck Kessié,ci CIV,MF,25,28,7,990,1,1
2022-2023,Memphis,nl NED,FW,28,2,2,114,1,0
2022-2023,Marc-André ter Stegen,de GER,GK,30,38,38,3347,0,0
2022-2023,Sergio Busquets,es ESP,MF,34,30,28,2339,0,4
2022-2023,Ronald Araújo,uy URU,DF,23,22,21,1800,0,2
2022-2023,Gerard Piqué,es ESP,DF,35,6,4,384,0,0
2022-2023,Pablo Torre,es ESP,FW,19,8,1,144,0,0
2022-2023,Héctor Bellerín,es ESP,DF,27,3,1,143,0,0
2022-2023,Iñaki Peña,es ESP,GK,23,2,0,73,0,0
2022-2023,Ángel Alarcón,es ESP,FW,18,4,0,25,0,0
2022-2023,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",33,1,0,9,0,0
2022-2023,Lamine Yamal,es ESP,"FW,MF",15,1,0,8,0,0
2022-2023,Aleix Garrido,es ESP,MF,18,1,0,7,0,0
2022-2023,Chadi Riad,ma MAR,DF,19,1,0,2,0,0
2022-2023,Arnau Tenas,es ESP,GK,21,0,0,0,0,0
2022-2023,Player,Nation,Pos,Age,0,0,0,0,0
2022-2023,Ander Astralaga,es ESP,GK,18,0,0,0,0,0
2022-2023,Marc Casado,es ESP,MF,18,0,0,0,0,0
2022-2023,Estanis,es ESP,FW,18,0,0,0,0,0
2022-2023,Marc Guiu,es ESP,FW,16,0,0,0,0,0
2022-2023,Unai Hernandez,es ESP,MF,17,0,0,0,0,0
2022-2023,Miralem Pjanić,ba BIH,MF,32,0,0,0,0,0
2022-2023,Pau Prim,es ESP,MF,16,0,0,0,0,0
2022-2023,Daniel Rodriguez,es ESP,MF,16,0,0,0,0,0
2023-2024,Robert Lewandowski,pl POL,FW,34.0,35,32,2750,19,8
2023-2024,Fermin López,es ESP,"MF,FW",20.0,31,14,1446,8,0
2023-2024,João Félix,pt POR,FW,23.0,30,18,1540,7,3
2023-2024,Ferrán Torres,es ESP,FW,23.0,29,12,1211,7,2
2023-2024,Raphinha,br BRA,"FW,MF",26.0,28,17,1368,6,9
2023-2024,İlkay Gündoğan,de GER,MF,32.0,36,33,2994,5,9
2023-2024,Lamine Yamal,es ESP,"FW,MF",16.0,37,22,2201,5,5
2023-2024,Pedri,es ESP,"MF,FW",20.0,24,16,1476,4,2
2023-2024,Sergi Roberto,es ESP,"MF,DF",31.0,14,10,860,3,2
2023-2024,João Cancelo,pt POR,DF,29.0,32,29,2503,2,4
2023-2024,Andreas Christensen,dk DEN,"DF,MF",27.0,30,27,1979,2,2
2023-2024,Frenkie de Jong,nl NED,MF,26.0,20,20,1634,2,0
2023-2024,Vitor Roque,br BRA,FW,18.0,14,2,328,2,0
2023-2024,Jules Koundé,fr FRA,DF,24.0,35,32,2899,1,2
2023-2024,Ronald Araújo,uy URU,DF,24.0,25,21,1997,1,2
2023-2024,Gavi,es ESP,"MF,FW",18.0,12,10,944,1,1
2023-2024,Marc Guiu,es ESP,FW,17.0,3,1,74,1,0
2023-2024,Marc-André ter Stegen,de GER,GK,31.0,28,28,2520,0,0
2023-2024,Pau Cubarsí,es ESP,DF,16.0,19,18,1558,0,0
2023-2024,Alejandro Balde,es ESP,"DF,MF",19.0,18,15,1378,0,1
2023-2024,Iñigo Martínez,es ESP,DF,32.0,20,13,1296,0,0
2023-2024,Oriol Romeu,es ESP,MF,31.0,28,11,936,0,1
2023-2024,Iñaki Peña,es ESP,GK,24.0,10,10,900,0,0
2023-2024,Héctor Fort,es ESP,DF,16.0,7,4,318,0,2
2023-2024,Marcos Alonso,es ESP,DF,32.0,5,3,252,0,0
2023-2024,Abde Ezzalzouli,ma MAR,"FW,MF",21.0,2,0,68,0,0
2023-2024,Eric García,es ESP,DF,22.0,2,0,57,0,0
2023-2024,Ansu Fati,es ESP,"FW,MF",20.0,3,0,50,0,0
2023-2024,Marc Casado,es ESP,MF,19.0,2,0,15,0,0
2023-2024,Ander Astralaga,es ESP,GK,19.0,0,0,0,0,0
2023-2024,Aleix Garrido,es ESP,MF,19.0,0,0,0,0,0
2023-2024,Unai Hernandez,es ESP,MF,18.0,0,0,0,0,0
2023-2024,Diego Kochen,us USA,GK,17.0,0,0,0,0,0
2023-2024,Mikayil Ngor Faye,sn SEN,MF,19.0,0,0,0,0,0
2023-2024,Pau Prim,es ESP,MF,17.0,0,0,0,0,0
2023-2024,Pau Victor,es ESP,FW,21.0,0,0,0,0,0
2023-2024,Áron Yaakobishvili,hu HUN,GK,17.0,0,0,0,0,0
2024-2025,Robert Lewandowski,pl POL,FW,35,34,32,2667,27,2
2024-2025,Raphinha,br BRA,"MF,FW",27,36,32,2839,18,9
2024-2025,Dani Olmo,es ESP,MF,26,25,13,1212,10,3
2024-2025,Ferrán Torres,es ESP,"FW,MF",24,27,12,1106,10,6
2024-2025,Lamine Yamal,es ESP,"MF,FW",17,35,31,2856,9,13
2024-2025,Fermin López,es ESP,MF,21,28,12,1252,6,5
2024-2025,Pedri,es ESP,MF,21,37,35,2879,4,5
2024-2025,Pablo Torre,es ESP,MF,21,10,4,310,3,1
2024-2025,Jules Koundé,fr FRA,DF,25,32,29,2605,2,3
2024-2025,Eric García,es ESP,"DF,MF",23,29,14,1566,2,3
2024-2025,Frenkie de Jong,nl NED,MF,27,26,9,1143,2,2
2024-2025,Pau Victor,es ESP,FW,22,21,2,319,2,1
2024-2025,Marc Casado,es ESP,MF,20,23,20,1611,1,3
2024-2025,Gavi,es ESP,MF,19,26,14,1085,1,1
2024-2025,Gerard Martín,es ESP,DF,22,28,11,1038,1,3
2024-2025,Ronald Araújo,uy URU,DF,25,12,11,754,1,1
2024-2025,Pau Cubarsí,es ESP,DF,17,35,29,2618,0,3
2024-2025,Iñigo Martínez,es ESP,DF,33,28,28,2490,0,4
2024-2025,Alejandro Balde,es ESP,DF,20,32,26,2284,0,4
2024-2025,Iñaki Peña,es ESP,GK,25,16,15,1396,0,0
2024-2025,Wojciech Szczęsny,pl POL,GK,34,15,15,1350,0,0
2024-2025,Marc-André ter Stegen,de GER,GK,32,8,8,674,0,0
2024-2025,Héctor Fort,es ESP,DF,17,17,5,585,0,0
2024-2025,Marc Bernal,es ESP,MF,17,3,3,242,0,0
2024-2025,Ansu Fati,es ESP,MF,21,6,3,233,0,0
2024-2025,Andreas Christensen,dk DEN,DF,28,5,2,254,0,0
2024-2025,Sergi Dominguez,es ESP,DF,19,3,2,172,0,0
2024-2025,Daniel Rodriguez,es ESP,MF,18,1,1,37,0,0
2024-2025,Ander Astralaga,es ESP,GK,20,0,0,0,0,0
2024-2025,Álvaro Cortés,es ESP,DF,19,0,0,0,0,0
2024-2025,Player,Nation,Pos,Age,0,0,0,0,0
2024-2025,Andres Cuenca,es ESP,DF,17,0,0,0,0,0
2024-2025,Noah Darvich,de GER,MF,17,0,0,0,0,0
2024-2025,Landry Farré,es ESP,DF,17,0,0,0,0,0
2024-2025,Guillermo Fernandez,es ESP,MF,16,0,0,0,0,0
2024-2025,Toni Fernández,es ESP,MF,16,0,0,0,0,0
2024-2025,Diego Kochen,us USA,GK,18,0,0,0,0,0
2024-2025,Alexis Olmedo,es ESP,DF,18,0,0,0,0,0
2024-2025,Álex Valle,es ESP,DF,20,0,0,0,0,0
2024-2025,Áron Yaakobishvili,hu HUN,GK,18,0,0,0,0,0
