Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
10,Jordi Alba,es ESP,DF,Barcelona,28,1989,33,30,2744,30.5,2,8,10,2,0,0,7,0,0.07,0.26,0.33,0.07,0.33,Matches
12,Paco Alcácer,es ESP,"MF,FW",Barcelona,23,1993,17,8,695,7.7,4,3,7,4,0,0,0,0,0.52,0.39,0.91,0.52,0.91,Matches
38,José Arnaiz,es ESP,"FW,MF",Barcelona,22,1995,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
79,Sergio Busquets,es ESP,MF,Barcelona,29,1988,31,30,2593,28.8,1,4,5,1,0,0,8,0,0.03,0.14,0.17,0.03,0.17,Matches
115,Jasper Cillessen,nl NED,GK,Barcelona,28,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
125,Philippe Coutinho,br BRA,"MF,FW",Barcelona,25,1992,18,16,1296,14.4,8,5,13,8,0,0,1,0,0.56,0.35,0.90,0.56,0.90,Matches
130,Ousmane Dembélé,fr FRA,"MF,FW",Barcelona,20,1997,17,12,925,10.3,3,6,9,3,0,0,2,0,0.29,0.58,0.88,0.29,0.88,Matches
132,Gerard Deulofeu,es ESP,"MF,FW",Barcelona,23,1994,10,5,503,5.6,1,1,2,1,0,0,1,0,0.18,0.18,0.36,0.18,0.36,Matches
134,Lucas Digne,fr FRA,DF,Barcelona,24,1993,12,8,704,7.8,0,2,2,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26,Matches
199,André Gomes,pt POR,MF,Barcelona,24,1993,16,6,635,7.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
242,Andrés Iniesta,es ESP,MF,Barcelona,33,1984,30,25,1824,20.3,1,2,3,1,0,0,1,0,0.05,0.10,0.15,0.05,0.15,Matches
336,Javier Mascherano,ar ARG,DF,Barcelona,33,1984,7,6,541,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
346,Lionel Messi,ar ARG,FW,Barcelona,30,1987,36,32,3000,33.3,34,12,46,32,2,4,3,0,1.02,0.36,1.38,0.96,1.32,Matches
349,Yerry Mina,co COL,DF,Barcelona,22,1994,5,4,371,4.1,0,1,1,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,Matches
414,Paulinho,br BRA,MF,Barcelona,29,1988,34,21,1945,21.6,9,2,11,9,0,0,2,0,0.42,0.09,0.51,0.42,0.51,Matches
428,Gerard Piqué,es ESP,DF,Barcelona,30,1987,30,29,2632,29.2,2,0,2,2,0,0,9,0,0.07,0.00,0.07,0.07,0.07,Matches
440,Ivan Rakitić,hr CRO,MF,Barcelona,29,1988,35,31,2835,31.5,1,5,6,1,0,0,4,0,0.03,0.16,0.19,0.03,0.19,Matches
461,Sergi Roberto,es ESP,DF,Barcelona,25,1992,30,24,2225,24.7,1,7,8,1,0,0,3,2,0.04,0.28,0.32,0.04,0.32,Matches
499,Nélson Semedo,pt POR,DF,Barcelona,23,1993,24,17,1493,16.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
515,Denis Suárez,es ESP,"MF,FW",Barcelona,23,1994,18,4,595,6.6,2,2,4,2,0,0,1,0,0.30,0.30,0.61,0.30,0.61,Matches
517,Luis Suárez,uy URU,FW,Barcelona,30,1987,33,32,2899,32.2,25,12,37,24,1,1,9,0,0.78,0.37,1.15,0.75,1.12,Matches
523,Marc-André ter Stegen,de GER,GK,Barcelona,25,1992,37,37,3330,37.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
536,Samuel Umtiti,fr FRA,DF,Barcelona,23,1993,25,24,2189,24.3,1,0,1,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matches
549,Thomas Vermaelen,be BEL,DF,Barcelona,31,1985,14,12,1018,11.3,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches
552,Aleix Vidal,es ESP,"MF,FW",Barcelona,27,1989,15,4,460,5.1,1,1,2,1,0,0,0,0,0.20,0.20,0.39,0.20,0.39,Matches
