Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2019-2020,6,Jordi Alba,es ESP,DF,Barcelona,30,1989,27,25,2187,24.3,2,5,7,2,0,0,7,0,0.08,0.21,0.29,0.08,0.29,Matches
2019-2020,11,Carles Aleñá,es ESP,MF,Barcelona,21,1998,4,2,172,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2019-2020,26,Ronald Araújo,uy URU,DF,Barcelona,20,1999,6,2,238,2.6,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,Matches
2019-2020,66,Martin Braithwaite,dk DEN,"FW,MF",Barcelona,28,1991,11,4,407,4.5,1,0,1,1,0,0,1,0,0.22,0.0,0.22,0.22,0.22,Matches
2019-2020,75,Sergio Busquets,es ESP,MF,Barcelona,31,1988,33,29,2483,27.6,2,2,4,2,0,0,9,0,0.07,0.07,0.14,0.07,0.14,Matches
2019-2020,112,Álex Collado,es ESP,MF,Barcelona,20,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2019-2020,130,Ousmane Dembélé,fr FRA,"FW,MF",Barcelona,22,1997,5,3,357,4.0,1,0,1,1,0,0,1,1,0.25,0.0,0.25,0.25,0.25,Matches
2019-2020,165,Ansu Fati,es ESP,"FW,MF",Barcelona,16,2002,24,11,1027,11.4,7,1,8,7,0,0,2,1,0.61,0.09,0.7,0.61,0.7,Matches
2019-2020,180,Junior Firpo,do DOM,DF,Barcelona,22,1996,17,11,1014,11.3,1,1,2,1,0,0,5,0,0.09,0.09,0.18,0.09,0.18,Matches
2019-2020,217,Antoine Griezmann,fr FRA,FW,Barcelona,28,1991,35,31,2549,28.3,9,4,13,9,0,0,2,0,0.32,0.14,0.46,0.32,0.46,Matches
2019-2020,250,Frenkie de Jong,nl NED,MF,Barcelona,22,1997,29,24,2115,23.5,2,2,4,2,0,0,3,1,0.09,0.09,0.17,0.09,0.17,Matches
2019-2020,281,Clément Lenglet,fr FRA,DF,Barcelona,24,1995,28,28,2424,26.9,2,1,3,2,0,0,11,2,0.07,0.04,0.11,0.07,0.11,Matches
2019-2020,329,Arthur Melo,br BRA,MF,Barcelona,22,1996,21,14,1182,13.1,3,3,6,3,0,0,1,0,0.23,0.23,0.46,0.23,0.46,Matches
2019-2020,337,Lionel Messi,ar ARG,FW,Barcelona,32,1987,33,32,2880,32.0,25,21,46,20,5,5,4,0,0.78,0.66,1.44,0.62,1.28,Matches
2019-2020,368,Neto,br BRA,GK,Barcelona,30,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2019-2020,402,Carles Pérez,es ESP,FW,Barcelona,21,1998,10,5,476,5.3,1,2,3,1,0,0,0,0,0.19,0.38,0.57,0.19,0.57,Matches
2019-2020,413,Gerard Piqué,es ESP,DF,Barcelona,32,1987,35,35,3092,34.4,1,0,1,1,0,0,15,0,0.03,0.0,0.03,0.03,0.03,Matches
2019-2020,426,Riqui Puig,es ESP,MF,Barcelona,19,1999,11,5,510,5.7,0,2,2,0,0,0,1,0,0.0,0.35,0.35,0.0,0.35,Matches
2019-2020,431,Rafinha,br BRA,FW,Barcelona,26,1993,3,2,186,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2019-2020,435,Ivan Rakitić,hr CRO,MF,Barcelona,31,1988,31,16,1589,17.7,1,3,4,1,0,0,5,0,0.06,0.17,0.23,0.06,0.23,Matches
2019-2020,451,Sergi Roberto,es ESP,"DF,MF",Barcelona,27,1992,30,27,2339,26.0,1,2,3,1,0,0,8,0,0.04,0.08,0.12,0.04,0.12,Matches
2019-2020,488,Nélson Semedo,pt POR,DF,Barcelona,25,1993,32,24,2097,23.3,1,2,3,1,0,0,2,0,0.04,0.09,0.13,0.04,0.13,Matches
2019-2020,509,Luis Suárez,uy URU,FW,Barcelona,32,1987,28,22,1998,22.2,16,8,24,15,1,1,4,0,0.72,0.36,1.08,0.68,1.04,Matches
2019-2020,516,Marc-André ter Stegen,de GER,GK,Barcelona,27,1992,36,36,3240,36.0,0,2,2,0,0,0,1,0,0.0,0.06,0.06,0.0,0.06,Matches
2019-2020,518,Jean-Clair Todibo,fr FRA,DF,Barcelona,19,1999,2,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2019-2020,529,Samuel Umtiti,fr FRA,DF,Barcelona,25,1993,13,10,949,10.5,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,Matches
2019-2020,549,Arturo Vidal,cl CHI,"MF,FW",Barcelona,32,1987,33,16,1671,18.6,8,2,10,8,0,0,4,0,0.43,0.11,0.54,0.43,0.54,Matches
2019-2020,559,Moussa Wagué,sn SEN,DF,Barcelona,20,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
