Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2008-2009,3,Éric Abidal,fr FRA,DF,Barcelona,28,1979,25,25,2116,23.5,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,Matches
2008-2009,14,Thiago Alcántara,es ESP,MF,Barcelona,17,1991,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2008-2009,22,Dani Alves,br BRA,"DF,MF",Barcelona,25,1983,34,32,2925,32.5,5,9,14,5,0,0,10,0,0.15,0.28,0.43,0.15,0.43,Matches
2008-2009,71,Alberto Botía,es ESP,DF,Barcelona,19,1989,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2008-2009,80,Sergio Busquets,es ESP,MF,Barcelona,20,1988,24,16,1535,17.1,1,0,1,1,0,0,9,0,0.06,0.0,0.06,0.06,0.06,Matches
2008-2009,81,Martín Cáceres,uy URU,DF,Barcelona,21,1987,13,8,783,8.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2008-2009,160,Samuel Eto'o,cm CMR,FW,Barcelona,27,1981,36,34,2929,32.5,30,4,34,28,2,3,9,0,0.92,0.12,1.04,0.86,0.98,Matches
2008-2009,209,Abraham González,es ESP,MF,Barcelona,23,1985,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2008-2009,224,Eiður Guðjohnsen,is ISL,"FW,MF",Barcelona,29,1978,24,11,1036,11.5,3,2,5,3,0,0,2,0,0.26,0.17,0.43,0.26,0.43,Matches
2008-2009,228,Thierry Henry,fr FRA,FW,Barcelona,30,1977,29,24,2112,23.5,19,7,26,19,0,0,3,0,0.81,0.3,1.11,0.81,1.11,Matches
2008-2009,234,Alexander Hleb,by BLR,MF,Barcelona,27,1981,19,8,730,8.1,0,3,3,0,0,0,0,0,0.0,0.37,0.37,0.0,0.37,Matches
2008-2009,240,Andrés Iniesta,es ESP,MF,Barcelona,24,1984,26,22,1901,21.1,4,5,9,4,0,0,3,0,0.19,0.24,0.43,0.19,0.43,Matches
2008-2009,266,Seydou Keita,ml MLI,MF,Barcelona,28,1980,29,17,1529,17.0,4,0,4,4,0,0,0,1,0.24,0.0,0.24,0.24,0.24,Matches
2008-2009,271,Bojan Krkić,es ESP,"FW,MF",Barcelona,17,1990,23,6,736,8.2,2,4,6,2,0,0,3,0,0.24,0.49,0.73,0.24,0.73,Matches
2008-2009,312,José Manuel Pinto,es ESP,GK,Barcelona,32,1975,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2008-2009,323,Rafael Márquez,mx MEX,"DF,MF",Barcelona,29,1979,23,23,1987,22.1,1,0,1,1,0,0,7,1,0.05,0.0,0.05,0.05,0.05,Matches
2008-2009,335,Lionel Messi,ar ARG,"FW,MF",Barcelona,21,1987,31,27,2516,28.0,23,11,34,20,3,4,2,0,0.82,0.39,1.22,0.72,1.11,Matches
2008-2009,351,Marc Muniesa,es ESP,"DF,MF",Barcelona,16,1992,1,0,31,0.3,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,Matches
2008-2009,376,Oier Olazábal,es ESP,GK,Barcelona,18,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2008-2009,397,Pedro,es ESP,"FW,MF",Barcelona,21,1987,6,4,355,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2008-2009,406,Gerard Piqué,es ESP,DF,Barcelona,21,1987,25,25,2205,24.5,1,0,1,1,0,0,8,2,0.04,0.0,0.04,0.04,0.04,Matches
2008-2009,416,Carles Puyol,es ESP,DF,Barcelona,30,1978,28,26,2384,26.5,1,2,3,1,0,0,4,0,0.04,0.08,0.11,0.04,0.11,Matches
2008-2009,453,Víctor Sánchez,es ESP,"DF,MF",Barcelona,20,1987,7,3,250,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2008-2009,484,Jeffrén Suárez,ve VEN,"FW,MF",Barcelona,20,1988,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2008-2009,488,Sylvinho,br BRA,DF,Barcelona,34,1974,15,10,878,9.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2008-2009,501,Xavi Torres,es ESP,"DF,MF",Barcelona,21,1986,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2008-2009,502,Yaya Touré,ci CIV,MF,Barcelona,25,1983,25,23,1924,21.4,2,0,2,2,0,0,4,0,0.09,0.0,0.09,0.09,0.09,Matches
2008-2009,510,Víctor Valdés,es ESP,GK,Barcelona,26,1982,35,35,3150,35.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
2008-2009,527,Xavi,es ESP,MF,Barcelona,28,1980,35,34,2973,33.0,6,19,25,6,0,0,4,0,0.18,0.58,0.76,0.18,0.76,Matches
