Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2018-2019,9,Jordi Alba,es ESP,DF,Barcelona,29,1989,36,32,2991,33.2,2,8,10,2,0,0,6,0,0.06,0.24,0.3,0.06,0.3,Matches
2018-2019,14,Carles Aleñá,es ESP,MF,Barcelona,20,1998,17,6,637,7.1,2,0,2,2,0,0,2,0,0.28,0.0,0.28,0.28,0.28,Matches
2018-2019,64,Kevin-Prince Boateng,gh GHA,FW,Barcelona,31,1987,3,3,239,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,74,Sergio Busquets,es ESP,MF,Barcelona,30,1988,35,30,2715,30.2,0,1,1,0,0,0,10,0,0.0,0.03,0.03,0.0,0.03,Matches
2018-2019,103,Jasper Cillessen,nl NED,GK,Barcelona,29,1989,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,105,Álex Collado,es ESP,MF,Barcelona,19,1999,1,0,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,115,Philippe Coutinho,br BRA,"FW,MF",Barcelona,26,1992,34,22,2018,22.4,5,2,7,5,0,0,2,0,0.22,0.09,0.31,0.22,0.31,Matches
2018-2019,122,Ousmane Dembélé,fr FRA,"FW,MF",Barcelona,21,1997,29,20,1661,18.5,8,5,13,8,0,0,1,0,0.43,0.27,0.7,0.43,0.7,Matches
2018-2019,215,Munir El Haddadi,ma MAR,FW,Barcelona,22,1995,7,1,152,1.7,1,1,2,1,0,0,0,0,0.59,0.59,1.18,0.59,1.18,Matches
2018-2019,279,Clément Lenglet,fr FRA,DF,Barcelona,23,1995,23,22,1933,21.5,1,0,1,1,0,0,8,1,0.05,0.0,0.05,0.05,0.05,Matches
2018-2019,305,Malcom,br BRA,"FW,MF",Barcelona,21,1997,15,6,614,6.8,1,2,3,1,0,0,0,0,0.15,0.29,0.44,0.15,0.44,Matches
2018-2019,327,Arthur Melo,br BRA,MF,Barcelona,21,1996,27,19,1430,15.9,0,1,1,0,0,0,2,0,0.0,0.06,0.06,0.0,0.06,Matches
2018-2019,334,Lionel Messi,ar ARG,FW,Barcelona,31,1987,34,29,2713,30.1,36,13,49,32,4,5,3,0,1.19,0.43,1.63,1.06,1.49,Matches
2018-2019,363,Jeison Murillo,co COL,DF,Barcelona,26,1992,2,1,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,397,Carles Pérez,es ESP,"FW,MF",Barcelona,20,1998,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,403,Gerard Piqué,es ESP,DF,Barcelona,31,1987,35,35,3150,35.0,4,2,6,4,0,0,6,0,0.11,0.06,0.17,0.11,0.17,Matches
2018-2019,416,Riqui Puig,es ESP,MF,Barcelona,18,1999,2,2,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,420,Rafinha,br BRA,"FW,MF",Barcelona,25,1993,5,3,223,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,421,Ivan Rakitić,hr CRO,MF,Barcelona,30,1988,34,29,2643,29.4,3,5,8,3,0,0,7,1,0.1,0.17,0.27,0.1,0.27,Matches
2018-2019,434,Sergi Roberto,es ESP,"DF,MF",Barcelona,26,1992,29,23,2088,23.2,0,7,7,0,0,0,3,0,0.0,0.3,0.3,0.0,0.3,Matches
2018-2019,451,Abel Ruiz,es ESP,FW,Barcelona,18,2000,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,467,Nélson Semedo,pt POR,DF,Barcelona,24,1993,26,20,1600,17.8,1,0,1,1,0,0,4,0,0.06,0.0,0.06,0.06,0.06,Matches
2018-2019,489,Denis Suárez,es ESP,MF,Barcelona,24,1994,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,491,Luis Suárez,uy URU,FW,Barcelona,31,1987,33,31,2827,31.4,21,6,27,17,4,4,5,0,0.67,0.19,0.86,0.54,0.73,Matches
2018-2019,496,Marc-André ter Stegen,de GER,GK,Barcelona,26,1992,35,35,3150,35.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,499,Jean-Clair Todibo,fr FRA,DF,Barcelona,18,1999,2,2,157,1.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,508,Samuel Umtiti,fr FRA,DF,Barcelona,24,1993,14,13,1189,13.2,0,1,1,0,0,0,4,0,0.0,0.08,0.08,0.0,0.08,Matches
2018-2019,520,Thomas Vermaelen,be BEL,DF,Barcelona,32,1985,9,7,587,6.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,525,Arturo Vidal,cl CHI,MF,Barcelona,31,1987,33,22,1929,21.4,3,7,10,3,0,0,7,0,0.14,0.33,0.47,0.14,0.47,Matches
2018-2019,531,Moussa Wagué,sn SEN,"MF,DF",Barcelona,19,1998,3,2,225,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
