Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2015-2016,3,Adriano,br BRA,DF,Barcelona,30,1984,8,4,434,4.8,0,1,1,0,0,0,0,0,0.0,0.21,0.21,0.0,0.21,Matches
2015-2016,8,Jordi Alba,es ESP,DF,Barcelona,26,1989,31,29,2589,28.8,0,6,6,0,0,0,2,0,0.0,0.21,0.21,0.0,0.21,Matches
2015-2016,19,Dani Alves,br BRA,DF,Barcelona,32,1983,29,24,2145,23.8,0,3,3,0,0,0,6,0,0.0,0.13,0.13,0.0,0.13,Matches
2015-2016,59,Marc Bartra,es ESP,DF,Barcelona,24,1991,13,4,503,5.6,2,1,3,2,0,0,0,0,0.36,0.18,0.54,0.36,0.54,Matches
2015-2016,79,Claudio Bravo,cl CHI,GK,Barcelona,32,1983,32,32,2877,32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,83,Sergio Busquets,es ESP,MF,Barcelona,27,1988,35,34,2899,32.2,0,4,4,0,0,0,6,0,0.0,0.12,0.12,0.0,0.12,Matches
2015-2016,157,Douglas,br BRA,DF,Barcelona,24,1990,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,228,Gerard Gumbau,es ESP,MF,Barcelona,20,1994,3,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,231,Munir El Haddadi,ma MAR,"FW,MF",Barcelona,19,1995,15,8,827,9.2,3,2,5,3,0,0,0,0,0.33,0.22,0.54,0.33,0.54,Matches
2015-2016,247,Andrés Iniesta,es ESP,MF,Barcelona,31,1984,28,25,2245,24.9,1,2,3,1,0,0,2,0,0.04,0.08,0.12,0.04,0.12,Matches
2015-2016,338,Javier Mascherano,ar ARG,DF,Barcelona,31,1984,32,31,2691,29.9,0,0,0,0,0,0,9,1,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,341,Jérémy Mathieu,fr FRA,DF,Barcelona,31,1983,21,12,1264,14.0,0,2,2,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14,Matches
2015-2016,354,Lionel Messi,ar ARG,FW,Barcelona,28,1987,33,31,2729,30.3,26,14,40,23,3,7,3,0,0.86,0.46,1.32,0.76,1.22,Matches
2015-2016,383,Neymar,br BRA,FW,Barcelona,23,1992,34,34,3056,34.0,24,10,34,19,5,7,6,0,0.71,0.29,1.0,0.56,0.85,Matches
2015-2016,419,Gerard Piqué,es ESP,DF,Barcelona,28,1987,30,30,2587,28.7,2,1,3,2,0,0,12,0,0.07,0.03,0.1,0.07,0.1,Matches
2015-2016,430,Rafinha,br BRA,"FW,MF",Barcelona,22,1993,6,3,281,3.1,1,0,1,1,0,0,0,0,0.32,0.0,0.32,0.32,0.32,Matches
2015-2016,432,Ivan Rakitić,hr CRO,MF,Barcelona,27,1988,36,30,2569,28.5,7,2,9,7,0,0,3,0,0.25,0.07,0.32,0.25,0.32,Matches
2015-2016,434,Sandro Ramírez,es ESP,FW,Barcelona,20,1995,10,4,349,3.9,0,1,1,0,0,0,0,0,0.0,0.26,0.26,0.0,0.26,Matches
2015-2016,448,Sergi Roberto,es ESP,"MF,DF",Barcelona,23,1992,31,21,1917,21.3,0,4,4,0,0,0,1,0,0.0,0.19,0.19,0.0,0.19,Matches
2015-2016,467,Sergi Samper,es ESP,MF,Barcelona,20,1995,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,489,Luis Suárez,uy URU,FW,Barcelona,28,1987,35,35,3150,35.0,40,17,57,37,3,5,7,0,1.14,0.49,1.63,1.06,1.54,Matches
2015-2016,494,Marc-André ter Stegen,de GER,GK,Barcelona,23,1992,7,6,543,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,509,Arda Turan,tr TUR,MF,Barcelona,28,1987,18,9,817,9.1,2,3,5,2,0,0,5,0,0.22,0.33,0.55,0.22,0.55,Matches
2015-2016,522,Thomas Vermaelen,be BEL,DF,Barcelona,29,1985,10,6,508,5.6,1,0,1,1,0,0,2,0,0.18,0.0,0.18,0.18,0.18,Matches
2015-2016,525,Aleix Vidal,es ESP,DF,Barcelona,25,1989,9,6,544,6.0,0,1,1,0,0,0,1,0,0.0,0.17,0.17,0.0,0.17,Matches
