Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2006-2007,62,Juliano Belletti,br BRA,"DF,MF",Barcelona,30,1976,13,9,808,9.0,0,1.0,1.0,0,0,0.0,2,0,0.0,0.11,0.11,0.0,0.11,Matches
2006-2007,74,Giovanni van Bronckhorst,nl NED,"DF,MF",Barcelona,31,1975,23,20,1775,19.7,0,2.0,2.0,0,0,0.0,3,0,0.0,0.1,0.1,0.0,0.1,Matches
2006-2007,134,Deco,pt POR,MF,Barcelona,28,1977,31,31,2473,27.5,1,9.0,10.0,1,0,0.0,14,1,0.04,0.33,0.36,0.04,0.36,Matches
2006-2007,150,Edmílson,br BRA,"DF,MF",Barcelona,30,1976,26,22,1809,20.1,0,0.0,0.0,0,0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,Matches
2006-2007,163,Samuel Eto'o,cm CMR,FW,Barcelona,25,1981,19,17,1477,16.4,11,7.0,18.0,11,0,0.0,4,0,0.67,0.43,1.1,0.67,1.1,Matches
2006-2007,169,Santiago Ezquerro,es ESP,FW,Barcelona,29,1976,9,2,274,3.0,1,0.0,1.0,1,0,0.0,0,0,0.33,0.0,0.33,0.33,0.33,Matches
2006-2007,204,Ludovic Giuly,fr FRA,"FW,MF",Barcelona,30,1976,27,15,1468,16.3,3,2.0,5.0,3,0,0.0,0,1,0.18,0.12,0.31,0.18,0.31,Matches
2006-2007,216,Eiður Guðjohnsen,is ISL,"FW,MF",Barcelona,27,1978,25,14,1171,13.0,5,2.0,7.0,5,0,0.0,1,0,0.38,0.15,0.54,0.38,0.54,Matches
2006-2007,230,Andrés Iniesta,es ESP,MF,Barcelona,22,1984,37,28,2696,30.0,6,3.0,9.0,6,0,0.0,4,0,0.2,0.1,0.3,0.2,0.3,Matches
2006-2007,310,Rafael Márquez,mx MEX,"DF,MF",Barcelona,27,1979,21,20,1720,19.1,1,0.0,1.0,1,0,0.0,7,0,0.05,0.0,0.05,0.05,0.05,Matches
2006-2007,324,Lionel Messi,ar ARG,"FW,MF",Barcelona,19,1987,26,23,1983,22.0,14,3.0,17.0,14,0,0.0,2,0,0.64,0.14,0.77,0.64,0.77,Matches
2006-2007,340,Thiago Motta,it ITA,MF,Barcelona,23,1982,14,5,566,6.3,0,0.0,0.0,0,0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,Matches
2006-2007,366,Jesús Olmo,es ESP,DF,Barcelona,21,1985,1,0,3,0.0,0,,,0,0,,0,0,0.0,,,0.0,,Matches
2006-2007,400,Oleguer Presas,es ESP,DF,Barcelona,26,1980,25,11,1238,13.8,0,0.0,0.0,0,0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,Matches
2006-2007,406,Carles Puyol,es ESP,DF,Barcelona,28,1978,35,35,3028,33.6,2,0.0,2.0,2,0,0.0,3,0,0.06,0.0,0.06,0.06,0.06,Matches
2006-2007,435,Ronaldinho,br BRA,"FW,MF",Barcelona,26,1980,32,32,2733,30.4,21,8.0,29.0,14,7,8.0,8,1,0.69,0.26,0.95,0.46,0.72,Matches
2006-2007,449,Javier Saviola,ar ARG,FW,Barcelona,24,1981,18,6,677,7.5,5,0.0,5.0,5,0,0.0,2,0,0.66,0.0,0.66,0.66,0.66,Matches
2006-2007,470,Sylvinho,br BRA,DF,Barcelona,32,1974,13,11,976,10.8,0,2.0,2.0,0,0,0.0,3,1,0.0,0.18,0.18,0.0,0.18,Matches
2006-2007,477,Lilian Thuram,fr FRA,DF,Barcelona,34,1972,23,23,1954,21.7,0,0.0,0.0,0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2006-2007,494,Víctor Valdés,es ESP,GK,Barcelona,24,1982,38,38,3420,38.0,0,0.0,0.0,0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2006-2007,514,Xavi,es ESP,MF,Barcelona,26,1980,35,31,2866,31.8,3,3.0,6.0,3,0,0.0,3,0,0.09,0.09,0.19,0.09,0.19,Matches
2006-2007,520,Gianluca Zambrotta,it ITA,DF,Barcelona,29,1977,29,25,2313,25.7,3,3.0,6.0,3,0,0.0,10,1,0.12,0.12,0.23,0.12,0.23,Matches
