Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2021-2022,5,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,4,2,151,1.7,1,0,1,1,0,0,0,0,0.6,0.0,0.6,0.6,0.6,Matches
2021-2022,9,Ilias Akhomach,ma MAR,FW,Barcelona,17,2004,2,2,124,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2021-2022,13,Jordi Alba,es ESP,DF,Barcelona,32,1989,30,30,2644,29.4,2,10,12,2,0,0,11,0,0.07,0.34,0.41,0.07,0.41,Matches
2021-2022,22,Dani Alves,br BRA,DF,Barcelona,38,1983,14,13,1098,12.2,1,3,4,1,0,0,2,1,0.08,0.25,0.33,0.08,0.33,Matches
2021-2022,31,Ronald Araújo,uy URU,DF,Barcelona,22,1999,30,25,2272,25.2,4,0,4,4,0,0,6,0,0.16,0.0,0.16,0.16,0.16,Matches
2021-2022,40,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32,1989,17,13,1082,12.0,11,1,12,11,0,0,0,0,0.91,0.08,1.0,0.91,1.0,Matches
2021-2022,48,Alejandro Balde,es ESP,DF,Barcelona,17,2003,5,2,188,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2021-2022,76,Martin Braithwaite,dk DEN,FW,Barcelona,30,1991,4,3,235,2.6,2,1,3,2,0,0,0,0,0.77,0.38,1.15,0.77,1.15,Matches
2021-2022,81,Sergio Busquets,es ESP,MF,Barcelona,33,1988,36,36,3198,35.5,2,0,2,2,0,0,12,0,0.06,0.0,0.06,0.06,0.06,Matches
2021-2022,130,Philippe Coutinho,br BRA,"FW,MF",Barcelona,29,1992,12,5,503,5.6,2,0,2,1,1,1,1,0,0.36,0.0,0.36,0.18,0.18,Matches
2021-2022,140,Ousmane Dembélé,fr FRA,"FW,MF",Barcelona,24,1997,21,15,1409,15.7,1,13,14,1,0,0,3,0,0.06,0.83,0.89,0.06,0.89,Matches
2021-2022,141,Yusuf Demir,at AUT,FW,Barcelona,18,2003,6,2,192,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2021-2022,142,Sergiño Dest,us USA,"DF,FW",Barcelona,20,2000,21,17,1512,16.8,0,3,3,0,0,0,2,0,0.0,0.18,0.18,0.0,0.18,Matches
2021-2022,165,Emerson,br BRA,DF,Barcelona,22,1999,3,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2021-2022,171,Estanis,es ESP,FW,Barcelona,17,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2021-2022,173,Abde Ezzalzouli,ma MAR,FW,Barcelona,19,2001,10,6,580,6.4,1,0,1,1,0,0,4,0,0.16,0.0,0.16,0.16,0.16,Matches
2021-2022,177,Ansu Fati,es ESP,FW,Barcelona,18,2002,10,3,336,3.7,4,0,4,4,0,0,0,0,1.07,0.0,1.07,1.07,1.07,Matches
2021-2022,198,Eric García,es ESP,DF,Barcelona,20,2001,26,23,2039,22.7,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,Matches
2021-2022,207,Gavi,es ESP,"MF,FW",Barcelona,16,2004,34,28,2316,25.7,2,5,7,2,0,0,11,1,0.08,0.19,0.27,0.08,0.27,Matches
2021-2022,221,Nicolás González,es ESP,MF,Barcelona,19,2002,27,12,1114,12.4,2,1,3,2,0,0,6,0,0.16,0.08,0.24,0.16,0.24,Matches
2021-2022,229,Antoine Griezmann,fr FRA,FW,Barcelona,30,1991,3,3,263,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2021-2022,274,Frenkie de Jong,nl NED,MF,Barcelona,24,1997,32,30,2476,27.5,3,3,6,3,0,0,7,1,0.11,0.11,0.22,0.11,0.22,Matches
2021-2022,275,Luuk de Jong,nl NED,"FW,MF",Barcelona,30,1990,21,6,654,7.3,6,0,6,6,0,0,1,0,0.83,0.0,0.83,0.83,0.83,Matches
