Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2003-2004,26,Patrik Andersson,se SWE,DF,Barcelona,31,1971,4,2,208,2.3,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2003-2004,78,Giovanni van Bronckhorst,nl NED,"DF,MF",Barcelona,28,1975,34,34,3007,33.4,0,2.0,2.0,0,0,0.0,6,0,0.0,0.06,0.06,0.0,0.06,Matches
2003-2004,114,Phillip Cocu,nl NED,"DF,FW",Barcelona,32,1970,36,36,3129,34.8,5,2.0,7.0,5,0,0.0,5,2,0.14,0.06,0.2,0.14,0.2,Matches
2003-2004,130,Edgar Davids,nl NED,MF,Barcelona,30,1973,18,18,1468,16.3,1,0.0,1.0,1,0,0.0,6,1,0.06,0.0,0.06,0.06,0.06,Matches
2003-2004,148,Luis Enrique,es ESP,"FW,MF",Barcelona,33,1970,24,10,1022,11.4,3,2.0,5.0,3,0,0.0,2,1,0.26,0.18,0.44,0.26,0.44,Matches
2003-2004,180,Gabri García,es ESP,"DF,MF",Barcelona,24,1979,16,12,1082,12.0,1,0.0,1.0,1,0,0.0,6,1,0.08,0.0,0.08,0.08,0.08,Matches
2003-2004,183,Luis García,es ESP,MF,Barcelona,25,1978,25,23,1659,18.4,4,7.0,11.0,4,0,0.0,1,0,0.22,0.38,0.6,0.22,0.6,Matches
2003-2004,187,Sergio García,es ESP,"FW,MF",Barcelona,20,1983,4,2,206,2.3,0,1.0,1.0,0,0,0.0,0,0,0.0,0.44,0.44,0.0,0.44,Matches
2003-2004,216,Andrés Iniesta,es ESP,MF,Barcelona,19,1984,11,5,498,5.5,1,2.0,3.0,1,0,0.0,0,0,0.18,0.36,0.54,0.18,0.54,Matches
2003-2004,231,Albert Jorquera,es ESP,GK,Barcelona,24,1979,2,2,180,2.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2003-2004,251,Patrick Kluivert,nl NED,FW,Barcelona,27,1976,21,11,1287,14.3,8,2.0,10.0,8,0,0.0,2,0,0.56,0.14,0.7,0.56,0.7,Matches
2003-2004,274,Gerard López,es ESP,MF,Barcelona,24,1979,19,11,1232,13.7,1,0.0,1.0,1,0,0.0,8,1,0.07,0.0,0.07,0.07,0.07,Matches
2003-2004,278,Óscar López,es ESP,DF,Barcelona,23,1980,6,2,311,3.5,0,1.0,1.0,0,0,0.0,1,0,0.0,0.29,0.29,0.0,0.29,Matches
2003-2004,304,Mario,es ESP,DF,Barcelona,21,1982,1,1,90,1.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2003-2004,305,Rafael Márquez,mx MEX,"DF,MF",Barcelona,24,1979,22,17,1388,15.4,1,0.0,1.0,1,0,0.0,5,1,0.06,0.0,0.06,0.06,0.06,Matches
2003-2004,335,Thiago Motta,it ITA,MF,Barcelona,20,1982,20,13,1020,11.3,1,1.0,2.0,1,0,0.0,10,3,0.09,0.09,0.18,0.09,0.18,Matches
2003-2004,372,Marc Overmars,nl NED,"FW,MF",Barcelona,30,1973,20,5,799,8.9,1,1.0,2.0,1,0,0.0,0,0,0.11,0.11,0.23,0.11,0.23,Matches
2003-2004,405,Oleguer Presas,es ESP,DF,Barcelona,23,1980,18,17,1558,17.3,0,,,0,0,,3,0,0.0,,,0.0,,Matches
2003-2004,410,Carles Puyol,es ESP,DF,Barcelona,25,1978,27,27,2338,26.0,0,0.0,0.0,0,0,0.0,9,1,0.0,0.0,0.0,0.0,0.0,Matches
2003-2004,411,Ricardo Quaresma,pt POR,"FW,MF",Barcelona,19,1983,22,10,1000,11.1,1,1.0,2.0,1,0,0.0,6,1,0.09,0.09,0.18,0.09,0.18,Matches
2003-2004,420,Rüştü Reçber,tr TUR,GK,Barcelona,30,1973,4,3,326,3.6,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2003-2004,425,Michael Reiziger,nl NED,DF,Barcelona,30,1973,30,29,2488,27.6,0,1.0,1.0,0,0,0.0,6,0,0.0,0.04,0.04,0.0,0.04,Matches
2003-2004,445,Ronaldinho,br BRA,"FW,MF",Barcelona,23,1980,32,32,2677,29.7,15,5.0,20.0,13,2,2.0,10,1,0.5,0.17,0.67,0.44,0.61,Matches
2003-2004,447,Ramón Ros,es ESP,MF,Barcelona,22,1981,1,0,6,0.1,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2003-2004,465,Sergio Santamaría,es ESP,"FW,MF",Barcelona,23,1980,4,1,146,1.6,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2003-2004,471,Javier Saviola,ar ARG,FW,Barcelona,21,1981,33,28,2274,25.3,14,5.0,19.0,14,0,1.0,5,0,0.55,0.2,0.75,0.55,0.75,Matches
2003-2004,511,Víctor Valdés,es ESP,GK,Barcelona,21,1982,33,33,2914,32.4,0,0.0,0.0,0,0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,Matches
2003-2004,531,Xavi,es ESP,MF,Barcelona,23,1980,36,34,3014,33.5,4,9.0,13.0,4,0,0.0,3,0,0.12,0.27,0.39,0.12,0.39,Matches
