Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2005-2006,64,Juliano Belletti,br BRA,"DF,MF",Barcelona,29,1976,27,20,1712,19.0,0,1.0,1.0,0,0,0.0,9,0,0.0,0.05,0.05,0.0,0.05,Matches
2005-2006,71,Mark van Bommel,nl NED,MF,Barcelona,28,1977,24,17,1555,17.3,2,2.0,4.0,2,0,0.0,4,0,0.12,0.12,0.23,0.12,0.23,Matches
2005-2006,79,Giovanni van Bronckhorst,nl NED,"DF,MF",Barcelona,30,1975,19,15,1392,15.5,0,2.0,2.0,0,0,0.0,3,0,0.0,0.13,0.13,0.0,0.13,Matches
2005-2006,137,Deco,pt POR,MF,Barcelona,27,1977,29,28,2373,26.4,3,7.0,10.0,3,0,0.0,7,1,0.11,0.27,0.38,0.11,0.38,Matches
2005-2006,150,Edmílson,br BRA,"DF,MF",Barcelona,29,1976,28,24,2192,24.4,0,2.0,2.0,0,0,0.0,10,1,0.0,0.08,0.08,0.0,0.08,Matches
2005-2006,159,Samuel Eto'o,cm CMR,FW,Barcelona,24,1981,34,34,3015,33.5,26,5.0,31.0,25,1,2.0,1,0,0.78,0.15,0.93,0.75,0.9,Matches
2005-2006,164,Santiago Ezquerro,es ESP,FW,Barcelona,28,1976,12,3,475,5.3,2,0.0,2.0,2,0,0.0,0,0,0.38,0.0,0.38,0.38,0.38,Matches
2005-2006,190,Gabri García,es ESP,"DF,MF",Barcelona,26,1979,11,4,428,4.8,0,0.0,0.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,Matches
2005-2006,206,Ludovic Giuly,fr FRA,"FW,MF",Barcelona,29,1976,30,21,1752,19.5,5,5.0,10.0,5,0,0.0,1,0,0.26,0.26,0.51,0.26,0.51,Matches
2005-2006,232,Andrés Iniesta,es ESP,MF,Barcelona,21,1984,33,14,1662,18.5,0,4.0,4.0,0,0,0.0,3,0,0.0,0.22,0.22,0.0,0.22,Matches
2005-2006,250,Albert Jorquera,es ESP,GK,Barcelona,26,1979,3,3,270,3.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2005-2006,277,Henrik Larsson,se SWE,FW,Barcelona,33,1971,28,14,1345,14.9,10,1.0,11.0,10,0,0.0,0,0,0.67,0.07,0.74,0.67,0.74,Matches
2005-2006,293,Maxi López,ar ARG,FW,Barcelona,21,1984,6,2,272,3.0,0,1.0,1.0,0,0,0.0,0,0,0.0,0.33,0.33,0.0,0.33,Matches
2005-2006,314,Rafael Márquez,mx MEX,"DF,MF",Barcelona,26,1979,25,25,1976,22.0,0,0.0,0.0,0,0,0.0,7,0,0.0,0.0,0.0,0.0,0.0,Matches
2005-2006,318,Francisco Martos,es ESP,"DF,MF",Barcelona,21,1984,1,0,17,0.2,0,,,0,0,,0,0,0.0,,,0.0,,Matches
2005-2006,319,Ramón Masó,es ESP,MF,Barcelona,17,1987,1,0,10,0.1,0,,,0,0,,0,0,0.0,,,0.0,,Matches
2005-2006,327,Lionel Messi,ar ARG,"FW,MF",Barcelona,18,1987,17,11,911,10.1,6,3.0,9.0,6,0,0.0,2,0,0.59,0.3,0.89,0.59,0.89,Matches
2005-2006,337,Paco Montañés,es ESP,"FW,MF",Barcelona,18,1986,1,0,21,0.2,0,,,0,0,,0,0,0.0,,,0.0,,Matches
2005-2006,345,Thiago Motta,it ITA,MF,Barcelona,22,1982,15,11,908,10.1,1,1.0,2.0,1,0,0.0,3,1,0.1,0.1,0.2,0.1,0.2,Matches
2005-2006,372,Jesús Olmo,es ESP,DF,Barcelona,20,1985,1,1,90,1.0,0,,,0,0,,1,0,0.0,,,0.0,,Matches
2005-2006,374,Andrea Orlandi,es ESP,"FW,MF",Barcelona,20,1984,1,1,73,0.8,0,,,0,0,,0,0,0.0,,,0.0,,Matches
2005-2006,399,Pitu,es ESP,MF,Barcelona,21,1983,1,0,29,0.3,0,,,0,0,,0,0,0.0,,,0.0,,Matches
2005-2006,408,Oleguer Presas,es ESP,DF,Barcelona,25,1980,33,31,2725,30.3,0,0.0,0.0,0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2005-2006,415,Carles Puyol,es ESP,DF,Barcelona,27,1978,35,35,3133,34.8,1,0.0,1.0,1,0,0.0,7,1,0.03,0.0,0.03,0.03,0.03,Matches
2005-2006,438,Rodri,es ESP,DF,Barcelona,20,1984,4,3,254,2.8,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2005-2006,448,Ronaldinho,br BRA,"FW,MF",Barcelona,25,1980,29,29,2523,28.0,17,14.0,31.0,10,7,8.0,5,0,0.61,0.5,1.11,0.36,0.86,Matches
2005-2006,486,Ludovic Sylvestre,gp GLP,MF,Barcelona,21,1984,2,1,107,1.2,0,,,0,0,,0,0,0.0,,,0.0,,Matches
2005-2006,487,Sylvinho,br BRA,DF,Barcelona,31,1974,26,22,2024,22.5,2,4.0,6.0,2,0,0.0,5,0,0.09,0.18,0.27,0.09,0.27,Matches
2005-2006,510,Víctor Valdés,es ESP,GK,Barcelona,23,1982,35,35,3150,35.0,0,0.0,0.0,0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2005-2006,530,Xavi,es ESP,MF,Barcelona,25,1980,16,14,1215,13.5,0,1.0,1.0,0,0,0.0,0,0,0.0,0.07,0.07,0.0,0.07,Matches
