Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2022-2023,11,Ángel Alarcón,es ESP,FW,Barcelona,18,2004,4,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,13,Jordi Alba,es ESP,DF,Barcelona,33,1989,24,14,1419,15.8,2,3,5,2,0,0,6,1,0.13,0.19,0.32,0.13,0.32,Matches
2022-2023,23,Marcos Alonso,es ESP,DF,Barcelona,31,1990,24,11,1172,13.0,1,0,1,1,0,0,3,0,0.08,0.0,0.08,0.08,0.08,Matches
2022-2023,36,Ronald Araújo,uy URU,DF,Barcelona,23,1999,22,21,1800,20.0,0,2,2,0,0,0,5,1,0.0,0.1,0.1,0.0,0.1,Matches
2022-2023,45,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Barcelona,33,1989,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,53,Alejandro Balde,es ESP,DF,Barcelona,18,2003,33,30,2471,27.5,1,6,7,1,0,0,4,0,0.04,0.22,0.25,0.04,0.25,Matches
2022-2023,63,Héctor Bellerín,es ESP,DF,Barcelona,27,1995,3,1,143,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,82,Sergio Busquets,es ESP,MF,Barcelona,34,1988,30,28,2339,26.0,0,4,4,0,0,0,8,1,0.0,0.15,0.15,0.0,0.15,Matches
2022-2023,111,Andreas Christensen,dk DEN,DF,Barcelona,26,1996,23,22,1760,19.6,1,1,2,1,0,0,2,0,0.05,0.05,0.1,0.05,0.1,Matches
2022-2023,142,Ousmane Dembélé,fr FRA,FW,Barcelona,25,1997,25,16,1410,15.7,5,7,12,5,0,0,4,0,0.32,0.45,0.77,0.32,0.77,Matches
2022-2023,172,Ansu Fati,es ESP,FW,Barcelona,19,2002,36,12,1393,15.5,7,3,10,7,0,0,3,0,0.45,0.19,0.65,0.45,0.65,Matches
2022-2023,200,Eric García,es ESP,"DF,MF",Barcelona,21,2001,24,15,1417,15.7,1,0,1,1,0,0,3,0,0.06,0.0,0.06,0.06,0.06,Matches
2022-2023,207,Aleix Garrido,es ESP,MF,Barcelona,18,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,209,Gavi,es ESP,"MF,FW",Barcelona,17,2004,36,30,2531,28.1,2,4,6,2,0,0,10,0,0.07,0.14,0.21,0.07,0.21,Matches
2022-2023,271,Frenkie de Jong,nl NED,MF,Barcelona,25,1997,33,29,2534,28.2,2,4,6,2,0,0,3,0,0.07,0.14,0.21,0.07,0.21,Matches
2022-2023,286,Franck Kessié,ci CIV,MF,Barcelona,25,1996,28,7,990,11.0,1,1,2,1,0,0,4,0,0.09,0.09,0.18,0.09,0.18,Matches
2022-2023,292,Jules Koundé,fr FRA,DF,Barcelona,23,1998,29,28,2426,27.0,1,3,4,1,0,0,2,0,0.04,0.11,0.15,0.04,0.15,Matches
2022-2023,309,Robert Lewandowski,pl POL,FW,Barcelona,33,1988,34,33,2847,31.6,23,7,30,23,0,1,4,1,0.73,0.22,0.95,0.73,0.95,Matches
2022-2023,361,Memphis,nl NED,FW,Barcelona,28,1994,2,2,114,1.3,1,0,1,1,0,0,0,0,0.79,0.0,0.79,0.79,0.79,Matches
2022-2023,444,Pedri,es ESP,MF,Barcelona,19,2002,26,22,1976,22.0,6,1,7,6,0,0,2,0,0.27,0.05,0.32,0.27,0.32,Matches
2022-2023,446,Iñaki Peña,es ESP,GK,Barcelona,23,1999,2,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,458,Gerard Piqué,es ESP,DF,Barcelona,35,1987,6,4,384,4.3,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,477,Raphinha,br BRA,FW,Barcelona,25,1996,36,25,2072,23.0,7,7,14,7,0,0,9,0,0.3,0.3,0.61,0.3,0.61,Matches
2022-2023,484,Chadi Riad,ma MAR,DF,Barcelona,19,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,488,Sergi Roberto,es ESP,"DF,MF",Barcelona,30,1992,23,15,1308,14.5,4,1,5,4,0,0,3,0,0.28,0.07,0.34,0.28,0.34,Matches
2022-2023,548,Marc-André ter Stegen,de GER,GK,Barcelona,30,1992,38,38,3347,37.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,552,Pablo Torre,es ESP,FW,Barcelona,19,2003,8,1,144,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,554,Ferrán Torres,es ESP,FW,Barcelona,22,2000,33,14,1392,15.5,4,2,6,4,0,1,5,1,0.26,0.13,0.39,0.26,0.39,Matches
2022-2023,591,Lamine Yamal,es ESP,"FW,MF",Barcelona,15,2007,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
