Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2013-2014,5,Adriano,br BRA,"DF,MF",Barcelona,28,1984,26,24,2071,23.0,3,1,4,3,0,0,8,0,0.13,0.04,0.17,0.13,0.17,Matches
2013-2014,7,Ibrahim Afellay,nl NED,"FW,MF",Barcelona,27,1986,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2013-2014,9,Jordi Alba,es ESP,"DF,MF",Barcelona,24,1989,15,14,1240,13.8,0,2,2,0,0,0,7,1,0.0,0.15,0.15,0.0,0.15,Matches
2013-2014,18,Dani Alves,br BRA,"DF,MF",Barcelona,30,1983,27,26,2385,26.5,2,3,5,2,0,0,6,0,0.08,0.11,0.19,0.08,0.19,Matches
2013-2014,59,Marc Bartra,es ESP,DF,Barcelona,22,1991,20,17,1592,17.7,1,1,2,1,0,0,3,0,0.06,0.06,0.11,0.06,0.11,Matches
2013-2014,78,Sergio Busquets,es ESP,MF,Barcelona,25,1988,32,30,2649,29.4,1,1,2,1,0,0,11,0,0.03,0.03,0.07,0.03,0.07,Matches
2013-2014,144,Jonathan dos Santos,mx MEX,MF,Barcelona,23,1990,3,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2013-2014,157,Cesc Fàbregas,es ESP,"FW,MF",Barcelona,26,1987,36,28,2460,27.3,8,14,22,6,2,2,4,0,0.29,0.51,0.8,0.22,0.73,Matches
2013-2014,223,Andrés Iniesta,es ESP,MF,Barcelona,29,1984,35,27,2482,27.6,3,7,10,2,1,1,0,0,0.11,0.25,0.36,0.07,0.33,Matches
2013-2014,296,José Manuel Pinto,es ESP,GK,Barcelona,37,1975,13,12,1148,12.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2013-2014,302,Jean Marie Dongou,cm CMR,FW,Barcelona,18,1995,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2013-2014,310,Javier Mascherano,ar ARG,"DF,MF",Barcelona,29,1984,28,27,2358,26.2,0,0,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0,Matches
2013-2014,317,Lionel Messi,ar ARG,"FW,MF",Barcelona,26,1987,31,29,2501,27.8,28,11,39,21,7,8,2,0,1.01,0.4,1.4,0.76,1.15,Matches
2013-2014,328,Martín Montoya,es ESP,DF,Barcelona,22,1991,13,12,1123,12.5,0,1,1,0,0,0,0,0,0.0,0.08,0.08,0.0,0.08,Matches
2013-2014,347,Neymar,br BRA,"FW,MF",Barcelona,21,1992,26,19,1734,19.3,9,8,17,8,1,1,6,0,0.47,0.42,0.88,0.42,0.83,Matches
2013-2014,375,Pedro,es ESP,"FW,MF",Barcelona,26,1987,37,28,2349,26.1,15,8,23,15,0,0,3,0,0.57,0.31,0.88,0.57,0.88,Matches
2013-2014,394,Gerard Piqué,es ESP,DF,Barcelona,26,1987,26,26,2308,25.6,2,0,2,2,0,0,5,0,0.08,0.0,0.08,0.08,0.08,Matches
2013-2014,403,Carles Puyol,es ESP,DF,Barcelona,35,1978,5,5,426,4.7,1,0,1,1,0,0,0,0,0.21,0.0,0.21,0.21,0.21,Matches
2013-2014,428,Sergi Roberto,es ESP,"DF,MF",Barcelona,21,1992,17,1,299,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2013-2014,456,Alexis Sánchez,cl CHI,"FW,MF",Barcelona,24,1988,34,27,2369,26.3,19,10,29,19,0,0,3,0,0.72,0.38,1.1,0.72,1.1,Matches
2013-2014,476,Alexandre Song,cm CMR,"DF,MF",Barcelona,25,1987,19,12,1134,12.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2013-2014,490,Cristian Tello,es ESP,"FW,MF",Barcelona,21,1991,22,2,431,4.8,1,2,3,1,0,0,0,0,0.21,0.42,0.63,0.21,0.63,Matches
2013-2014,502,Adama Traoré,es ESP,"FW,MF",Barcelona,17,1996,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2013-2014,510,Víctor Valdés,es ESP,GK,Barcelona,31,1982,26,26,2272,25.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2013-2014,532,Xavi,es ESP,MF,Barcelona,33,1980,30,26,2233,24.8,3,2,5,3,0,1,0,0,0.12,0.08,0.2,0.12,0.2,Matches
