Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
1,Éric Abidal,fr FRA,DF,es Barcelona,28,1979,3,3,246,2.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
19,Dani Alves,br BRA,"DF,MF",es Barcelona,25,1983,10,10,900,10.0,0,3,3,0,0,0,3,0,0.00,0.30,0.30,0.00,0.30,Matches
79,Sergio Busquets,es ESP,MF,es Barcelona,20,1988,8,7,621,6.9,2,1,3,2,0,0,2,0,0.29,0.14,0.43,0.29,0.43,Matches
83,Martín Cáceres,uy URU,DF,es Barcelona,21,1987,3,2,217,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
195,Samuel Eto'o,cm CMR,FW,es Barcelona,27,1981,10,9,780,8.7,4,2,6,3,1,1,1,0,0.46,0.23,0.69,0.35,0.58,Matches
267,Eiður Guðjohnsen,is ISL,"FW,MF",es Barcelona,29,1978,4,1,113,1.3,0,1,1,0,0,0,0,0,0.00,0.80,0.80,0.00,0.80,Matches
273,Thierry Henry,fr FRA,FW,es Barcelona,30,1977,10,9,702,7.8,5,3,8,5,0,0,1,0,0.64,0.38,1.03,0.64,1.03,Matches
279,Alexander Hleb,by BLR,MF,es Barcelona,27,1981,7,4,376,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
292,Andrés Iniesta,es ESP,MF,es Barcelona,24,1984,10,10,862,9.6,1,2,3,1,0,0,2,0,0.10,0.21,0.31,0.10,0.31,Matches
304,Albert Jorquera,es ESP,GK,es Barcelona,29,1979,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
323,Seydou Keita,ml MLI,MF,es Barcelona,28,1980,9,5,500,5.6,2,1,3,2,0,0,1,0,0.36,0.18,0.54,0.36,0.54,Matches
336,Bojan Krkić,es ESP,"FW,MF",es Barcelona,17,1990,9,3,317,3.5,3,1,4,2,1,1,1,0,0.85,0.28,1.14,0.57,0.85,Matches
389,Rafael Márquez,mx MEX,"DF,MF",es Barcelona,29,1979,9,9,735,8.2,1,2,3,1,0,0,3,0,0.12,0.24,0.37,0.12,0.37,Matches
408,Lionel Messi,ar ARG,"FW,MF",es Barcelona,21,1987,12,10,927,10.3,9,5,14,9,0,0,1,0,0.87,0.49,1.36,0.87,1.36,Matches
469,Pedro,es ESP,"FW,MF",es Barcelona,21,1987,4,1,126,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
482,Gerard Piqué,es ESP,DF,es Barcelona,21,1987,12,12,1080,12.0,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches
497,Carles Puyol,es ESP,DF,es Barcelona,30,1978,9,8,757,8.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
544,Víctor Sánchez,es ESP,"DF,MF",es Barcelona,20,1987,3,2,173,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
595,Sylvinho,br BRA,DF,es Barcelona,34,1974,7,5,452,5.0,1,0,1,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches
615,Yaya Touré,ci CIV,MF,es Barcelona,25,1983,10,9,802,8.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
625,Víctor Valdés,es ESP,GK,es Barcelona,26,1982,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
629,Víctor Vázquez,es ESP,"FW,MF",es Barcelona,21,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
649,Xavi,es ESP,MF,es Barcelona,28,1980,12,11,972,10.8,2,6,8,2,0,0,1,0,0.19,0.56,0.74,0.19,0.74,Matches
