Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2019-2020,9,Jordi Alba,es ESP,DF,es Barcelona,30,1989,5,5,354,3.9,0,1,1,0,0,0,2,0,0.0,0.25,0.25,0.0,0.25,Matches
2019-2020,13,Carles Aleñá,es ESP,MF,es Barcelona,21,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2019-2020,90,Sergio Busquets,es ESP,MF,es Barcelona,31,1988,7,7,504,5.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
2019-2020,147,Ousmane Dembélé,fr FRA,"MF,FW",es Barcelona,22,1997,4,2,136,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2019-2020,191,Ansu Fati,es ESP,FW,es Barcelona,16,2002,5,1,115,1.3,1,0,1,1,0,0,0,0,0.78,0.0,0.78,0.78,0.78,Matches
2019-2020,200,Junior Firpo,do DOM,"DF,MF",es Barcelona,22,1996,4,3,271,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2019-2020,231,Antoine Griezmann,fr FRA,"FW,MF",es Barcelona,28,1991,9,7,653,7.3,2,0,2,2,0,0,2,0,0.28,0.0,0.28,0.28,0.28,Matches
2019-2020,287,Frenkie de Jong,nl NED,MF,es Barcelona,22,1997,9,8,748,8.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2019-2020,340,Clément Lenglet,fr FRA,DF,es Barcelona,24,1995,9,8,721,8.0,1,0,1,1,0,0,1,0,0.12,0.0,0.12,0.12,0.12,Matches
2019-2020,405,Arthur Melo,br BRA,MF,es Barcelona,22,1996,4,3,298,3.3,0,1,1,0,0,0,0,0,0.0,0.3,0.3,0.0,0.3,Matches
2019-2020,413,Lionel Messi,ar ARG,FW,es Barcelona,32,1987,8,7,662,7.4,3,3,6,3,0,0,2,0,0.41,0.41,0.82,0.41,0.82,Matches
2019-2020,426,Monchu,es ESP,MF,es Barcelona,19,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2019-2020,448,Neto,br BRA,GK,es Barcelona,30,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2019-2020,493,Carles Pérez,es ESP,FW,es Barcelona,21,1998,1,1,84,0.9,1,0,1,1,0,0,0,0,1.07,0.0,1.07,1.07,1.07,Matches
2019-2020,499,Gerard Piqué,es ESP,DF,es Barcelona,32,1987,7,7,629,7.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
2019-2020,514,Ivan Rakitić,hr CRO,MF,es Barcelona,31,1988,7,4,345,3.8,0,1,1,0,0,0,1,0,0.0,0.26,0.26,0.0,0.26,Matches
2019-2020,530,Sergi Roberto,es ESP,"MF,DF",es Barcelona,27,1992,6,4,411,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2019-2020,565,Nélson Semedo,pt POR,DF,es Barcelona,25,1993,7,7,630,7.0,0,1,1,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14,Matches
2019-2020,599,Luis Suárez,uy URU,FW,es Barcelona,32,1987,7,6,567,6.3,5,2,7,4,1,1,2,0,0.79,0.32,1.11,0.63,0.95,Matches
2019-2020,616,Marc-André ter Stegen,de GER,GK,es Barcelona,27,1992,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2019-2020,621,Jean-Clair Todibo,fr FRA,DF,es Barcelona,19,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2019-2020,636,Samuel Umtiti,fr FRA,DF,es Barcelona,25,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2019-2020,653,Arturo Vidal,cl CHI,"MF,FW",es Barcelona,32,1987,7,4,422,4.7,0,1,1,0,0,0,4,1,0.0,0.21,0.21,0.0,0.21,Matches
2019-2020,664,Moussa Wagué,sn SEN,MF,es Barcelona,20,1998,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
