Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2016-2017,8,Jordi Alba,es ESP,DF,es Barcelona,27,1989,6,6,436,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2016-2017,11,Paco Alcácer,es ESP,FW,es Barcelona,22,1993,3,2,176,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2016-2017,87,Sergio Busquets,es ESP,MF,es Barcelona,28,1988,8,8,691,7.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
2016-2017,97,Marc Cardona,es ESP,FW,es Barcelona,21,1995,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2016-2017,122,Jasper Cillessen,nl NED,GK,es Barcelona,27,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2016-2017,160,Lucas Digne,fr FRA,DF,es Barcelona,23,1993,4,2,284,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2016-2017,229,André Gomes,pt POR,MF,es Barcelona,23,1993,8,5,464,5.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2016-2017,287,Andrés Iniesta,es ESP,MF,es Barcelona,32,1984,8,7,593,6.6,1,3,4,1,0,0,2,0,0.15,0.46,0.61,0.15,0.61,Matches
2016-2017,396,Marlon,br BRA,"DF,MF",es Barcelona,20,1995,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2016-2017,400,Javier Mascherano,ar ARG,"DF,MF",es Barcelona,32,1984,8,7,642,7.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2016-2017,402,Jérémy Mathieu,fr FRA,DF,es Barcelona,32,1983,2,1,80,0.9,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,Matches
2016-2017,414,Lionel Messi,ar ARG,FW,es Barcelona,29,1987,9,9,810,9.0,11,2,13,9,2,2,0,0,1.22,0.22,1.44,1.0,1.22,Matches
2016-2017,457,Neymar,br BRA,FW,es Barcelona,24,1992,9,9,797,8.9,4,8,12,3,1,2,5,0,0.45,0.9,1.36,0.34,1.24,Matches
2016-2017,501,Gerard Piqué,es ESP,DF,es Barcelona,29,1987,8,8,651,7.2,1,0,1,1,0,0,2,0,0.14,0.0,0.14,0.14,0.14,Matches
2016-2017,522,Rafinha,br BRA,MF,es Barcelona,23,1993,6,1,216,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2016-2017,524,Ivan Rakitić,hr CRO,MF,es Barcelona,28,1988,9,8,595,6.6,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Matches
2016-2017,539,Sergi Roberto,es ESP,DF,es Barcelona,24,1992,8,7,632,7.0,1,0,1,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,Matches
2016-2017,610,Denis Suárez,es ESP,MF,es Barcelona,22,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2016-2017,611,Luis Suárez,uy URU,FW,es Barcelona,29,1987,9,9,810,9.0,3,3,6,3,0,0,2,0,0.33,0.33,0.67,0.33,0.67,Matches
2016-2017,619,Marc-André ter Stegen,de GER,GK,es Barcelona,24,1992,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2016-2017,641,Arda Turan,tr TUR,FW,es Barcelona,29,1987,5,1,172,1.9,4,1,5,4,0,0,0,0,2.09,0.52,2.62,2.09,2.62,Matches
2016-2017,644,Samuel Umtiti,fr FRA,DF,es Barcelona,22,1993,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2016-2017,659,Aleix Vidal,es ESP,DF,es Barcelona,26,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
