Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2013-2014,6,Adriano,br BRA,"DF,MF",es Barcelona,28.0,1984.0,5,5,450,5.0,0,1,1,0,0,0,0,0,0.0,0.2,0.2,0.0,0.2,Matches
2013-2014,13,Jordi Alba,es ESP,"DF,MF",es Barcelona,24.0,1989.0,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2013-2014,20,Dani Alves,br BRA,"DF,MF",es Barcelona,30.0,1983.0,8,8,720,8.0,2,0,2,2,0,0,2,0,0.25,0.0,0.25,0.25,0.25,Matches
2013-2014,53,Marc Bartra,es ESP,DF,es Barcelona,22.0,1991.0,4,2,268,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2013-2014,89,Sergio Busquets,es ESP,MF,es Barcelona,25.0,1988.0,9,9,793,8.8,1,1,2,1,0,0,2,0,0.11,0.11,0.23,0.11,0.23,Matches
2013-2014,180,Cesc Fàbregas,es ESP,"FW,MF",es Barcelona,26.0,1987.0,9,7,560,6.2,1,2,3,1,0,0,4,0,0.16,0.32,0.48,0.16,0.48,Matches
2013-2014,273,Andrés Iniesta,es ESP,MF,es Barcelona,29.0,1984.0,9,9,779,8.7,0,3,3,0,0,0,2,0,0.0,0.35,0.35,0.0,0.35,Matches
2013-2014,370,José Manuel Pinto,es ESP,GK,es Barcelona,37.0,1975.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2013-2014,375,Jean Marie Dongou,cm CMR,FW,es Barcelona,18.0,1995.0,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2013-2014,382,Javier Mascherano,ar ARG,"DF,MF",es Barcelona,29.0,1984.0,9,9,810,9.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2013-2014,400,Lionel Messi,ar ARG,"FW,MF",es Barcelona,26.0,1987.0,7,7,630,7.0,8,0,8,6,2,2,0,0,1.14,0.0,1.14,0.86,0.86,Matches
2013-2014,416,Martín Montoya,es ESP,DF,es Barcelona,22.0,1991.0,2,2,180,2.0,0,1,1,0,0,0,1,0,0.0,0.5,0.5,0.0,0.5,Matches
2013-2014,442,Neymar,br BRA,"FW,MF",es Barcelona,21.0,1992.0,10,9,776,8.6,4,3,7,4,0,0,1,0,0.46,0.35,0.81,0.46,0.81,Matches
2013-2014,466,Pedro,es ESP,"FW,MF",es Barcelona,26.0,1987.0,7,3,304,3.4,1,0,1,1,0,0,0,0,0.3,0.0,0.3,0.3,0.3,Matches
2013-2014,478,Gerard Piqué,es ESP,DF,es Barcelona,26.0,1987.0,9,9,722,8.0,2,0,2,2,0,0,1,0,0.25,0.0,0.25,0.25,0.25,Matches
2013-2014,495,Carles Puyol,es ESP,DF,es Barcelona,35.0,1978.0,1,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2013-2014,520,Sergi Roberto,es ESP,"DF,MF",es Barcelona,21.0,1992.0,4,1,114,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2013-2014,544,Alexis Sánchez,cl CHI,"FW,MF",es Barcelona,24.0,1988.0,9,5,467,5.2,0,2,2,0,0,0,3,0,0.0,0.39,0.39,0.0,0.39,Matches
2013-2014,581,Alexandre Song,cm CMR,"DF,MF",es Barcelona,25.0,1987.0,4,1,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2013-2014,609,Cristian Tello,es ESP,"FW,MF",es Barcelona,21.0,1991.0,2,0,39,0.4,1,0,1,1,0,0,0,0,2.31,0.0,2.31,2.31,2.31,Matches
2013-2014,620,Adama Traoré,es ESP,"FW,MF",es Barcelona,17.0,1996.0,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2013-2014,626,Víctor Valdés,es ESP,GK,es Barcelona,31.0,1982.0,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2013-2014,661,Xavi,es ESP,MF,es Barcelona,33.0,1980.0,10,9,811,9.0,1,3,4,0,1,1,0,0,0.11,0.33,0.44,0.0,0.33,Matches
2013-2014,679,Gil Patri,,,es Barcelona,,,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
