Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2006-2007,64,Juliano Belletti,br BRA,"DF,MF",es Barcelona,30,1976,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2006-2007,95,Giovanni van Bronckhorst,nl NED,"DF,MF",es Barcelona,31,1975,4,4,327,3.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2006-2007,166,Deco,pt POR,MF,es Barcelona,28,1977,8,8,720,8.0,2,3,5,2,0,0,1,0,0.25,0.37,0.62,0.25,0.62,Matches
2006-2007,198,Edmílson,br BRA,"DF,MF",es Barcelona,30,1976,2,1,123,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2006-2007,206,Samuel Eto'o,cm CMR,FW,es Barcelona,25,1981,3,3,216,2.4,1,3,4,1,0,0,0,0,0.42,1.25,1.67,0.42,1.67,Matches
2006-2007,209,Santiago Ezquerro,es ESP,FW,es Barcelona,29,1976,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2006-2007,256,Ludovic Giuly,fr FRA,"FW,MF",es Barcelona,30,1976,8,4,368,4.1,2,1,3,2,0,0,0,0,0.49,0.24,0.73,0.49,0.73,Matches
2006-2007,278,Eiður Guðjohnsen,is ISL,"FW,MF",es Barcelona,27,1978,8,4,395,4.4,3,0,3,3,0,0,1,0,0.68,0.0,0.68,0.68,0.68,Matches
2006-2007,303,Andrés Iniesta,es ESP,MF,es Barcelona,22,1984,8,5,482,5.4,2,0,2,2,0,0,0,0,0.37,0.0,0.37,0.37,0.37,Matches
2006-2007,412,Rafael Márquez,mx MEX,"DF,MF",es Barcelona,27,1979,6,6,513,5.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2006-2007,427,Lionel Messi,ar ARG,"FW,MF",es Barcelona,19,1987,5,4,385,4.3,1,0,1,1,0,0,1,0,0.23,0.0,0.23,0.23,0.23,Matches
2006-2007,445,Thiago Motta,it ITA,MF,es Barcelona,23,1982,6,6,443,4.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2006-2007,519,Oleguer Presas,es ESP,DF,es Barcelona,26,1980,5,2,233,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2006-2007,520,Carles Puyol,es ESP,DF,es Barcelona,28,1978,8,8,704,7.8,1,0,1,1,0,0,1,0,0.13,0.0,0.13,0.13,0.13,Matches
2006-2007,553,Ronaldinho,br BRA,"FW,MF",es Barcelona,26,1980,8,8,720,8.0,2,2,4,2,0,0,0,0,0.25,0.25,0.5,0.25,0.5,Matches
2006-2007,575,Javier Saviola,ar ARG,FW,es Barcelona,24,1981,1,1,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2006-2007,616,Sylvinho,br BRA,DF,es Barcelona,32,1974,2,2,173,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2006-2007,630,Lilian Thuram,fr FRA,DF,es Barcelona,34,1972,4,3,269,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2006-2007,651,Víctor Valdés,es ESP,GK,es Barcelona,24,1982,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2006-2007,680,Xavi,es ESP,MF,es Barcelona,26,1980,7,4,395,4.4,0,1,1,0,0,0,1,0,0.0,0.23,0.23,0.0,0.23,Matches
2006-2007,685,Gianluca Zambrotta,it ITA,DF,es Barcelona,29,1977,6,5,457,5.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
