Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2022-2023,15,Jordi Alba,es ESP,DF,es Barcelona,33,1989,2,2,146,1.6,0,1,1,0,0,0,0,0,0.0,0.62,0.62,0.0,0.62,Matches
2022-2023,21,Marcos Alonso,es ESP,DF,es Barcelona,31,1990,5,5,403,4.5,1,0,1,1,0,0,0,0,0.22,0.0,0.22,0.22,0.22,Matches
2022-2023,31,Ronald Araújo,uy URU,DF,es Barcelona,23,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,48,Alejandro Balde,es ESP,DF,es Barcelona,18,2003,4,1,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,63,Héctor Bellerín,es ESP,DF,es Barcelona,27,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,95,Sergio Busquets,es ESP,MF,es Barcelona,34,1988,4,4,289,3.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,113,Marc Casado,es ESP,MF,es Barcelona,18,2003,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,124,Andreas Christensen,dk DEN,DF,es Barcelona,26,1996,3,3,216,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,161,Ousmane Dembélé,fr FRA,FW,es Barcelona,25,1997,6,5,413,4.6,1,2,3,1,0,0,1,0,0.22,0.44,0.65,0.22,0.65,Matches
2022-2023,200,Ansu Fati,es ESP,FW,es Barcelona,19,2002,6,2,244,2.7,0,1,1,0,0,0,0,0,0.0,0.37,0.37,0.0,0.37,Matches
2022-2023,227,Eric García,es ESP,DF,es Barcelona,21,2001,4,2,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,229,Gavi,es ESP,MF,es Barcelona,17,2004,5,4,329,3.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,313,Frenkie de Jong,nl NED,MF,es Barcelona,25,1997,4,2,237,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,333,Franck Kessié,ci CIV,MF,es Barcelona,25,1996,6,3,274,3.0,1,0,1,1,0,0,0,0,0.33,0.0,0.33,0.33,0.33,Matches
2022-2023,357,Jules Koundé,fr FRA,DF,es Barcelona,23,1998,3,3,246,2.7,0,1,1,0,0,0,0,0,0.0,0.37,0.37,0.0,0.37,Matches
2022-2023,379,Robert Lewandowski,pl POL,FW,es Barcelona,33,1988,5,5,441,4.9,5,0,5,5,0,0,0,0,1.02,0.0,1.02,1.02,1.02,Matches
2022-2023,435,Memphis,nl NED,"FW,MF",es Barcelona,28,1994,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,524,Pedri,es ESP,"MF,FW",es Barcelona,19,2002,5,5,401,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,526,Iñaki Peña,es ESP,GK,es Barcelona,23,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,540,Gerard Piqué,es ESP,DF,es Barcelona,35,1987,4,2,258,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,553,Raphinha,br BRA,FW,es Barcelona,25,1996,5,4,294,3.3,0,2,2,0,0,0,0,0,0.0,0.61,0.61,0.0,0.61,Matches
2022-2023,565,Sergi Roberto,es ESP,DF,es Barcelona,30,1992,3,3,206,2.3,0,2,2,0,0,0,1,0,0.0,0.87,0.87,0.0,0.87,Matches
2022-2023,596,Alvaro Sanz,es ESP,MF,es Barcelona,21,2001,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,666,Marc-André ter Stegen,de GER,GK,es Barcelona,30,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2022-2023,674,Pablo Torre,es ESP,MF,es Barcelona,19,2003,3,1,95,1.1,1,0,1,1,0,0,1,0,0.95,0.0,0.95,0.95,0.95,Matches
2022-2023,675,Ferrán Torres,es ESP,FW,es Barcelona,22,2000,5,1,188,2.1,3,1,4,3,0,0,1,0,1.44,0.48,1.91,1.44,1.91,Matches
