Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2023-2024,19,Marcos Alonso,es ESP,DF,es Barcelona,32,1990,3,2,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2023-2024,31,Ronald Araújo,uy URU,DF,es Barcelona,24,1999,8,8,658,7.3,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,Matches
2023-2024,52,Alejandro Balde,es ESP,DF,es Barcelona,19,2003,6,3,331,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2023-2024,105,João Cancelo,pt POR,DF,es Barcelona,29,1994,10,9,808,9.0,2,1,3,2,0,0,1,0,0.22,0.11,0.33,0.22,0.33,Matches
2023-2024,113,Marc Casado,es ESP,MF,es Barcelona,19,2003,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2023-2024,122,Andreas Christensen,dk DEN,"DF,MF",es Barcelona,27,1996,7,5,439,4.9,1,0,1,1,0,0,3,0,0.21,0.0,0.21,0.21,0.21,Matches
2023-2024,137,Pau Cubarsí,es ESP,DF,es Barcelona,16,2007,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2023-2024,190,João Félix,pt POR,FW,es Barcelona,23,1999,9,4,369,4.1,3,1,4,3,0,0,2,0,0.73,0.24,0.98,0.73,0.98,Matches
2023-2024,203,Héctor Fort,es ESP,DF,es Barcelona,16,2006,1,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2023-2024,220,Gavi,es ESP,MF,es Barcelona,18,2004,3,3,226,2.5,1,0,1,1,0,0,3,1,0.4,0.0,0.4,0.4,0.4,Matches
2023-2024,250,Marc Guiu,es ESP,FW,es Barcelona,17,2006,2,0,35,0.4,1,0,1,1,0,0,0,0,2.57,0.0,2.57,2.57,2.57,Matches
2023-2024,252,İlkay Gündoğan,de GER,MF,es Barcelona,32,1990,10,9,836,9.3,0,4,4,0,0,0,1,0,0.0,0.43,0.43,0.0,0.43,Matches
2023-2024,300,Frenkie de Jong,nl NED,MF,es Barcelona,26,1997,5,5,393,4.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2023-2024,344,Jules Koundé,fr FRA,DF,es Barcelona,24,1998,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2023-2024,370,Robert Lewandowski,pl POL,FW,es Barcelona,34,1988,9,9,734,8.2,3,1,4,3,0,0,1,0,0.37,0.12,0.49,0.37,0.49,Matches
2023-2024,384,Fermin López,es ESP,MF,es Barcelona,20,2003,8,3,278,3.1,2,1,3,2,0,0,2,0,0.65,0.32,0.97,0.65,0.97,Matches
2023-2024,413,Iñigo Martínez,es ESP,DF,es Barcelona,32,1991,4,3,318,3.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2023-2024,521,Pedri,es ESP,"MF,FW",es Barcelona,20,2002,6,3,329,3.7,0,3,3,0,0,0,0,0,0.0,0.82,0.82,0.0,0.82,Matches
2023-2024,526,Iñaki Peña,es ESP,GK,es Barcelona,24,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2023-2024,549,Raphinha,br BRA,"FW,MF",es Barcelona,26,1996,7,6,470,5.2,3,2,5,3,0,0,1,0,0.57,0.38,0.96,0.57,0.96,Matches
2023-2024,563,Sergi Roberto,es ESP,MF,es Barcelona,31,1992,5,2,203,2.3,0,1,1,0,0,0,3,0,0.0,0.44,0.44,0.0,0.44,Matches
2023-2024,568,Oriol Romeu,es ESP,MF,es Barcelona,31,1991,7,4,343,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2023-2024,646,Marc-André ter Stegen,de GER,GK,es Barcelona,31,1992,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2023-2024,662,Ferrán Torres,es ESP,FW,es Barcelona,23,2000,8,3,378,4.2,3,1,4,3,0,0,2,0,0.71,0.24,0.95,0.71,0.95,Matches
2023-2024,710,Lamine Yamal,es ESP,"FW,MF",es Barcelona,16,2007,10,7,577,6.4,0,2,2,0,0,0,2,0,0.0,0.31,0.31,0.0,0.31,Matches
