Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2017-2018,14,Jordi Alba,es ESP,DF,es Barcelona,28,1989,8,7,638,7.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,16,Paco Alcácer,es ESP,FW,es Barcelona,23,1993,2,1,95,1.1,1,0,1,1,0,0,0,0,0.95,0.0,0.95,0.95,0.95,Matches
2017-2018,95,Sergio Busquets,es ESP,MF,es Barcelona,29,1988,10,9,768,8.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,123,Jasper Cillessen,nl NED,GK,es Barcelona,28,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,150,Ousmane Dembélé,fr FRA,"MF,FW",es Barcelona,20,1997,3,2,143,1.6,1,0,1,1,0,0,0,0,0.63,0.0,0.63,0.63,0.63,Matches
2017-2018,156,Gerard Deulofeu,es ESP,"MF,FW",es Barcelona,23,1994,3,2,147,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,165,Lucas Digne,fr FRA,DF,es Barcelona,24,1993,3,3,270,3.0,1,0,1,1,0,0,1,0,0.33,0.0,0.33,0.33,0.33,Matches
2017-2018,239,André Gomes,pt POR,MF,es Barcelona,24,1993,9,1,170,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,281,Andrés Iniesta,es ESP,MF,es Barcelona,33,1984,8,8,624,6.9,0,3,3,0,0,0,0,0,0.0,0.43,0.43,0.0,0.43,Matches
2017-2018,386,Javier Mascherano,ar ARG,DF,es Barcelona,33,1984,2,1,134,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,406,Lionel Messi,ar ARG,FW,es Barcelona,30,1987,10,8,783,8.7,6,2,8,6,0,0,2,0,0.69,0.23,0.92,0.69,0.92,Matches
2017-2018,470,Paulinho,br BRA,MF,es Barcelona,29,1988,9,4,401,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,488,Gerard Piqué,es ESP,DF,es Barcelona,30,1987,9,9,736,8.2,1,0,1,1,0,0,2,2,0.12,0.0,0.12,0.12,0.12,Matches
2017-2018,507,Ivan Rakitić,hr CRO,MF,es Barcelona,29,1988,10,8,758,8.4,1,0,1,1,0,0,1,0,0.12,0.0,0.12,0.12,0.12,Matches
2017-2018,522,Sergi Roberto,es ESP,"MF,DF",es Barcelona,25,1992,8,7,594,6.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,566,Nélson Semedo,pt POR,DF,es Barcelona,23,1993,7,7,625,6.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,597,Denis Suárez,es ESP,MF,es Barcelona,23,1994,3,2,170,1.9,0,1,1,0,0,0,0,0,0.0,0.53,0.53,0.0,0.53,Matches
2017-2018,598,Luis Suárez,uy URU,FW,es Barcelona,30,1987,10,10,884,9.8,1,5,6,1,0,0,2,0,0.1,0.51,0.61,0.1,0.61,Matches
2017-2018,614,Marc-André ter Stegen,de GER,GK,es Barcelona,25,1992,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,631,Samuel Umtiti,fr FRA,DF,es Barcelona,23,1993,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,645,Thomas Vermaelen,be BEL,DF,es Barcelona,31,1985,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,650,Aleix Vidal,es ESP,FW,es Barcelona,27,1989,4,1,112,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
