Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2011-2012,4,Éric Abidal,fr FRA,DF,es Barcelona,31,1979,6,6,494,5.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2011-2012,9,Adriano,br BRA,"DF,MF",es Barcelona,26,1984,7,5,445,4.9,0,1,1,0,0,0,0,0,0.0,0.2,0.2,0.0,0.2,Matches
2011-2012,12,Ibrahim Afellay,nl NED,"FW,MF",es Barcelona,25,1986,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2011-2012,21,Thiago Alcántara,es ESP,MF,es Barcelona,20,1991,7,4,429,4.8,0,1,1,0,0,0,1,0,0.0,0.21,0.21,0.0,0.21,Matches
2011-2012,33,Dani Alves,br BRA,"DF,MF",es Barcelona,28,1983,10,9,854,9.5,0,3,3,0,0,0,3,0,0.0,0.32,0.32,0.0,0.32,Matches
2011-2012,74,Marc Bartra,es ESP,DF,es Barcelona,20,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2011-2012,111,Sergio Busquets,es ESP,MF,es Barcelona,23,1988,10,10,875,9.7,1,0,1,1,0,0,1,0,0.1,0.0,0.1,0.1,0.1,Matches
2011-2012,177,Isaac Cuenca,es ESP,"FW,MF",es Barcelona,20,1991,7,4,347,3.9,0,4,4,0,0,0,1,0,0.0,1.04,1.04,0.0,1.04,Matches
2011-2012,191,Gerard Deulofeu,es ESP,"FW,MF",es Barcelona,17,1994,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2011-2012,200,Jonathan dos Santos,mx MEX,MF,es Barcelona,21,1990,2,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2011-2012,222,Cesc Fàbregas,es ESP,"FW,MF",es Barcelona,24,1987,9,7,662,7.4,1,3,4,1,0,0,0,0,0.14,0.41,0.54,0.14,0.54,Matches
2011-2012,240,Andreu Fontàs,es ESP,DF,es Barcelona,21,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2011-2012,310,Andrés Iniesta,es ESP,MF,es Barcelona,27,1984,8,8,572,6.4,3,1,4,3,0,0,1,0,0.47,0.16,0.63,0.47,0.63,Matches
2011-2012,341,Seydou Keita,ml MLI,MF,es Barcelona,31,1980,9,4,432,4.8,0,1,1,0,0,0,1,0,0.0,0.21,0.21,0.0,0.21,Matches
2011-2012,407,José Manuel Pinto,es ESP,GK,es Barcelona,35,1975,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2011-2012,415,Javier Mascherano,ar ARG,"DF,MF",es Barcelona,27,1984,10,10,900,10.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2011-2012,421,Maxwell,br BRA,DF,es Barcelona,29,1981,3,1,132,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2011-2012,430,Lionel Messi,ar ARG,"FW,MF",es Barcelona,24,1987,11,11,990,11.0,14,5,19,10,4,5,2,0,1.27,0.45,1.73,0.91,1.36,Matches
2011-2012,440,Martín Montoya,es ESP,DF,es Barcelona,20,1991,1,1,90,1.0,1,0,1,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,Matches
2011-2012,448,Marc Muniesa,es ESP,"DF,MF",es Barcelona,19,1992,2,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2011-2012,493,Pedro,es ESP,"FW,MF",es Barcelona,24,1987,9,5,498,5.5,4,0,4,3,1,1,1,0,0.72,0.0,0.72,0.54,0.54,Matches
2011-2012,508,Gerard Piqué,es ESP,DF,es Barcelona,24,1987,5,5,371,4.1,0,1,1,0,0,0,0,0,0.0,0.24,0.24,0.0,0.24,Matches
2011-2012,517,Carles Puyol,es ESP,DF,es Barcelona,33,1978,9,8,743,8.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
