Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2015-2016,5,Adriano,br BRA,DF,es Barcelona,30.0,1984.0,3,2,206,2.3,1,0,1,1,0,0,0,0,0.44,0.0,0.44,0.44,0.44,Matches
2015-2016,11,Jordi Alba,es ESP,DF,es Barcelona,26.0,1989.0,9,8,734,8.2,0,1,1,0,0,0,1,0,0.0,0.12,0.12,0.0,0.12,Matches
2015-2016,18,Dani Alves,br BRA,DF,es Barcelona,32.0,1983.0,8,8,694,7.7,0,3,3,0,0,0,3,0,0.0,0.39,0.39,0.0,0.39,Matches
2015-2016,44,Marc Bartra,es ESP,DF,es Barcelona,24.0,1991.0,4,2,236,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,85,Sergio Busquets,es ESP,MF,es Barcelona,27.0,1988.0,9,9,724,8.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,91,Juan Cámara,es ESP,MF,es Barcelona,21.0,1994.0,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,229,Gerard Gumbau,es ESP,MF,es Barcelona,20.0,1994.0,3,0,60,0.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,232,Munir El Haddadi,ma MAR,FW,es Barcelona,19.0,1995.0,4,2,257,2.9,0,2,2,0,0,0,0,0,0.0,0.7,0.7,0.0,0.7,Matches
2015-2016,265,Andrés Iniesta,es ESP,"MF,FW",es Barcelona,31.0,1984.0,7,7,553,6.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,287,Wilfrid Kaptoum,cm CMR,MF,es Barcelona,19.0,1996.0,1,1,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,373,Javier Mascherano,ar ARG,"DF,MF",es Barcelona,31.0,1984.0,8,7,655,7.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,377,Jérémy Mathieu,fr FRA,DF,es Barcelona,31.0,1983.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,389,Lionel Messi,ar ARG,FW,es Barcelona,28.0,1987.0,7,7,630,7.0,6,1,7,5,1,1,1,0,0.86,0.14,1.0,0.71,0.86,Matches
2015-2016,430,Neymar,br BRA,FW,es Barcelona,23.0,1992.0,9,9,810,9.0,3,5,8,2,1,1,2,0,0.33,0.56,0.89,0.22,0.78,Matches
2015-2016,471,Gerard Piqué,es ESP,DF,es Barcelona,28.0,1987.0,7,7,596,6.6,1,0,1,1,0,0,3,0,0.15,0.0,0.15,0.15,0.15,Matches
2015-2016,489,Rafinha,br BRA,MF,es Barcelona,22.0,1993.0,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,494,Ivan Rakitić,hr CRO,MF,es Barcelona,27.0,1988.0,10,9,699,7.8,2,2,4,2,0,0,1,0,0.26,0.26,0.52,0.26,0.52,Matches
2015-2016,500,Sandro Ramírez,es ESP,FW,es Barcelona,20.0,1995.0,3,2,173,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,510,Sergi Roberto,es ESP,"MF,DF",es Barcelona,23.0,1992.0,8,4,334,3.7,1,0,1,1,0,0,0,0,0.27,0.0,0.27,0.27,0.27,Matches
2015-2016,533,Sergi Samper,es ESP,MF,es Barcelona,20.0,1995.0,2,1,134,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,585,Luis Suárez,uy URU,FW,es Barcelona,28.0,1987.0,9,9,810,9.0,8,3,11,8,0,0,2,0,0.89,0.33,1.22,0.89,1.22,Matches
2015-2016,595,Marc-André ter Stegen,de GER,GK,es Barcelona,23.0,1992.0,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,613,Arda Turan,tr TUR,"FW,MF",es Barcelona,28.0,1987.0,3,0,46,0.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,629,Thomas Vermaelen,be BEL,DF,es Barcelona,29.0,1985.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2015-2016,677,Sandro Ramírez,,,es Barcelona,,,3,2,173,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
