Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2014-2015,8,Adriano,br BRA,"DF,MF",es Barcelona,29,1984,7,1,150,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2014-2015,18,Jordi Alba,es ESP,"DF,MF",es Barcelona,25,1989,11,11,962,10.7,0,1,1,0,0,0,1,0,0.0,0.09,0.09,0.0,0.09,Matches
2014-2015,30,Dani Alves,br BRA,"DF,MF",es Barcelona,31,1983,11,11,961,10.7,0,4,4,0,0,0,6,0,0.0,0.37,0.37,0.0,0.37,Matches
2014-2015,60,Marc Bartra,es ESP,DF,es Barcelona,23,1991,6,5,451,5.0,0,1,1,0,0,0,0,0,0.0,0.2,0.2,0.0,0.2,Matches
2014-2015,95,Sergio Busquets,es ESP,MF,es Barcelona,26,1988,10,9,788,8.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2014-2015,251,Munir El Haddadi,ma MAR,"FW,MF",es Barcelona,18,1995,3,1,119,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2014-2015,280,Andrés Iniesta,es ESP,MF,es Barcelona,30,1984,11,10,787,8.7,0,5,5,0,0,0,0,0,0.0,0.57,0.57,0.0,0.57,Matches
2014-2015,383,Javier Mascherano,ar ARG,"DF,MF",es Barcelona,30,1984,12,12,1079,12.0,0,1,1,0,0,0,1,0,0.0,0.08,0.08,0.0,0.08,Matches
2014-2015,385,Jérémy Mathieu,fr FRA,DF,es Barcelona,30,1983,7,3,323,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2014-2015,402,Lionel Messi,ar ARG,"FW,MF",es Barcelona,27,1987,13,13,1147,12.7,10,6,16,10,0,1,1,0,0.78,0.47,1.26,0.78,1.26,Matches
2014-2015,421,Martín Montoya,es ESP,DF,es Barcelona,23,1991,1,1,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2014-2015,453,Neymar,br BRA,"FW,MF",es Barcelona,22,1992,12,12,1027,11.4,10,1,11,10,0,0,1,0,0.88,0.09,0.96,0.88,0.96,Matches
2014-2015,483,Pedro,es ESP,"FW,MF",es Barcelona,27,1987,9,4,394,4.4,0,2,2,0,0,0,2,0,0.0,0.46,0.46,0.0,0.46,Matches
2014-2015,490,Gerard Piqué,es ESP,DF,es Barcelona,27,1987,11,11,990,11.0,1,0,1,1,0,0,2,0,0.09,0.0,0.09,0.09,0.09,Matches
2014-2015,507,Rafinha,br BRA,MF,es Barcelona,21,1993,6,1,114,1.3,0,1,1,0,0,0,0,1,0.0,0.79,0.79,0.0,0.79,Matches
2014-2015,511,Ivan Rakitić,hr CRO,MF,es Barcelona,26,1988,12,11,886,9.8,2,1,3,2,0,0,2,0,0.2,0.1,0.3,0.2,0.3,Matches
2014-2015,514,Sandro Ramírez,es ESP,"FW,MF",es Barcelona,19,1995,3,0,57,0.6,1,0,1,1,0,0,0,0,1.58,0.0,1.58,1.58,1.58,Matches
2014-2015,529,Sergi Roberto,es ESP,"DF,MF",es Barcelona,22,1992,2,1,114,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2014-2015,552,Sergi Samper,es ESP,MF,es Barcelona,19,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2014-2015,605,Luis Suárez,uy URU,FW,es Barcelona,27,1987,10,10,828,9.2,7,3,10,7,0,0,1,0,0.76,0.33,1.09,0.76,1.09,Matches
2014-2015,621,Marc-André ter Stegen,de GER,GK,es Barcelona,22,1992,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2014-2015,668,Xavi,es ESP,MF,es Barcelona,34,1980,10,2,333,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
