Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2009-2010,4,Éric Abidal,fr FRA,DF,es Barcelona,29,1979,8,7,620,6.9,0,1,1,0,0,0,0,0,0.0,0.15,0.15,0.0,0.15,Matches
2009-2010,23,Dani Alves,br BRA,"DF,MF",es Barcelona,26,1983,11,11,989,11.0,0,2,2,0,0,0,2,0,0.0,0.18,0.18,0.0,0.18,Matches
2009-2010,101,Sergio Busquets,es ESP,MF,es Barcelona,21,1988,10,8,692,7.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2009-2010,186,Jonathan dos Santos,mx MEX,MF,es Barcelona,19,1990,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2009-2010,286,Thierry Henry,fr FRA,FW,es Barcelona,31,1977,6,3,302,3.4,0,1,1,0,0,0,1,0,0.0,0.3,0.3,0.0,0.3,Matches
2009-2010,300,Zlatan Ibrahimović,se SWE,FW,es Barcelona,27,1981,10,9,761,8.5,4,2,6,4,0,0,1,0,0.47,0.24,0.71,0.47,0.71,Matches
2009-2010,305,Andrés Iniesta,es ESP,MF,es Barcelona,25,1984,9,7,591,6.6,0,1,1,0,0,0,1,0,0.0,0.15,0.15,0.0,0.15,Matches
2009-2010,337,Seydou Keita,ml MLI,MF,es Barcelona,29,1980,10,9,813,9.0,0,1,1,0,0,0,1,0,0.0,0.11,0.11,0.0,0.11,Matches
2009-2010,355,Bojan Krkić,es ESP,"FW,MF",es Barcelona,18,1990,5,1,114,1.3,1,0,1,1,0,0,0,0,0.79,0.0,0.79,0.79,0.79,Matches
2009-2010,401,Rafael Márquez,mx MEX,"DF,MF",es Barcelona,30,1979,4,3,231,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2009-2010,408,Maxwell,br BRA,DF,es Barcelona,27,1981,7,4,443,4.9,0,1,1,0,0,0,0,0,0.0,0.2,0.2,0.0,0.2,Matches
2009-2010,422,Lionel Messi,ar ARG,"FW,MF",es Barcelona,22,1987,11,11,987,11.0,8,0,8,8,0,0,0,0,0.73,0.0,0.73,0.73,0.73,Matches
2009-2010,429,Gabriel Milito,ar ARG,DF,es Barcelona,28,1980,5,2,181,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2009-2010,501,Pedro,es ESP,"FW,MF",es Barcelona,22,1987,9,7,650,7.2,4,1,5,4,0,0,2,0,0.55,0.14,0.69,0.55,0.69,Matches
2009-2010,511,Gerard Piqué,es ESP,DF,es Barcelona,22,1987,11,11,988,11.0,2,1,3,2,0,0,4,0,0.18,0.09,0.27,0.18,0.27,Matches
2009-2010,524,Carles Puyol,es ESP,DF,es Barcelona,31,1978,9,9,804,8.9,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,Matches
2009-2010,610,Jeffrén Suárez,ve VEN,"FW,MF",es Barcelona,21,1988,2,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2009-2010,631,Yaya Touré,ci CIV,MF,es Barcelona,26,1983,8,7,605,6.7,0,2,2,0,0,0,1,0,0.0,0.3,0.3,0.0,0.3,Matches
2009-2010,642,Víctor Valdés,es ESP,GK,es Barcelona,27,1982,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2009-2010,668,Xavi,es ESP,MF,es Barcelona,29,1980,11,11,990,11.0,1,3,4,1,0,0,1,0,0.09,0.27,0.36,0.09,0.36,Matches
