Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Squad
Víctor Valdés,es ESP,GK,24.0,38,38.0,3420,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Carles Puyol,es ESP,DF,28.0,35,35.0,3028,33.6,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Barcelona
Ronaldinho,br BRA,"FW,MF",26.0,32,32.0,2733,30.4,21.0,8.0,29.0,14.0,7.0,8.0,8.0,1.0,0.69,0.26,0.95,0.46,0.72,Matches,Barcelona
Xavi,es ESP,MF,26.0,35,31.0,2866,31.8,3.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,0.09,0.09,0.19,0.09,0.19,Matches,Barcelona
Deco,pt POR,MF,28.0,31,31.0,2473,27.5,1.0,9.0,10.0,1.0,0.0,0.0,14.0,1.0,0.04,0.33,0.36,0.04,0.36,Matches,Barcelona
Andrés Iniesta,es ESP,MF,22.0,37,28.0,2696,30.0,6.0,3.0,9.0,6.0,0.0,0.0,4.0,0.0,0.2,0.1,0.3,0.2,0.3,Matches,Barcelona
Gianluca Zambrotta,it ITA,DF,29.0,29,25.0,2313,25.7,3.0,3.0,6.0,3.0,0.0,0.0,10.0,1.0,0.12,0.12,0.23,0.12,0.23,Matches,Barcelona
Lionel Messi,ar ARG,"FW,MF",19.0,26,23.0,1983,22.0,14.0,3.0,17.0,14.0,0.0,0.0,2.0,0.0,0.64,0.14,0.77,0.64,0.77,Matches,Barcelona
Lilian Thuram,fr FRA,DF,34.0,23,23.0,1954,21.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Edmílson,br BRA,"DF,MF",30.0,26,22.0,1809,20.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Giovanni van Bronckhorst,nl NED,"DF,MF",31.0,23,20.0,1775,19.7,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,Barcelona
Rafael Márquez,mx MEX,"DF,MF",27.0,21,20.0,1720,19.1,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,Barcelona
Samuel Eto'o,cm CMR,FW,25.0,19,17.0,1477,16.4,11.0,7.0,18.0,11.0,0.0,0.0,4.0,0.0,0.67,0.43,1.1,0.67,1.1,Matches,Barcelona
Ludovic Giuly,fr FRA,"FW,MF",30.0,27,15.0,1468,16.3,3.0,2.0,5.0,3.0,0.0,0.0,0.0,1.0,0.18,0.12,0.31,0.18,0.31,Matches,Barcelona
Eiður Guðjohnsen,is ISL,"FW,MF",27.0,25,14.0,1171,13.0,5.0,2.0,7.0,5.0,0.0,0.0,1.0,0.0,0.38,0.15,0.54,0.38,0.54,Matches,Barcelona
Oleguer Presas,es ESP,DF,26.0,25,11.0,1238,13.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Sylvinho,br BRA,DF,32.0,13,11.0,976,10.8,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.18,0.18,0.0,0.18,Matches,Barcelona
Juliano Belletti,br BRA,"DF,MF",30.0,13,9.0,808,9.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,Barcelona
Javier Saviola,ar ARG,FW,24.0,18,6.0,677,7.5,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,0.66,0.0,0.66,0.66,0.66,Matches,Barcelona
Thiago Motta,it ITA,MF,23.0,14,5.0,566,6.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Santiago Ezquerro,es ESP,FW,29.0,9,2.0,274,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches,Barcelona
Jesús Olmo,es ESP,DF,21.0,1,0.0,3,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,Matches,Barcelona
