50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d0fdc490-0cf2-48de-a516-7e3ea6498ec8,1,,,303731,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 17304, 'name': 'Héctor Junior Firpo Adames'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Barcelona,217,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,745ef8bb-3a10-4a7c-ac36-1334e8df2d28,2,,,303731,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6698, 'name': 'Marko Dmitrović'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23981, 'name': 'Álvaro Tejero Sacristán'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 23803, 'name': 'Esteban Rodrigo Burgos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6709, 'name': 'Anaitz Arbilla Zabala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 6705, 'name': 'José Ángel Valdés Díaz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6910, 'name': 'Eduardo Expósito Jaén'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Eibar,322,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9a32d241-b9e9-456d-8009-e3c3e44eecf0,3,,,303731,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['8b5b2a66-7ef6-43bc-9dee-9bea1aba0ab4'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8b5b2a66-7ef6-43bc-9dee-9bea1aba0ab4,4,,,303731,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['9a32d241-b9e9-456d-8009-e3c3e44eecf0'],0,,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ea094d8f-c615-4f04-994c-4663d375c706,1944,,,303731,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,86,Barcelona,217,['23240935-35e4-4d27-92d7-3ee7e0f81584'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,23240935-35e4-4d27-92d7-3ee7e0f81584,1945,,,303731,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,86,Barcelona,217,['ea094d8f-c615-4f04-994c-4663d375c706'],0,,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.758743,,,,,,,,,,,,,,a1f0c2db-0bfe-4a82-8d2a-fdae9e30bcc3,5,,"[60.0, 40.0]",303731,0,,,,-2.8480036,,Left Foot,,,"[51.4, 37.4]",,Ground Pass,,8.984431,,,,,Sergio Busquets i Burgos,5203.0,,,,,,Kick Off,1,From Kick Off,Antoine Griezmann,5487.0,Center Forward,2,Barcelona,217,['4c2f655d-339e-474e-b537-ab0dd7fd57e2'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.398,Pass,
,,,,,,,,,,,,,,,,2.35645,,,,,,,,,,,,,,6900e90d-11fe-41b6-801f-36a4e090951f,8,,"[55.2, 33.9]",303731,0,,,,-1.7186457,,Right Foot,,,"[51.0, 5.7]",,Ground Pass,,28.511051,,,,,Héctor Junior Firpo Adames,17304.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['5dc0f87f-51ad-4b85-8c1b-36ba619859e2'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.466,Pass,
,,,,,,,,,,,,,,,,0.992122,,,,,,,,,,,,,,c276e44b-6f79-4393-865f-d16d1e754d23,11,,"[49.2, 5.5]",303731,0,,,,0.0,,Left Foot,,,"[61.5, 5.5]",,Ground Pass,,12.3,,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,,1,From Kick Off,Héctor Junior Firpo Adames,17304.0,Left Back,2,Barcelona,217,['65105325-94e5-4991-866a-7786e23b18da'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.451,Pass,
,,,,,,,,,,,,,,,,0.769468,,,,,,,,,,,,,,adf9fd51-0e73-4fa4-92b5-843ad30fc6a3,14,,"[58.1, 5.0]",303731,0,,,,1.6238439,,Right Foot,,,"[57.5, 16.3]",,Ground Pass,,11.315918,,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,,1,From Kick Off,Arturo Erasmo Vidal Pardo,8206.0,Left Wing,2,Barcelona,217,['6d3f76fe-7a5c-41a1-b6b8-8fd00fbefd08'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.236,Pass,
