Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
10,Sergio Agüero,ar ARG,FW,es Barcelona,33,1988,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Jordi Alba,es ESP,"DF,MF",es Barcelona,32,1989,5,5,373,4.1,0,1,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,Matches
31,Ronald Araújo,uy URU,DF,es Barcelona,22,1999,5,4,367,4.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Alejandro Balde,es ESP,DF,es Barcelona,17,2003,2,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
88,Sergio Busquets,es ESP,MF,es Barcelona,33,1988,6,6,485,5.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
134,Philippe Coutinho,br BRA,"FW,MF",es Barcelona,29,1992,4,0,111,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
155,Ousmane Dembélé,fr FRA,FW,es Barcelona,24,1997,3,1,123,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
156,Yusuf Demir,at AUT,FW,es Barcelona,18,2003,3,1,102,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
159,Sergiño Dest,us USA,"FW,MF",es Barcelona,20,2000,4,3,230,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
200,Ansu Fati,es ESP,FW,es Barcelona,18,2002,3,1,154,1.7,1,0,1,1,0,0,0,0,0.58,0.00,0.58,0.58,0.58,Matches
219,Eric García,es ESP,DF,es Barcelona,20,2001,4,3,246,2.7,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
222,Gavi,es ESP,"MF,FW",es Barcelona,16,2004,6,4,397,4.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
236,Nicolás González,es ESP,MF,es Barcelona,19,2002,4,2,248,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
295,Frenkie de Jong,nl NED,MF,es Barcelona,24,1997,6,6,522,5.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
296,Luuk de Jong,nl NED,FW,es Barcelona,30,1990,3,3,177,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
357,Clément Lenglet,fr FRA,DF,es Barcelona,26,1995,4,4,343,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
425,Memphis,nl NED,FW,es Barcelona,27,1994,6,6,524,5.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
438,Óscar Mingueza,es ESP,DF,es Barcelona,22,1999,5,2,222,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
516,Pedri,es ESP,MF,es Barcelona,18,2002,2,2,157,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
535,Gerard Piqué,es ESP,DF,es Barcelona,34,1987,5,5,392,4.4,1,0,1,1,0,0,2,0,0.23,0.00,0.23,0.23,0.23,Matches
542,Riqui Puig,es ESP,MF,es Barcelona,21,1999,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
569,Sergi Roberto,es ESP,MF,es Barcelona,29,1992,3,2,168,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
661,Marc-André ter Stegen,de GER,GK,es Barcelona,29,1992,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
