Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Squad
Jordi Alba,es ESP,DF,32.0,1,1,120.0,1.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.75,Matches,Barcelona
Ronald Araújo,uy URU,DF,22.0,1,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Sergio Busquets,es ESP,MF,33.0,1,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Ousmane Dembélé,fr FRA,FW,24.0,1,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Gerard Piqué,es ESP,DF,34.0,1,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Marc-André ter Stegen,de GER,GK,29.0,1,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Dani Alves,br BRA,DF,38.0,1,1,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Gavi,es ESP,MF,16.0,1,1,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Luuk de Jong,nl NED,FW,30.0,1,1,65.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.38,0.0,1.38,1.38,1.38,Matches,Barcelona
Frenkie de Jong,nl NED,MF,24.0,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Ferrán Torres,es ESP,FW,21.0,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Pedri,es ESP,MF,18.0,1,0,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Abde Ezzalzouli,ma MAR,"FW,MF",19.0,1,0,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Ansu Fati,es ESP,"FW,MF",18.0,1,0,55.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.64,0.0,1.64,1.64,1.64,Matches,Barcelona
Nicolás González,es ESP,MF,19.0,1,0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Memphis,nl NED,"FW,MF",27.0,1,0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Ferran Jutglà,es ESP,FW,22.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Clément Lenglet,fr FRA,DF,26.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
Óscar Mingueza,es ESP,"DF,MF",22.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
Neto,br BRA,GK,32.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
Iñaki Peña,es ESP,GK,22.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
Riqui Puig,es ESP,MF,21.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
