Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
1,Éric Abidal,fr FRA,DF,Barcelona,29,1979,17,15,1410,15.7,0,2,2,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,Matches
12,Thiago Alcántara,es ESP,MF,Barcelona,18,1991,1,0,15,0.2,1,0,1,1,0,0,0,0,6.00,0.00,6.00,6.00,6.00,Matches
25,Dani Alves,br BRA,"DF,MF",Barcelona,26,1983,29,28,2493,27.7,3,8,11,3,0,0,8,1,0.11,0.29,0.40,0.11,0.40,Matches
69,Marc Bartra,es ESP,DF,Barcelona,18,1991,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
92,Sergio Busquets,es ESP,MF,Barcelona,21,1988,33,26,2324,25.8,0,1,1,0,0,0,9,1,0.00,0.04,0.04,0.00,0.04,Matches
126,Dmytro Chygrynskiy,ua UKR,DF,Barcelona,22,1986,12,10,876,9.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
157,Jonathan dos Santos,mx MEX,MF,Barcelona,19,1990,3,1,114,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
186,Andreu Fontàs,es ESP,DF,Barcelona,19,1989,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
225,Thierry Henry,fr FRA,FW,Barcelona,31,1977,21,15,1223,13.6,4,1,5,4,0,0,1,0,0.29,0.07,0.37,0.29,0.37,Matches
233,Zlatan Ibrahimović,se SWE,FW,Barcelona,27,1981,29,23,2040,22.7,16,6,22,14,2,2,5,1,0.71,0.26,0.97,0.62,0.88,Matches
234,Andrés Iniesta,es ESP,MF,Barcelona,25,1984,29,20,1905,21.2,1,3,4,1,0,0,2,0,0.05,0.14,0.19,0.05,0.19,Matches
255,Seydou Keita,ml MLI,MF,Barcelona,29,1980,29,23,2096,23.3,6,2,8,6,0,0,6,0,0.26,0.09,0.34,0.26,0.34,Matches
261,Bojan Krkić,es ESP,"FW,MF",Barcelona,18,1990,23,11,1023,11.4,8,2,10,8,0,0,2,0,0.70,0.18,0.88,0.70,0.88,Matches
319,Rafael Márquez,mx MEX,"DF,MF",Barcelona,30,1979,15,7,771,8.6,1,0,1,1,0,0,2,1,0.12,0.00,0.12,0.12,0.12,Matches
330,Maxwell,br BRA,DF,Barcelona,27,1981,25,25,2162,24.0,0,3,3,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,Matches
334,Lionel Messi,ar ARG,"FW,MF",Barcelona,22,1987,35,30,2805,31.2,34,9,43,33,1,1,3,0,1.09,0.29,1.38,1.06,1.35,Matches
342,Gabriel Milito,ar ARG,DF,Barcelona,28,1980,11,9,784,8.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
402,Pedro,es ESP,"FW,MF",Barcelona,22,1987,34,22,2087,23.2,12,2,14,12,0,0,2,0,0.52,0.09,0.60,0.52,0.60,Matches
418,Gerard Piqué,es ESP,DF,Barcelona,22,1987,32,29,2541,28.2,2,0,2,2,0,0,6,0,0.07,0.00,0.07,0.07,0.07,Matches
428,Carles Puyol,es ESP,DF,Barcelona,31,1978,32,31,2712,30.1,1,1,2,1,0,0,7,0,0.03,0.03,0.07,0.03,0.07,Matches
501,Jeffrén Suárez,ve VEN,"FW,MF",Barcelona,21,1988,12,6,402,4.5,2,0,2,2,0,0,1,0,0.45,0.00,0.45,0.45,0.45,Matches
515,Yaya Touré,ci CIV,MF,Barcelona,26,1983,23,18,1485,16.5,1,3,4,1,0,0,3,0,0.06,0.18,0.24,0.06,0.24,Matches
523,Víctor Valdés,es ESP,GK,Barcelona,27,1982,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
539,Xavi,es ESP,MF,Barcelona,29,1980,34,31,2797,31.1,3,13,16,3,0,0,4,0,0.10,0.42,0.51,0.10,0.51,Matches
