Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Squad
Víctor Valdés,es ESP,GK,27.0,38,38.0,3420,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Xavi,es ESP,MF,29.0,34,31.0,2797,31.1,3.0,13.0,16.0,3.0,0.0,0.0,4.0,0.0,0.1,0.42,0.51,0.1,0.51,Matches,Barcelona
Carles Puyol,es ESP,DF,31.0,32,31.0,2712,30.1,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.03,0.03,0.07,0.03,0.07,Matches,Barcelona
Lionel Messi,ar ARG,"FW,MF",22.0,35,30.0,2805,31.2,34.0,9.0,43.0,33.0,1.0,1.0,3.0,0.0,1.09,0.29,1.38,1.06,1.35,Matches,Barcelona
Gerard Piqué,es ESP,DF,22.0,32,29.0,2541,28.2,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Barcelona
Dani Alves,br BRA,"DF,MF",26.0,29,28.0,2493,27.7,3.0,8.0,11.0,3.0,0.0,0.0,8.0,1.0,0.11,0.29,0.4,0.11,0.4,Matches,Barcelona
Sergio Busquets,es ESP,MF,21.0,33,26.0,2324,25.8,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.04,0.04,0.0,0.04,Matches,Barcelona
Maxwell,br BRA,DF,27.0,25,25.0,2162,24.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,Barcelona
Seydou Keita,ml MLI,MF,29.0,29,23.0,2096,23.3,6.0,2.0,8.0,6.0,0.0,0.0,6.0,0.0,0.26,0.09,0.34,0.26,0.34,Matches,Barcelona
Zlatan Ibrahimović,se SWE,FW,27.0,29,23.0,2040,22.7,16.0,6.0,22.0,14.0,2.0,2.0,5.0,1.0,0.71,0.26,0.97,0.62,0.88,Matches,Barcelona
Pedro,es ESP,"FW,MF",22.0,34,22.0,2087,23.2,12.0,2.0,14.0,12.0,0.0,0.0,2.0,0.0,0.52,0.09,0.6,0.52,0.6,Matches,Barcelona
Andrés Iniesta,es ESP,MF,25.0,29,20.0,1905,21.2,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.05,0.14,0.19,0.05,0.19,Matches,Barcelona
Yaya Touré,ci CIV,MF,26.0,23,18.0,1485,16.5,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.06,0.18,0.24,0.06,0.24,Matches,Barcelona
Éric Abidal,fr FRA,DF,29.0,17,15.0,1410,15.7,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,Barcelona
Thierry Henry,fr FRA,FW,31.0,21,15.0,1223,13.6,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.29,0.07,0.37,0.29,0.37,Matches,Barcelona
Bojan Krkić,es ESP,"FW,MF",18.0,23,11.0,1023,11.4,8.0,2.0,10.0,8.0,0.0,0.0,2.0,0.0,0.7,0.18,0.88,0.7,0.88,Matches,Barcelona
Dmytro Chygrynskiy,ua UKR,DF,22.0,12,10.0,876,9.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Gabriel Milito,ar ARG,DF,28.0,11,9.0,784,8.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Rafael Márquez,mx MEX,"DF,MF",30.0,15,7.0,771,8.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.12,0.0,0.12,0.12,0.12,Matches,Barcelona
Jeffrén Suárez,ve VEN,"FW,MF",21.0,12,6.0,402,4.5,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.45,0.0,0.45,0.45,0.45,Matches,Barcelona
Jonathan dos Santos,mx MEX,MF,19.0,3,1.0,114,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Marc Bartra,es ESP,DF,18.0,1,0.0,30,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Thiago Alcántara,es ESP,MF,18.0,1,0.0,15,0.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,6.0,Matches,Barcelona
Andreu Fontàs,es ESP,DF,19.0,1,0.0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
