Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
8,Adriano,br BRA,"DF,MF",es Barcelona,29,1984,1.7,,,,,,,,,,,,,,,,,,,,,Matches
18,Jordi Alba,es ESP,"DF,MF",es Barcelona,25,1989,10.7,,,,,,,,,,,,,,,,,,,,,Matches
30,Dani Alves,br BRA,"DF,MF",es Barcelona,31,1983,10.7,,,,,,,,,,,,,,,,,,,,,Matches
60,Marc Bartra,es ESP,DF,es Barcelona,23,1991,5.0,,,,,,,,,,,,,,,,,,,,,Matches
95,Sergio Busquets,es ESP,MF,es Barcelona,26,1988,8.8,,,,,,,,,,,,,,,,,,,,,Matches
251,Munir El Haddadi,ma MAR,"FW,MF",es Barcelona,18,1995,1.3,,,,,,,,,,,,,,,,,,,,,Matches
280,Andrés Iniesta,es ESP,MF,es Barcelona,30,1984,8.7,,,,,,,,,,,,,,,,,,,,,Matches
383,Javier Mascherano,ar ARG,"DF,MF",es Barcelona,30,1984,12.0,,,,,,,,,,,,,,,,,,,,,Matches
385,Jérémy Mathieu,fr FRA,DF,es Barcelona,30,1983,3.6,,,,,,,,,,,,,,,,,,,,,Matches
402,Lionel Messi,ar ARG,"FW,MF",es Barcelona,27,1987,12.7,,,,,,,,,,,,,,,,,,,,,Matches
421,Martín Montoya,es ESP,DF,es Barcelona,23,1991,0.9,,,,,,,,,,,,,,,,,,,,,Matches
453,Neymar,br BRA,"FW,MF",es Barcelona,22,1992,11.4,,,,,,,,,,,,,,,,,,,,,Matches
483,Pedro,es ESP,"FW,MF",es Barcelona,27,1987,4.4,,,,,,,,,,,,,,,,,,,,,Matches
490,Gerard Piqué,es ESP,DF,es Barcelona,27,1987,11.0,,,,,,,,,,,,,,,,,,,,,Matches
507,Rafinha,br BRA,MF,es Barcelona,21,1993,1.3,,,,,,,,,,,,,,,,,,,,,Matches
511,Ivan Rakitić,hr CRO,MF,es Barcelona,26,1988,9.8,,,,,,,,,,,,,,,,,,,,,Matches
514,Sandro Ramírez,es ESP,"FW,MF",es Barcelona,19,1995,0.6,,,,,,,,,,,,,,,,,,,,,Matches
529,Sergi Roberto,es ESP,"DF,MF",es Barcelona,22,1992,1.3,,,,,,,,,,,,,,,,,,,,,Matches
552,Sergi Samper,es ESP,MF,es Barcelona,19,1995,1.0,,,,,,,,,,,,,,,,,,,,,Matches
605,Luis Suárez,uy URU,FW,es Barcelona,27,1987,9.2,,,,,,,,,,,,,,,,,,,,,Matches
621,Marc-André ter Stegen,de GER,GK,es Barcelona,22,1992,13.0,,,,,,,,,,,,,,,,,,,,,Matches
668,Xavi,es ESP,MF,es Barcelona,34,1980,3.7,,,,,,,,,,,,,,,,,,,,,Matches
