bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1a64b198-b81a-4c78-b751-75b4bd6c90ed,1,,,9827,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6931, 'name': 'Leandro Chichizola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6921, 'name': 'Matías Aguirregaray Guruceaga'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 5466, 'name': 'Oghenekaro Etebo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 6930, 'name': 'Jonathan Calleri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Las Palmas,208,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5b18271e-2b49-4eca-908a-fa8a44997398,2,,,9827,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6400, 'name': 'Aleix Vidal Parreu'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0b936803-b2ab-489b-b214-388af70be8bc,3,,,9827,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['2721f25a-1057-44d5-9044-728187fa5e87'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2721f25a-1057-44d5-9044-728187fa5e87,4,,,9827,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['0b936803-b2ab-489b-b214-388af70be8bc'],0,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a7e99731-13c8-47a6-a1d1-068173694714,1530,,,9827,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,94,Las Palmas,208,['d9a43db0-b90a-4a41-a7e4-2c7bac1914d2'],0,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d9a43db0-b90a-4a41-a7e4-2c7bac1914d2,1531,,,9827,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,94,Las Palmas,208,['a7e99731-13c8-47a6-a1d1-068173694714'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,0.931613,,,,,,,,,,,,,ad1e08b9-bc30-4ede-9fad-4e2087c046d2,5,,"[61.0, 40.1]",9827,0,,True,,,-3.0372114,,Right Foot,,,,"[50.5, 39.0]",Ground Pass,,10.557462,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,2,Barcelona,217,['14f75a47-72c2-43a5-9256-e4ed3e22d98c'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.536,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,1.991249,,,,,,,,,,,,,5a9a7b9b-2cf8-4dcb-b82e-103fec5f1213,7,,"[50.4, 39.4]",9827,0,,,,,1.6488497,,Right Foot,,,,"[47.6, 75.2]",Low Pass,,35.90933,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,2,Barcelona,217,['b041cc1f-18db-434e-807d-ea01263ab2fd'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.546,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,2.111825,,,,,,,,,,,,,5f024d34-d0b8-412a-a6ac-d891fe249c5f,11,,"[48.1, 75.6]",9827,0,,,,,-2.8465025,,Right Foot,,,,"[25.4, 68.7]",Ground Pass,,23.725513,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,"['8fc9326f-c614-44b1-b61e-fde3ecbb0353', 'a813eb6c-c609-4e5f-a575-701177189922']",5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.284,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,,3.658797,,,,,,,,,,,,,ef3d1626-d974-479d-a8eb-2f712d3c9fb7,14,,"[26.8, 67.7]",9827,0,,,,,0.06994939,,Left Foot,,,,"[73.9, 71.0]",High Pass,,47.21546,,Incomplete,,,,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Right Center Back,2,Barcelona,217,"['54568048-ea6b-4226-946f-acc14a286ffa', '7a6f6346-d086-4223-aa24-5238e67ddff5']",7,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.395,Pass,True,2017/2018
