50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,23f3e393-7846-45a1-8ceb-1a67d0adbe62,1,,,69209,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Racing Santander,1217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26070, 'name': 'Antonio Rodríguez Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26195, 'name': 'Juan Valera Espín'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 26044, 'name': 'César González Navas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 26067, 'name': 'Oriol Lozano Farrán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 13157, 'name': 'Ivan Marcano Sierra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 26073, 'name': 'Gonzalo Colsa Albendea'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 19577, 'name': 'Pedro Manuel Munitis Álvarez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 23804, 'name': 'Jonathan Pereira Rodríguez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 26598, 'name': 'Antonio Moral Segura'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 2}, {'player': {'id': 26074, 'name': 'Nikola Žigić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Racing Santander,1217,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,76e1fd65-7f31-4bd3-9d3b-694244511c4d,2,,,69209,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Racing Santander,1217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Barcelona,217,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,82eb9726-c9b4-4baf-afc8-745152bba002,3,,,69209,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Racing Santander,1217,['4c2a6268-7ac6-48a6-89db-75b2fed930f5'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,4c2a6268-7ac6-48a6-89db-75b2fed930f5,4,,,69209,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Racing Santander,1217,['82eb9726-c9b4-4baf-afc8-745152bba002'],0,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,49dcf3ef-8e4f-4383-aa7c-65e46ddeeb1f,1974,,,69209,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,105,Barcelona,217,['5818d2a4-838b-493f-b9ee-0fd209268d0a'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,5818d2a4-838b-493f-b9ee-0fd209268d0a,1975,,,69209,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,105,Barcelona,217,['49dcf3ef-8e4f-4383-aa7c-65e46ddeeb1f'],0,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.991468,,,,,,,,,,,,,,,,17d35578-5e43-4b17-85e9-e62c0d07af1b,5,,"[60.0, 40.0]",69209,0,,,,2.7908647,,Right Foot,,"[51.8, 43.0]",Ground Pass,,8.731552,,,,Mehdi Lacen,6745.0,,,,,,Kick Off,1,From Kick Off,Jonathan Pereira Rodríguez,23804.0,Center Attacking Midfield,2,Racing Santander,1217,['8257d655-790f-4ffa-9b8e-6cad862813b9'],0,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.407,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.525141,,,,,,,,,,,,,,,,b4cac518-a66d-494f-9202-2745af118379,8,,"[49.0, 40.7]",69209,0,,,,-1.8524901,,Left Foot,,"[40.0, 9.6]",Low Pass,,32.376072,,,,Ivan Marcano Sierra,13157.0,,,,,,,1,From Kick Off,Mehdi Lacen,6745.0,Right Center Midfield,2,Racing Santander,1217,['dd3370b1-2656-4762-8a30-3d15d1457857'],2,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:02.454,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.8943,,,,,,,,,,,,,,,,a8b562c3-8131-49d6-84c3-b8f6b142b2bf,11,,"[40.9, 2.0]",69209,0,,,,0.45903936,,Left Foot,,"[84.4, 23.5]",High Pass,,48.52319,,,,Nikola Žigić,26074.0,,,,,,,1,From Kick Off,Ivan Marcano Sierra,13157.0,Left Back,2,Racing Santander,1217,['ffc61fd8-b0b5-465b-be11-18cb0d118c40'],5,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:05.821,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.9907,,,,,,,,,,,,,,,,560e5725-3f05-435f-8c1f-a7c209a638a6,15,,"[84.7, 24.4]",69209,0,,,,3.10568,,Right Foot,,"[68.0, 25.0]",Low Pass,,16.710775,,Incomplete,,Mehdi Lacen,6745.0,,,,,,,1,From Kick Off,Nikola Žigić,26074.0,Center Forward,2,Racing Santander,1217,"['2b3026ab-5d60-49a5-8382-8c16d29a9746', '71e20d19-25f5-4cb0-bd33-aa923332b9d2']",7,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:07.795,Pass,,2008/2009
,,,,,,,,,,True,,,,,,0.817571,,,,,,,,,,,,,,,,71e20d19-25f5-4cb0-bd33-aa923332b9d2,17,,"[52.1, 55.1]",69209,0,,,,1.7942729,,Right Foot,,"[50.6, 61.7]",Low Pass,,6.7683086,,,,Xavier Hernández Creus,20131.0,,,,,,Interception,1,Regular Play,Sergio Busquets i Burgos,5203.0,Right Center Midfield,3,Barcelona,217,"['36160643-c18c-47eb-b722-426efafb57a4', '560e5725-3f05-435f-8c1f-a7c209a638a6']",9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.786,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.835649,,,,,,,,,,,,,,,,7c970458-1266-4a7b-b5e5-2f11d76b8d96,20,,"[50.0, 60.6]",69209,0,,,,-2.2641478,,Right Foot,,"[44.1, 53.5]",Ground Pass,,9.231468,,,,Gnégnéri Yaya Touré,3087.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,3,Barcelona,217,['ffbeadd8-3c20-4cc1-a08f-7b4e270b6686'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.671,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.893932,,,,,,,,,,,,,,,,d0602f87-a62d-4492-ab7a-347254260acb,23,,"[44.5, 52.2]",69209,0,,,,-1.6319445,,Right Foot,,"[42.7, 22.8]",Ground Pass,,29.455051,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,3,Barcelona,217,['28fa260f-00f0-4d13-922b-2dcfa9a9cee6'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.326,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.677155,,,,,,,,,,,,,,,,3d1967d0-6c2a-4eac-a774-cddc6c9e8ab0,26,,"[41.4, 25.9]",69209,0,,,,2.5266552,,Left Foot,,"[27.1, 36.0]",Ground Pass,,17.507141,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,3,Barcelona,217,['ef81f44f-3b33-467c-b425-cf03e803230b'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.260,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.858952,,,,,,,,,,,,,,,,ca77f6cf-5e61-468b-977d-7fab391d1d60,29,,"[27.6, 38.3]",69209,0,,,,1.3141268,,Right Foot,,"[35.5, 68.4]",Ground Pass,,31.119448,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Left Center Back,3,Barcelona,217,['021c128b-2121-4b43-b01f-c5358684e2c5'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.846,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.968647,,,,,,,,,,,,,,,,e999db77-8186-47d7-be3c-a946d22a5500,32,,"[37.3, 60.6]",69209,0,,,,-1.788295,,Right Foot,,"[29.3, 24.4]",Low Pass,,37.07344,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Right Center Back,3,Barcelona,217,['dd8eb434-30e0-4a75-9bbc-8b27c476d0b3'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.086,Pass,,2008/2009
,,,,,,,,,,,,,,,,2.683542,,,,,,,,,,,,,,,,f96b6632-137f-41a2-8b8e-d599acd1ad10,35,,"[32.4, 26.8]",69209,0,,,,1.5930148,,Right Foot,,"[31.7, 58.3]",Ground Pass,,31.507776,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Left Center Back,3,Barcelona,217,['968f1d39-74f3-430b-81eb-7e1027c0f8a7'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.974,Pass,,2008/2009
