50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.791303,,,,,,,,,,,,d1bacb5f-7b7b-45e3-9d4c-fa9c3f2ce609,20,,"[43.6, 13.1]",267660,0,,,,,1.5860623,,Left Foot,,,,"[43.2, 39.3]",,Ground Pass,,26.203053,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Center Back,3,Barcelona,217,['bdc89fb6-6efc-4cab-8299-1755aa9caeb2'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.756,Pass,,2016/2017
,,,,,,,,,,,,,,,1.955498,,,,,,,,,,,,871290d5-8a63-478d-8e64-714cf818b43b,23,,"[43.4, 42.6]",267660,0,,,,,1.3230729,,Right Foot,,,,"[49.9, 68.3]",,Ground Pass,,26.509243,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Center Back,3,Barcelona,217,['e425577d-7eb5-4099-ab3b-6bed81dc08a6'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.263,Pass,,2016/2017
,,,,,,,,,,,,,,,1.9157,,,,,,,,,,,,4e26305f-4ed1-41ee-97d1-fea8f992447e,26,,"[49.9, 68.3]",267660,0,,,,,-1.868712,,Right Foot,,,,"[42.5, 44.2]",,Ground Pass,,25.210514,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,3,Barcelona,217,['f38c526f-eb99-4946-b417-fbcccaa87067'],31,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.846,Pass,,2016/2017
,,,,,,,,,,,,,,,1.609981,,,,,,,,,,,,1bba4ddb-32b6-4b5e-8af4-36d140f096ba,29,,"[54.0, 44.6]",267660,0,,,,,1.6119715,,Right Foot,,,,"[52.9, 71.3]",,Ground Pass,,26.722649,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Center Back,3,Barcelona,217,['70427f45-80b3-40d2-b1a2-5a4b32e8aa02'],39,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.228,Pass,,2016/2017
,,,,,,,,,,,,,,,1.906337,,,,,,,,,,,,56221635-703c-478a-ba9a-9676709876b3,33,,"[55.3, 58.0]",267660,0,,,,,-2.5255704,,Right Foot,,,,"[35.1, 43.7]",,Ground Pass,,24.749344,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,3,Barcelona,217,"['19f0e838-e04e-45c2-8ee3-e60069999c2c', 'fcab8697-1414-494f-997e-51b889ff436d']",44,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.954,Pass,True,2016/2017
,,,,,,,,,,,,,,,1.775,,,,,,,,,,,,34bce007-e977-474b-a00b-01af4f5d8a0c,36,,"[43.2, 47.1]",267660,0,,,,,-1.5508786,,Right Foot,,,,"[43.7, 22.0]",,Ground Pass,,25.10498,,,Jordi Alba Ramos,5211.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Center Back,3,Barcelona,217,['bccf9458-568b-4efc-8677-91a9b91cc281'],49,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.246,Pass,,2016/2017
,,,,,,,,,,,,,,,2.104817,,,,,,,,,,,,479526fd-9fb9-40ab-9ad5-bf41d4c36dce,39,,"[56.5, 18.4]",267660,0,,,,,2.0326645,,Left Foot,,,,"[45.3, 40.9]",,Ground Pass,,25.133444,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Center Back,3,Barcelona,217,['d5aa88b5-971c-4434-bf66-5c41055ef707'],54,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.808,Pass,,2016/2017
,,,,,,,,,,,,,,,2.075908,,,,,,,,,,,,a015cc64-11a3-4f56-9d36-eceefa81d709,42,,"[48.0, 42.1]",267660,0,,,,,1.276179,,Right Foot,,,,"[56.8, 71.1]",,Ground Pass,,30.305775,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Center Back,3,Barcelona,217,['c79672f7-1518-422d-a705-1414f77bd425'],58,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.579,Pass,,2016/2017
,,,,,,,,,,,,,,,1.3584,,,,,,,,,,,,b763d304-9d1e-4350-82c9-d15f8d418626,45,,"[55.2, 73.9]",267660,1,,,,,-0.11065722,,Right Foot,,,,"[84.0, 70.7]",,High Pass,,28.977232,Incomplete,,Sergi Roberto Carnicer,6379.0,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,3,Barcelona,217,"['0fe9f8a6-a400-407b-9d30-a50c0397376b', 'b4cc8640-14a6-4b7b-af9b-a6a7ea2a6e25']",1,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.564,Pass,,2016/2017
,,,,,,,,,,,,,,,2.1276,,,,,,,,,,,,195a4f72-abeb-4454-86e8-0e66d98c852e,48,,"[86.0, 80.0]",267660,1,,,,,-2.1282852,,,,,,"[75.9, 63.8]",,Low Pass,,19.090574,,,Sergio Busquets i Burgos,5203.0,,,,,,Throw-in,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Defensive Midfield,4,Barcelona,217,['c495553a-b207-4535-831f-4bb7c02dd025'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.571,Pass,,2016/2017
