50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,1.4909,,,,,,,,,,,,,11c9d580-5310-43d4-9a67-ad801d0c2d73,16,,"[35.9, 72.6]",70293,0,,,,,-2.2078087,,Right Foot,,,"[19.4, 50.3]",,Ground Pass,,27.740583,,,,Gerard Piqué Bernabéu,5213.0,,,,,,Recovery,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,"['6d74dcf9-bdca-4d22-bc86-df5ab7994723', 'b552a8cf-f3fa-4a21-8fcb-30c29b660e9d']",8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.956,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,1.5241,,,,,,,,,,,,,f8fcaba0-3911-4326-a6e6-610c4492006c,19,,"[15.6, 50.3]",70293,0,,,,,-2.6576433,,Right Foot,,,"[7.8, 46.2]",,Ground Pass,,8.811924,,,,Víctor Valdés Arribas,20176.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['4fdd6306-83d4-4088-8a97-9c0b7f5e9e1f'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.747,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,0.665382,,,,,,,,,,,,,3f70ccf7-b495-4a11-8dec-dd4e8bc79971,22,,"[7.6, 41.3]",70293,0,,,,,-0.73434764,,Right Foot,,,"[14.8, 34.8]",,Ground Pass,,9.7,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,3,Barcelona,217,['88593e4d-23cd-43fa-a0de-acf233e0a57e'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.128,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,0.7032,,,,,,,,,,,,,0dfcfafe-84fa-4a24-a47a-d3033d99cce3,25,,"[44.1, 40.8]",70293,0,,,,,0.848728,,Right Foot,,,"[53.7, 51.7]",,Ground Pass,,14.524806,,,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['db1d9928-03d9-4780-93ce-091eb0cfc7d7'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.843,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,1.2666,,,,,,,,,,,,,619497c2-a319-402a-9526-199d100dc3f8,28,,"[53.7, 51.7]",70293,0,,,,,2.6248975,,Right Foot,,,"[36.1, 61.7]",,Ground Pass,,20.242529,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Center Forward,3,Barcelona,217,['4f2ecba6-6448-4b03-9b20-2f6eadef5c8b'],31,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.722,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,1.1014,,,,,,,,,,,,,c15ed817-775b-4381-941a-01c9dffdc1ef,31,,"[36.3, 64.5]",70293,0,,,,,0.4902262,,Right Foot,,,"[55.6, 74.8]",,Ground Pass,,21.87647,,,,Daniel Alves da Silva,4324.0,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Left Center Back,3,Barcelona,217,['f78322b1-5a77-4bc8-9867-5be1455705d0'],34,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.339,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,1.187646,,,,,,,,,,,,,bde7fd71-5748-4c54-bd1a-72c5eceaa0b6,34,,"[56.1, 74.6]",70293,0,,,,,-2.5602124,,Right Foot,,,"[42.1, 65.4]",,Ground Pass,,16.752314,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['29e85577-c86e-49d7-b8a2-d387daded785'],36,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.797,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,1.381526,,,,,,,,,,,,,0c8c29d1-1aa5-4cfd-9207-dedfe3ec47b7,37,,"[43.2, 65.3]",70293,0,,,,,-1.8477051,,Right Foot,,,"[35.1, 36.8]",,Ground Pass,,29.628702,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Left Center Back,3,Barcelona,217,['6230b4c3-09d0-4e27-9b9b-ea7076fd6b6d'],38,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.798,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,0.839,,,,,,,,,,,,,a2c23881-1a97-4449-af94-b6d86180e417,40,,"[42.5, 40.0]",70293,0,,,,,0.58511245,,Right Foot,,,"[50.5, 45.3]",,Ground Pass,,9.596354,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['103ea2e1-8292-47ba-9108-1eff1409ff90'],43,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.213,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,1.9224,,,,,,,,,,,,,f920a31f-6f61-48ea-b9c9-a14c00808f11,44,,"[45.9, 32.6]",70293,0,,,,,1.8555268,,Right Foot,,,"[41.1, 49.0]",,Ground Pass,,17.088007,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,3,Barcelona,217,"['9b227333-6c09-4cb2-a79d-10d39fb9c5f4', 'ff2ff77c-420d-4af3-9d98-d183cb52c25a']",50,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.092,Pass,True,2013/2014
