ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,2.687074,,,,,,,,,,,1f9b7a8b-268c-4517-b1ac-1ba131ff8607,17,,"[39.1, 6.8]",69272,0,,,,1.8119454,,Left Foot,,,"[27.0, 56.0]",,Low Pass,50.666065,,,Javier Alejandro Mascherano,5506.0,,True,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,"['b96d25b8-167e-4a61-89c7-ba36440b193a', 'c6423f30-ad0b-4790-ab28-e25f8d9ade62']",8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.464,Pass,True,2010/2011
,,,,,,,,,,,,,2.217299,,,,,,,,,,,b7688714-78ee-460c-8184-38d0d7b32de0,20,,"[32.0, 58.8]",69272,0,,,,-1.5626993,,Right Foot,,,"[32.2, 34.1]",,Ground Pass,24.70081,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['38c2da8b-c136-4d4e-959e-0470f51e0910'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.671,Pass,,2010/2011
,,,,,,,,,,,,,0.761582,,,,,,,,,,,acfacb87-9283-4c8c-954e-6b3f67831b31,24,,"[38.1, 38.0]",69272,0,,,,-0.85843873,,Right Foot,,,"[43.8, 31.4]",,Ground Pass,8.720665,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Left Center Back,2,Barcelona,217,"['b4f7031e-f158-4f60-9c23-2e8d05d6a6fe', 'f4e15110-2df4-43e1-bf5e-991f6a8f2a1f']",18,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.827,Pass,True,2010/2011
,,,,,,,,,,,,,0.84032,,,,,,,,,,,300d460c-3665-4b3b-94b0-431d99e795dd,27,,"[43.4, 31.2]",69272,0,,,,2.3026743,,Right Foot,,,"[38.1, 37.1]",,Ground Pass,7.930952,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['d7361629-8cd9-40a7-a9c4-2ccb13e188d8'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.629,Pass,,2010/2011
,,,,,,,,,,,,,1.126484,,,,,,,,,,,4bfbeb9d-5e73-45a9-a0e3-88ea7b1133d0,30,,"[38.1, 37.0]",69272,0,,,,1.3715957,,Right Foot,,,"[42.4, 58.3]",,Low Pass,21.729704,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Left Center Back,2,Barcelona,217,['e1c6a056-de48-4054-bb28-574ae14796a2'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.909,Pass,,2010/2011
,,,,,,,,,,,,,1.083937,,,,,,,,,,,8ffbacca-4f15-419d-9318-ed5129b319dd,33,,"[45.7, 57.5]",69272,0,,,,-0.45066133,,Right Foot,,,"[58.1, 51.5]",,Ground Pass,13.77534,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['88f8c777-9d21-4f00-92b6-a61ef352f371'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.182,Pass,,2010/2011
,,,,,,,,,,,,,1.103211,,,,,,,,,,,0f2b403c-6b40-4717-bb0b-c9df142dcc5d,36,,"[58.0, 51.3]",69272,0,,,,2.602431,,Right Foot,,,"[46.3, 58.3]",,Ground Pass,13.634149,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['7b91cad6-5e11-48dc-ad84-430eb07d98c8'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.306,Pass,,2010/2011
,,,,,,,,,,,,,1.657187,,,,,,,,,,,6af0e772-589f-4975-a06c-e3f1481cb16d,39,,"[46.3, 58.3]",69272,0,,,,-1.3993363,,Right Foot,,,"[50.3, 35.2]",,Ground Pass,23.443762,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['09616d0e-11bd-4911-9a76-cea4524556bf'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.449,Pass,,2010/2011
,,,,,,,,,,,,,1.709104,,,,,,,,,,,1112995a-613c-49f7-b888-0409eeda6021,42,,"[54.8, 36.1]",69272,0,,,,1.5130571,,Right Foot,,,"[55.8, 53.4]",,Ground Pass,17.328878,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['7a1bee40-4b23-4fb5-994d-f3dff74ac707'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.221,Pass,,2010/2011
,,,,,,,,,,,,,1.539497,,,,,,,,,,,0174e1fa-047e-4719-b678-5b66625cccd4,45,,"[66.5, 54.0]",69272,0,,,,-1.7843567,,Right Foot,,,"[62.9, 37.4]",,Ground Pass,16.985876,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['0840abfd-b9de-4d2d-b99c-10c6f5304a7b'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.579,Pass,,2010/2011
