bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,86323b01-9030-4cf4-9583-57fc53afc3bd,1,,,,69234,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6890, 'name': 'Andreu Fontàs Prat'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,77e67797-9496-474d-ad38-ef3083303e12,2,,,,69234,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24147, 'name': 'Ernesto Galán Iñigo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 6652, 'name': 'Jordi Amat Maas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 26667, 'name': 'Raúl Rodríguez Navarro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 26170, 'name': 'Francisco Javier Chica Torres'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 26211, 'name': 'Joan Verdú Fernández'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 24783, 'name': 'Javier Márquez Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 26243, 'name': 'Iván Daniel Alonso Vallejo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 26609, 'name': 'Pablo Daniel Osvaldo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Espanyol,214,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b39c3060-a44c-4eb5-bbf6-52eefa0f5e6a,3,,,,69234,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['15440181-a899-42c7-9af7-9ca347f6ecc9'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,15440181-a899-42c7-9af7-9ca347f6ecc9,4,,,,69234,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['b39c3060-a44c-4eb5-bbf6-52eefa0f5e6a'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9657c327-81a3-48f7-a363-9ac406cfacd5,2144,,,,69234,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,97,Barcelona,217,['5fe6d59f-71b0-45f8-9d33-fa5e6561fb0c'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5fe6d59f-71b0-45f8-9d33-fa5e6561fb0c,2145,,,,69234,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,97,Barcelona,217,['9657c327-81a3-48f7-a363-9ac406cfacd5'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.812714,,,,,,,,,,,,,,8ddddf05-16c4-4035-a6d4-7e58893b36d1,5,,,"[61.0, 41.0]",69234,0,,,,,-1.6020361,,Right Foot,,,"[60.9, 37.8]",,Ground Pass,,3.2015622,,,,Pablo Daniel Osvaldo,26609.0,,,,,,Kick Off,1,From Kick Off,Iván Daniel Alonso Vallejo,26243.0,Right Center Forward,2,Espanyol,214,['83c4e5e0-81aa-4d73-9d7b-0ffaf206384b'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.246,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.401435,,,,,,,,,,,,,,f73e61af-c7e1-4160-926f-4aa1d6260fcd,8,,,"[62.1, 37.8]",69234,0,,,,,3.0010166,,Left Foot,,,"[40.9, 40.8]",,Ground Pass,,21.411213,,,,Javier Márquez Moreno,24783.0,,,,,,,1,From Kick Off,Pablo Daniel Osvaldo,26609.0,Left Center Forward,2,Espanyol,214,['b147ae2c-c9cf-4bd9-8773-ddd688469cdf'],1,,,,,,,,,,,,,,,,,Espanyol,214,00:00:01.545,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.625963,,,,,,,,,,,,,,5d83fce3-609c-4ba1-a455-e5fa8290bcc0,11,,,"[44.4, 57.0]",69234,0,,,,,1.8379935,,Left Foot,,,"[39.5, 74.9]",,Ground Pass,,18.558556,,,,Ernesto Galán Iñigo,24147.0,,,,,,,1,From Kick Off,Javier Márquez Moreno,24783.0,Left Center Midfield,2,Espanyol,214,['ba434a46-92e7-4240-88f9-e1c843195343'],4,,,,,,,,,,,,,,,,,Espanyol,214,00:00:04.095,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.322759,,,,,,,,,,,,,,be2af138-65b5-4ee9-be97-f407c02efc77,15,,,"[39.8, 74.3]",69234,0,,,,,-2.4227626,,Right Foot,,,"[27.0, 63.1]",,Ground Pass,,17.008234,,,,Jordi Amat Maas,6652.0,,,,,,,1,From Kick Off,Ernesto Galán Iñigo,24147.0,Right Back,2,Espanyol,214,"['b94ffdc0-93bc-42f1-bd42-61f41250ec69', 'ea415517-661c-4758-b8c5-b3b5cee99000']",5,,,,,,,,,,,,,,,,,Espanyol,214,00:00:05.801,Pass,True,2010/2011
