50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,2.580165,,,,,,,,,,,,,,,,dd6ca50a-5941-4603-95f3-ce01245500b6,16,,"[49.7, 51.0]",68335,0,,,,,-1.6544516,,Right Foot,,,,"[47.0, 18.8]",,Ground Pass,,32.313,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['93ed7de2-a841-431a-8f85-1105d8d6fb8c'],10,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.887,Pass,,2006/2007
,,,,,,,,,,,,,,,,,0.945753,,,,,,,,,,,,,,,,e5068b87-138e-49f4-8283-0805fbc6ae0f,19,,"[42.5, 16.2]",68335,0,,,,,1.1105734,,Right Foot,,,,"[48.3, 27.9]",,Ground Pass,,13.058714,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['d00c5d09-4276-4e80-9d6a-818194ac7020'],16,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.606,Pass,,2006/2007
,,,,,,,,,,,,,,,,,0.748389,,,,,,,,,,,,,,,,474697c7-cc8c-496b-8ab0-54a5f4a5c619,22,,"[48.3, 27.9]",68335,0,,,,,2.0416038,,Left Foot,,,,"[39.8, 44.6]",,Ground Pass,,18.73873,,,Lilian Thuram,15071.0,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Left Defensive Midfield,2,Barcelona,217,['15836344-767b-47ea-8d24-65e0484278db'],19,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.981,Pass,,2006/2007
,,,,,,,,,,,,,,,,,1.658029,,,,,,,,,,,,,,,,735c27cb-f700-431d-b585-c1622b71e65b,25,,"[40.8, 44.9]",68335,0,,,,,-1.2016674,,Right Foot,,,,"[51.4, 17.5]",,Ground Pass,,29.378904,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Lilian Thuram,15071.0,Center Back,2,Barcelona,217,['c0a6a9e8-5694-4a90-87cf-f4a184f23377'],22,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.399,Pass,,2006/2007
,,,,,,,,,,,,,,,,,1.991431,,,,,,,,,,,,,,,,cf9474a5-e832-4620-876f-9f1b267b60c2,28,,"[56.9, 16.2]",68335,0,,,,,2.156669,,Left Foot,,,,"[42.5, 37.9]",,Ground Pass,,26.043234,,,Lilian Thuram,15071.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['6b564cdf-f792-41a8-9357-4c4413bd2fc2'],26,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.323,Pass,,2006/2007
,,,,,,,,,,,,,,,,,2.5267,,,,,,,,,,,,,,,,344f68d4-709f-4e49-b487-6c373546a58f,31,,"[42.5, 38.1]",68335,0,,,,,-0.959819,,Right Foot,,,,"[61.2, 11.4]",,Low Pass,,32.59724,,,Anderson Luís de Souza,19757.0,,,,,,1,From Kick Off,Lilian Thuram,15071.0,Center Back,2,Barcelona,217,['65371113-a5cb-46b2-aefd-5f5775dd59c5'],30,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.006,Pass,,2006/2007
,,,,,,,,,,,,,,,,,1.616172,,,,,,,,,,,,,,,,7b1ca605-1fe5-4743-8c9f-26c291a0a84b,35,,"[59.7, 11.1]",68335,0,,,,,2.9193633,,Right Foot,,,,"[38.9, 15.8]",,Ground Pass,,21.3244,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Anderson Luís de Souza,19757.0,Right Center Midfield,2,Barcelona,217,"['0360598b-d778-4a8f-97c1-b642eaf7f405', 'fb1dd28b-bf98-4999-ae4a-095b982856cb']",32,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.612,Pass,True,2006/2007
,,,,,,,,,,,,,,,,,1.713673,,,,,,,,,,,,,,,,b5ca3736-567c-405d-8f79-5684fee94984,37,,"[39.6, 15.8]",68335,0,,,,,-0.7775858,,Right Foot,,,,"[52.5, 3.1]",,Ground Pass,,18.102486,,,Anderson Luís de Souza,19757.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['c1a6f01e-d133-4feb-8a59-ce6759a85b57'],34,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.228,Pass,,2006/2007
,,,,,,,,,,,,,,,,,1.3923,,,,,,,,,,,,,,,,3f04ae06-2b45-4779-a080-e54c89f5c3fe,41,,"[50.4, 2.9]",68335,0,,,,,0.008368006,,Right Foot,,,,"[74.3, 3.1]",,Ground Pass,,23.900837,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,From Kick Off,Anderson Luís de Souza,19757.0,Right Center Midfield,2,Barcelona,217,"['694a6579-1758-4b3f-be21-9b1e08fcec40', 'a5f3fc29-88cd-4e4e-af82-fae655e3e5f9']",36,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.749,Pass,True,2006/2007
,,,,,,,,,,,,,,,,,1.308536,,,,,,,,,,,,,,,,890a8b8b-c8aa-4e72-a8e2-9379d5689e8b,50,,"[60.9, 78.1]",68335,0,,,,,-1.4021994,,Left Foot,,,,"[61.7, 73.4]",,Ground Pass,,4.767599,,,Raúl González Blanco,15607.0,,,,,,1,From Kick Off,Mahamadou Diarra,26021.0,Right Defensive Midfield,2,Barcelona,217,['b7d1d73e-7bc6-41f9-ba17-9e6750a41333'],41,,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:41.725,Pass,,2006/2007
,,,,,,,,,,,,,,,,,1.147259,,,,,,,,,,,,,,,,e70c8a2e-e4d7-4f0b-a023-6a3bcd2374a0,54,,"[59.7, 14.3]",68335,0,,,,,-3.0735161,,Right Foot,,,,"[42.1, 13.1]",,Ground Pass,,17.640862,,,Carles Puyol i Saforcada,20125.0,,,,,Recovery,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Defensive Midfield,2,Barcelona,217,['8e764f38-489e-45bc-97d7-114fc283425a'],44,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.649,Pass,,2006/2007
,,,,,,,,,,,,,,,,,1.954412,,,,,,,,,,,,,,,,4eba074c-6bc3-4e44-b7d4-693de34df68f,57,,"[37.2, 13.1]",68335,0,,,,,1.6699957,,Right Foot,,,,"[35.1, 34.2]",,Ground Pass,,21.204245,,,Lilian Thuram,15071.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['5fd47226-6a95-41fa-a0cc-3800b7432c98'],46,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.646,Pass,,2006/2007
,,,,,,,,,,,,,,,,,1.959456,,,,,,,,,,,,,,,,d12386f5-dd2c-44d1-be60-d2b0e0db27a9,60,,"[35.3, 35.9]",68335,0,,,,,-1.1071488,,Right Foot,,,,"[51.6, 3.3]",,Ground Pass,,36.447906,,,Anderson Luís de Souza,19757.0,,,,,,1,From Kick Off,Lilian Thuram,15071.0,Center Back,2,Barcelona,217,['6e02d381-1d57-4134-a731-7037ef112b31'],50,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.132,Pass,,2006/2007
