bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d7305d84-0c31-479d-b5ee-c3b01b31500a,1,,,,68361,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 11179, 'name': 'Iker Casillas Fernández'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 26176, 'name': 'Iván Gabriel Heinze'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 26021, 'name': 'Mahamadou Diarra'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 26036, 'name': 'Fernando Rubén Gago'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 4409, 'name': 'Wesley Sneijder'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 25924, 'name': 'José Maria Gutiérrez Hernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 8218, 'name': 'Arjen Robben'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 15607, 'name': 'Raúl González Blanco'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Real Madrid,220,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2ba960b0-8857-42a7-b3fc-cb5d711751da,2,,,,68361,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 11270, 'name': 'Eiður Smári Guðjohnsen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Barcelona,217,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,355b4663-40f7-4139-a640-41d0fd4773fe,3,,,,68361,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['17a95ac9-2d03-4d35-b549-23886f21b0c8'],0,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,17a95ac9-2d03-4d35-b549-23886f21b0c8,4,,,,68361,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['355b4663-40f7-4139-a640-41d0fd4773fe'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1938cfaa-7cbf-4cd2-a635-fa988b7f46cf,1837,,,,68361,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Real Madrid,220,['e882a9b9-864b-40e5-9c67-aa7956ee7e9a'],0,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e882a9b9-864b-40e5-9c67-aa7956ee7e9a,1838,,,,68361,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Real Madrid,220,['1938cfaa-7cbf-4cd2-a635-fa988b7f46cf'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,1.0862,,,,,,,,,,,,,,baaad949-52a8-4a65-8411-6fb6ea06fcb6,5,,,"[60.0, 40.0]",68361,0,,,,3.082139,,Right Foot,,,"[51.6, 40.5]",,Ground Pass,,8.414867,,,,,José Maria Gutiérrez Hernández,25924.0,,,,,Kick Off,1,From Kick Off,Raúl González Blanco,15607.0,Center Forward,2,Real Madrid,220,['c4a2d3b2-ba41-41d3-88d8-476445e4c5e4'],1,,,,,,,,,,,,,,,,Real Madrid,220,00:00:01.434,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.086239,,,,,,,,,,,,,,2afc8ae5-761c-46c0-a856-c7a70ddb90ba,8,,,"[53.3, 38.6]",68361,0,,,,-1.6614562,,Left Foot,,,"[52.9, 34.2]",,Ground Pass,,4.418144,,,,,Wesley Sneijder,4409.0,,,,,,1,From Kick Off,José Maria Gutiérrez Hernández,25924.0,Center Attacking Midfield,2,Real Madrid,220,['ad165744-66fa-4860-a86e-8514ea60c975'],3,,,,,,,,,,,,,,,,Real Madrid,220,00:00:03.501,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.964246,,,,,,,,,,,,,,e1c00b4f-790d-497f-9e8c-fdef7b36737f,11,,,"[52.9, 34.2]",68361,0,,,,1.3978429,,Right Foot,,,"[55.8, 50.8]",,Ground Pass,,16.85141,,,,,Mahamadou Diarra,26021.0,,,,,,1,From Kick Off,Wesley Sneijder,4409.0,Right Wing,2,Real Madrid,220,['364ae61f-42a0-44f1-8b80-4bb970bed0ee'],5,,,,,,,,,,,,,,,,Real Madrid,220,00:00:05.487,Pass,,2007/2008
,,,,,,,,,,,,,,,,3.695823,,,,,,,,,,,,,,464fd528-cf74-430a-a9dd-18c84c0e7aeb,14,,,"[55.8, 50.8]",68361,0,,,,2.9553697,,Right Foot,,,"[14.4, 58.6]",,Ground Pass,,42.128376,,,,,Kléper Laveran Lima Ferreira,20016.0,,,,,,1,From Kick Off,Mahamadou Diarra,26021.0,Right Center Midfield,2,Real Madrid,220,['1e676fb9-ba67-448d-9fd9-16920cbfad31'],6,,,,,,,,,,,,,,,,Real Madrid,220,00:00:06.578,Pass,,2007/2008
