ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,619f843b-f270-4d12-9ac3-c2d937b19055,1,,,69143,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Barcelona,217,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6957c064-719d-4414-a978-171cd7ddf49c,2,,,69143,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 25917, 'name': 'César Sánchez Domínguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26022, 'name': 'Carlos Andrés Diogo Enseñat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25969, 'name': 'Sergio Fernández González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 26215, 'name': 'Francisco Pavón Barahona'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 26123, 'name': 'Peter Luccin'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 24520, 'name': 'Alberto Zapater Arjol'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 26220, 'name': 'Matuzalém Francelino da Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 26024, 'name': 'Pablo César Aimar Giordano'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 19294, 'name': 'Diego Alberto Milito'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 25274, 'name': 'Ricardo de Oliveira'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 12}]}",Real Zaragoza,395,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,afd30f70-43b8-4af2-885f-e3ed62c3ec19,3,,,69143,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['7054406a-26d3-48f3-893e-4fad54d04fec'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7054406a-26d3-48f3-893e-4fad54d04fec,4,,,69143,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['afd30f70-43b8-4af2-885f-e3ed62c3ec19'],0,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4e558f6e-f90c-43bc-808f-ad62b706858a,1813,,,69143,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,84,Barcelona,217,['56dc35de-03f0-4b22-87cf-5753762764ef'],0,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,56dc35de-03f0-4b22-87cf-5753762764ef,1814,,,69143,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,84,Barcelona,217,['4e558f6e-f90c-43bc-808f-ad62b706858a'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,1.161867,,,,,,,,,,,,,,76fafe74-9d69-4948-a04a-5e3cd862c4da,5,,"[60.0, 40.0]",69143,0,,,,,1.1071488,,Right Foot,,,"[60.8, 41.6]",,Ground Pass,,1.7888544,,,,,Anderson Luís de Souza,19757.0,,,,,Kick Off,1,From Kick Off,Thierry Henry,15516.0,Center Forward,2,Barcelona,217,['a9e86a06-bff9-4f18-8287-a0623289db98'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.387,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.212045,,,,,,,,,,,,,,98ca6b7e-de48-445b-9791-b239d1a07d1b,8,,"[61.0, 42.9]",69143,0,,,,,2.5308666,,Right Foot,,,"[52.0, 49.2]",,Ground Pass,,10.9859,,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Anderson Luís de Souza,19757.0,Left Center Midfield,2,Barcelona,217,['be550d70-e378-4e71-9588-26399da0d3be'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.017,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.227503,,,,,,,,,,,,,,fc7c4316-5eef-40c7-aba4-ae935c27a426,11,,"[52.0, 49.2]",69143,0,,,,,-2.0299053,,Right Foot,,,"[38.9, 22.7]",,Ground Pass,,29.561123,,,,,Gabriel Alejandro Milito,25919.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['b6444cb8-cd11-4287-997b-606fc3095b90'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.391,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.622704,,,,,,,,,,,,,,d34ea8af-4cee-44a0-8dee-f1f8bf9b1d9d,14,,"[38.7, 22.5]",69143,0,,,,,-1.2777117,,Left Foot,,,"[43.8, 5.6]",,Ground Pass,,17.652761,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,['25b4444f-470d-418e-aa99-7845d0f7e5e8'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.297,Pass,,2007/2008
