ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,1.183917,,,,,,,,,,,,,3123cfd1-bdd2-4d26-9b3b-6edf475ee7a3,15,,"[35.8, 42.6]",69297,0,,,,1.3750591,,Right Foot,,,,"[38.1, 54.2]",,Ground Pass,,11.825819,,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['de030db3-ad0c-4f15-8329-e7fc0a43acc0'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.248,Pass,,2011/2012
,,,,,,,,,,,,,,1.534879,,,,,,,,,,,,,7d8b5392-2d11-444f-bf12-07814dc7f6fe,19,,"[44.2, 53.7]",69297,0,,,,-1.6439639,,Right Foot,,,,"[42.8, 34.6]",,Ground Pass,,19.15124,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,"['42515ddd-7bcf-402e-872e-ccc107106fa9', '539e93e0-d9da-4c76-9464-34591d0c7269']",15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.322,Pass,True,2011/2012
,,,,,,,,,,,,,,1.65678,,,,,,,,,,,,,b175d574-798a-4d95-96fa-73aaf282ca3a,22,,"[54.7, 26.6]",69297,0,,,,-1.2657323,,Right Foot,,,,"[62.1, 3.1]",,Ground Pass,,24.637573,,,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['9525aa2b-db41-4e24-a5dc-c2f84c8f24b0'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.551,Pass,,2011/2012
,,,,,,,,,,,,,,1.232187,,,,,,,,,,,,,f7811e4e-8348-4e49-98b8-584f7b2d3547,25,,"[59.2, 4.3]",69297,0,,,,1.3554386,,Right Foot,,,,"[62.7, 20.3]",,Ground Pass,,16.37834,,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,2,Barcelona,217,['bd7a89cb-d4cd-44e7-afda-108b184e33b2'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.313,Pass,,2011/2012
,,,,,,,,,,,,,,1.215675,,,,,,,,,,,,,0e33c449-8f9d-4f2c-b539-cb5e6007877d,28,,"[62.1, 16.5]",69297,0,,,,-3.0832648,,Right Foot,,,,"[48.4, 15.7]",,Ground Pass,,13.723338,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Kick Off,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,2,Barcelona,217,['59df1eed-746f-4a90-a65c-af4a9b2c620d'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.934,Pass,,2011/2012
,,,,,,,,,,,,,,0.904712,,,,,,,,,,,,,3da28951-3ef5-4c18-9b09-d7fe38beb7a0,31,,"[48.4, 15.7]",69297,0,,,,0.4346702,,Left Foot,,,,"[59.6, 20.9]",,Ground Pass,,12.348279,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['4b65cf18-1638-4abd-9cc6-1f4a929d7a12'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.858,Pass,,2011/2012
,,,,,,,,,,,,,,1.128139,,,,,,,,,,,,,0e6c1e07-bb6c-4a48-afa0-7859939b80f6,34,,"[59.6, 20.9]",69297,0,,,,-2.346849,,Right Foot,,,,"[54.3, 15.5]",,Ground Pass,,7.566373,,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Left Center Back,2,Barcelona,217,['44f94b32-af9c-4cc4-b37b-31262f5bafe1'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.803,Pass,,2011/2012
,,,,,,,,,,,,,,0.611401,,,,,,,,,,,,,87039a63-7e90-47d5-8fa7-b9caf5e866b3,37,,"[56.6, 13.4]",69297,0,,,,-0.0540015,,Right Foot,,,,"[64.0, 13.0]",,Ground Pass,,7.410803,,,Incomplete,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Kick Off,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,2,Barcelona,217,"['0b6229a1-ce07-43d1-89e6-4125427c4b9e', '8cdbd490-1588-4e7f-a77b-477850a18642']",28,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.659,Pass,,2011/2012
,,,,,,,,,,,,,,1.119138,,,,,,,,,,,,,25009d53-a36d-4329-a86b-ebb26867945b,42,,"[55.7, 63.0]",69297,0,,,,-1.0740726,,Left Foot,,,,"[67.3, 41.6]",,Ground Pass,,24.341734,,,,,Diego Ribas da Cunha,25145.0,,,,,,1,From Kick Off,José Antonio Reyes Calderón,23816.0,Right Wing,2,Barcelona,217,"['8d66b7d6-a67b-4fa3-8fff-89ef55ffbade', 'bf7fbddf-238c-47b1-a75b-3fabb0704027']",31,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:31.808,Pass,True,2011/2012
,,,,,,,,,,,,,,0.1574,,,,,,,,,,,,,601e3ee9-7ea2-42e3-941a-db7890f4f7b1,45,,"[70.9, 46.0]",69297,0,,,,1.0483929,,Right Foot,,,,"[72.8, 49.3]",,Ground Pass,,3.8078866,,,Incomplete,,Radamel Falcao García Zárate,3445.0,,,,,,1,From Kick Off,Diego Ribas da Cunha,25145.0,Left Wing,2,Barcelona,217,"['00dfdc1e-17cb-4f64-b711-464acf15a2f3', '4c093f57-4ea9-4e14-bee4-e2c88eaa40fe']",34,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:34.040,Pass,,2011/2012
