50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,a73ad081-ca7f-4f71-985c-483d0fa813ee,1453,,,"[109.1, 37.5]",267400,37,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,77,Barcelona,217,['6f10115b-79a4-4960-bb3d-cb71bada544b'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:37:59.602,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eac5b958-cdfb-4c6d-9222-6d37b716f1df,1458,,,"[48.2, 53.3]",267400,38,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Thievy Guivane Bifouma Koulossa,26775.0,Center Forward,78,Almería,403,"['5c9d773b-e743-439a-a790-8ae9a42ac4c4', '682c18b8-7f55-444b-9364-e8ff36fab5ef']",3,,,,,,,,,,,,,,,,,Almería,403,00:38:03.424,Ball Receipt*,True,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3bcadf20-917f-45e0-abfa-55bc6a4c95b7,1461,,,"[37.9, 59.7]",267400,38,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Wellington Alves da Silva,25723.0,Right Wing,78,Almería,403,"['6e3e723f-796d-47ed-bec9-d1ffebb0060a', 'a57a7a60-8396-4258-9542-1835c7db69d6']",5,,,,,,,,,,,,,,,,,Almería,403,00:38:05.255,Ball Receipt*,True,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015f3156-472b-4ed4-ada1-79e6749cf676,1464,,,"[61.7, 70.8]",267400,38,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Thievy Guivane Bifouma Koulossa,26775.0,Center Forward,78,Almería,403,['d59bfe47-636e-428c-aedb-b2f2412d2d20'],8,,,,,,,,,,,,,,,,,Almería,403,00:38:08.331,Ball Receipt*,,2014/2015
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,b3d82b0c-6eb7-4366-9ee0-a30cca35f141,1468,,,"[91.4, 62.9]",267400,38,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Edgar Antonio Méndez Ortega,26387.0,Left Wing,78,Almería,403,['ca4f2b79-c1ca-4827-91b1-7976bc925ebb'],20,,,,,,,,,,,,,,,,,Almería,403,00:38:20.224,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b5d50fb1-53cd-4e5d-b4c7-c88b879ed969,1472,,,"[45.2, 20.2]",267400,38,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,79,Barcelona,217,['fc3cd339-4348-48e1-ba05-fbac0551dda8'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:38:22.248,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be068e49-0649-476f-aa30-fda6d14fd518,1475,,,"[64.3, 5.2]",267400,38,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,79,Barcelona,217,['5902f38b-b839-464d-a3ba-96c713751dee'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:38:28.318,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1415c1bc-156a-4710-9697-67104cd7f7f5,1478,,,"[62.9, 19.3]",267400,38,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,79,Barcelona,217,['331903f4-2c1a-4550-b5bf-a7e0793150ba'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:38:29.644,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b22bc321-4ffa-41af-9a32-eeeae425423c,1481,,,"[99.5, 67.8]",267400,38,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,79,Barcelona,217,['acf9f2ca-96e1-4e26-be26-c5842574087d'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:38:34.646,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bd9eb9c8-c438-49bc-836b-243eb196da91,1487,,,"[46.6, 58.5]",267400,39,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Marc Bartra Aregall,7068.0,Right Center Back,81,Barcelona,217,['5373e873-d141-4def-b2f8-fd67736c6716'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:39:07.656,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1c29739b-b9dd-4533-8a8d-508885730b44,1489,,,"[55.0, 26.8]",267400,39,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,81,Barcelona,217,['f924ecd4-4b56-4ea0-b09d-68bdf562966a'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:39:11.267,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009abd8a-0df9-4216-aef6-43263dfa0cfe,1492,,,"[77.3, 3.1]",267400,39,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,81,Barcelona,217,['d6c80ffa-1f5e-4b32-94de-8110e56b1de9'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:39:15.250,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0e930e05-5158-49d0-8963-febab31f6bf7,1496,,,"[69.5, 21.4]",267400,39,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,81,Barcelona,217,['ad630549-2d37-49ed-ba5d-5f6c102d35e4'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:39:18.099,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33d6946f-07f0-4bbe-b8ea-f24b8c66cd4a,1499,,,"[67.3, 28.6]",267400,39,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sergi Roberto Carnicer,6379.0,Center Defensive Midfield,81,Barcelona,217,['d7190d4c-1f91-43e3-a7f5-447545257f79'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:39:20.437,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b4786c50-5675-4ade-90cb-69f78395f619,1502,,,"[70.1, 23.4]",267400,39,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,81,Barcelona,217,['96e93c79-b9a5-4bb7-a70e-5bbe53e8c583'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:39:21.003,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c53838bd-0f60-4788-b821-e6e722b2c16c,1505,,,"[62.2, 54.0]",267400,39,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Marc Bartra Aregall,7068.0,Right Center Back,81,Barcelona,217,['8e3a5e84-3d0c-4601-b24d-ec0273e10beb'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:39:25.051,Ball Receipt*,,2014/2015
