50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.316831,,,,,,,,,,,,,,96107b2f-dae6-46c7-812e-9a0b33445aa2,17,,"[33.5, 20.2]",69224,0,,,,,-0.7716249,,Left Foot,,,"[51.9, 2.3]",,Ground Pass,,25.67041,,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,['a42b537d-3fd8-4385-80a0-bd6534c27b9a'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.085,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.313949,,,,,,,,,,,,,,7222b188-489d-4c03-a026-0b45a2ae7d5f,20,,"[53.0, 3.4]",69224,0,,,,,0.035859063,,Left Foot,,,"[75.3, 4.2]",,Ground Pass,,22.314344,,,,Bojan Krkíc Pérez,4913.0,,,,,,,1,From Kick Off,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,2,Barcelona,217,['921b2195-64e5-4d26-a29f-c8258813f2b5'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.925,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,0.80224,,,,,,,,,,,,,,0831ac8f-8d7e-464b-8d85-f32922ac78ce,26,,"[53.1, 77.3]",69224,0,,,,,-1.6988053,,Left Foot,,,"[51.8, 67.2]",,Ground Pass,,10.18332,,,,David Albelda Aliqués,20128.0,,,,,,Recovery,1,Regular Play,Pablo Hernández Domínguez,4711.0,Right Wing,3,Valencia,207,['c126828c-60ea-48d0-9c4d-6a700b5b7d77'],16,,,,,,,,,,,,,,,,,,Valencia,207,00:00:16.741,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,0.450836,,,,,,,,,,,,,,751798d2-e232-4b26-9eb1-1513f78f25b8,29,,"[51.7, 68.5]",69224,0,,,,,2.1093037,,Right Foot,,,"[47.1, 76.2]",,Ground Pass,,8.969393,,,,Luís Miguel Brito Garcia Monteiro,20070.0,,,,,,,1,Regular Play,David Albelda Aliqués,20128.0,Left Center Midfield,3,Valencia,207,['2a14ada3-8564-4a29-a156-af971d105d05'],17,,,,,,,,,,,,,,,,,,Valencia,207,00:00:17.581,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,0.870592,,,,,,,,,,,,,,8c019b7d-a4e1-4223-ae6c-633127a3da3c,32,,"[47.1, 76.2]",69224,0,,,,,0.25800723,,Right Foot,,,"[54.3, 78.1]",,Ground Pass,,7.4464755,,,,Pablo Hernández Domínguez,4711.0,,,,,,,1,Regular Play,Luís Miguel Brito Garcia Monteiro,20070.0,Right Back,3,Valencia,207,['199f1744-004c-4c6f-8252-2bcbd9c1c1cf'],18,,,,,,,,,,,,,,,,,,Valencia,207,00:00:18.638,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.606767,,,,,,,,,,,,,,2249ce80-0d23-4d9d-93f7-573ecd4a1bc5,35,,"[54.3, 78.1]",69224,0,,,,,-2.4247146,,Right Foot,,,"[32.5, 59.1]",,Ground Pass,,28.917814,,,,Hedwiges Maduro,26396.0,,,,,,,1,Regular Play,Pablo Hernández Domínguez,4711.0,Right Wing,3,Valencia,207,['774a223d-b950-49a3-82d1-473b05532349'],19,,,,,,,,,,,,,,,,,,Valencia,207,00:00:19.549,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,2.758769,,,,,,,,,,,,,,772b1763-0a38-449b-81a3-fa16b097f5c0,38,,"[32.8, 57.3]",69224,0,,,,,-2.0344439,,Right Foot,,,"[17.8, 27.3]",,Ground Pass,,33.54102,,,,Ángel Dealbert Ibáñez,26645.0,,,,,,,1,Regular Play,Hedwiges Maduro,26396.0,Right Center Back,3,Valencia,207,['5b7c4f08-f4fe-4eeb-9bd9-a695df8d287b'],22,,,,,,,,,,,,,,,,,,Valencia,207,00:00:22.101,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.169132,,,,,,,,,,,,,,bcc7f5a3-1fd2-4636-8ba2-e8d2416e54c2,41,,"[30.5, 8.5]",69224,0,,,,,-0.2104302,,Right Foot,,,"[51.1, 4.1]",,Ground Pass,,21.064663,,,,Bruno Saltor Grau,3095.0,,,,,,,1,Regular Play,Ángel Dealbert Ibáñez,26645.0,Left Center Back,3,Valencia,207,['6de00e92-84de-4f3d-9305-75c17b766333'],28,,,,,,,,,,,,,,,,,,Valencia,207,00:00:28.280,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,2.599784,,,,,,,,,,,,,,67f129f5-cbc8-4598-8f3a-ed0039b4de9d,45,,"[47.1, 1.8]",69224,0,,,,,2.287338,,Right Foot,,,"[28.2, 23.5]",,Low Pass,,28.776726,,,,David Albelda Aliqués,20128.0,,,,,,,1,Regular Play,Bruno Saltor Grau,3095.0,Left Back,3,Valencia,207,"['1bcc761a-b710-4e77-9db9-8adcb8bfb546', 'aba05df2-551c-43e3-b724-47e416527376']",29,,,,,,,,,,,,,,,,,,Valencia,207,00:00:29.529,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,2.111437,,,,,,,,,,,,,,b98cd82d-9ea9-4303-aff2-9a3af17a6af9,49,,"[27.9, 24.7]",69224,0,,,,,2.6026907,,Right Foot,,,"[8.5, 36.3]",,Ground Pass,,22.60354,,,,César Sánchez Domínguez,25917.0,,,,,,,1,Regular Play,David Albelda Aliqués,20128.0,Left Center Midfield,3,Valencia,207,"['65b61f76-367f-4449-87dd-372a66c0a810', 'e95f514e-ed1d-4e23-8709-b4992fc1daa9']",32,,,,,,,,,,,,,,,,,,Valencia,207,00:00:32.536,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,3.376161,,,,,,,,,,,,,,0a8c9e76-96b0-4150-b43c-6d1d91658f44,52,,"[7.8, 44.3]",69224,0,,,,,0.74663645,,Right Foot,,,"[45.3, 79.0]",,High Pass,,51.091488,,Out,,,,,,,,,,1,Regular Play,César Sánchez Domínguez,25917.0,Goalkeeper,3,Valencia,207,,37,,,,,,,,,,,,,,,,,,Valencia,207,00:00:37.060,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.689035,,,,,,,,,,,,,,3a7191c8-c22f-4c6c-a22b-878ec1c967db,53,,"[82.1, 1.0]",69224,0,,,,,0.50449026,,,,,"[98.4, 10.0]",,High Pass,,18.619614,,Incomplete,,Bojan Krkíc Pérez,4913.0,,,,,,Throw-in,1,From Throw In,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,4,Barcelona,217,"['51c273a3-f868-4c57-a7b8-57555dddd7e8', 'ff074562-e67c-4bbf-996c-a94cb73748d3']",47,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.256,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.384713,,,,,,,,,,,,,,6f019f54-6813-4150-8ffa-a4c0916fdcb3,59,,"[37.1, 75.0]",69224,0,,,,,0.04542328,,Right Foot,,,"[50.3, 75.6]",,High Pass,,13.21363,,,,David Josué Jiménez Silva,3064.0,,,,,,,1,From Throw In,Luís Miguel Brito Garcia Monteiro,20070.0,Right Back,4,Barcelona,217,"['b4d5d0a7-3b4b-45ef-8349-3bc93f429a93', 'fb344751-27d2-4df0-a343-211559c4401c']",50,,,,,,,,,,,,,,,,,,Valencia,207,00:00:50.758,Pass,True,2009/2010
