ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.148118,,,,,,,,,,,,c80a56a0-941f-411a-a48d-d715424e61b8,1295,,"[103.6, 58.2]",3773457,26,,,,,-2.7934165,,Right Foot,,,,"[90.1, 53.3]",,Ground Pass,,14.361754,,,Moriba Kourouma Kourouma,39073.0,,,,,,1,Regular Play,Ousmane Dembélé,5477.0,Right Wing Back,54,Barcelona,217,['67ce2388-8948-4fe6-bc59-0da6ac8bb776'],45,,,,,,,,,,,,,,,,,,Barcelona,217,00:26:45.997,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.954044,,,,,,,,,,,,e72fe4d3-40de-4b9c-a441-74d06c706038,1298,,"[90.1, 53.3]",3773457,26,,,,,-1.9629151,,Right Foot,,,,"[84.6, 40.0]",,Ground Pass,,14.392359,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Moriba Kourouma Kourouma,39073.0,Right Center Midfield,54,Barcelona,217,['876ac721-2af5-4a99-9bed-7b1f7d371a3c'],48,,,,,,,,,,,,,,,,,,Barcelona,217,00:26:48.857,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.965054,,,,,,,,,,,,5f8b1663-5068-4e06-8244-82735a205938,1301,,"[84.6, 40.0]",3773457,26,,,,,-3.071532,,Left Foot,,,,"[73.2, 39.2]",,Ground Pass,,11.428036,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,54,Barcelona,217,['7a21787c-5a00-4eb1-a165-7bafa8ca7a18'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:26:50.239,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.16735,,,,,,,,,,,,19135004-17b7-42c3-81a7-5de43a2e0ebc,1303,,"[73.2, 39.2]",3773457,26,,,,,-1.0303768,,Right Foot,,,,"[84.6, 20.2]",,Ground Pass,,22.157618,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Center Back,54,Barcelona,217,['35a8606a-98d1-4403-84c3-d95c4cd6288b'],51,,,,,,,,,,,,,,,,,,Barcelona,217,00:26:51.204,Pass,,2020/2021
,,,,,,,,,,,,,,,,,2.176906,,,,,,,,,,,,9f468b8b-e8c2-47fa-b3f4-6d6f3ee419e4,1306,,"[89.3, 19.7]",3773457,26,,,,,-0.6538545,,Right Foot,,,,"[107.7, 5.6]",,Ground Pass,,23.181242,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,54,Barcelona,217,['b1a34db9-5133-4d8b-b1e5-6683df07d4e4'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:26:53.753,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.342227,,,,,,,,,,,,cdef98ba-9847-4aca-b743-7f1d63b1e6f3,1309,,"[110.7, 5.3]",3773457,26,,,,,1.6118691,,Left Foot,,,,"[110.4, 12.6]",,Ground Pass,,7.306162,,Incomplete,Pedro González López,30486.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Wing Back,54,Barcelona,217,"['821433e9-7e20-4c4f-bb8a-8945af2e1317', 'c30efef3-b704-423f-b8ca-f39394058f42']",56,,,,,,,,,,,,,,,,,,Barcelona,217,00:26:56.524,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.660286,,,,,,,,,,,,446801fd-4c43-4dda-9e67-28ea1a82caa6,1314,,"[9.7, 72.9]",3773457,26,,,,,0.14569932,,Right Foot,,,,"[28.1, 75.6]",,High Pass,,18.597042,,Incomplete,,,,,,,,1,Regular Play,Kevin Vázquez Comesaña,22029.0,Right Back,54,Barcelona,217,"['37b1e0b0-def3-4973-9039-afaf6760d050', 'f17a1d22-3019-4c80-851a-18aed61dbbd1']",59,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:26:59.416,Pass,True,2020/2021
,,,,,,,,,,,,,,,,,1.060269,,,,,,,,,,,,aba621cb-10f6-4b96-a71e-0b6fb7742631,1317,,"[92.0, 4.5]",3773457,27,,,,,1.9743313,,Left Foot,,,,"[88.2, 13.4]",,Ground Pass,,9.677293,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,54,Barcelona,217,['611e2cf7-132f-49ce-9d38-08cc8dc3331a'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:27:02.085,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.917132,,,,,,,,,,,,a7ce348a-cf79-4a60-b421-b68c906df58b,1320,,"[87.4, 19.7]",3773457,27,,,,,0.8079816,cb2293ec-4c84-438e-b0c3-ba7be743d402,Right Foot,,,,"[111.2, 44.6]",True,High Pass,,34.444885,,,Lionel Andrés Messi Cuccittini,5503.0,,,Through Ball,True,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,54,Barcelona,217,['f65b1d29-d361-4013-a082-3a50d0c05e9e'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:27:04.278,Pass,,2020/2021
,,,,,,,,,,,,,,,,,2.668483,,,,,,,,,,,,02c40373-fdd0-41d1-ad52-d29a5552f56b,1324,,"[61.0, 40.1]",3773457,28,,True,,,3.1145723,,Right Foot,,,,"[42.5, 40.6]",,Ground Pass,,18.506756,,,Francisco José Beltrán Peinado,11389.0,,,,,Kick Off,1,From Kick Off,Santiago Mina Lorenzo,6594.0,Left Center Forward,55,Celta Vigo,209,['be841928-eaa8-4dc4-bc74-bc85ec91d7a0'],16,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:28:16.612,Pass,,2020/2021
