bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.876139,,,,,,,,,,,,,,,fd6182e9-9769-486e-b439-7d882d1d6068,2016,,,"[55.8, 49.5]",69265,41,,,,,1.5605927,,Right Foot,,,"[55.9, 59.3]",Ground Pass,,9.80051,,,,Daniel Alves da Silva,4324.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,78,Barcelona,217,['fbfd55e6-b33b-4e5c-8808-d17d1e496777'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:41:47.223,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.8461,,,,,,,,,,,,,,,a16c87ee-8ea8-4163-9329-80fd7afb199e,2018,,,"[55.9, 59.3]",69265,41,,,,,-0.13477129,,Right Foot,,,"[67.7, 57.7]",Ground Pass,,11.907981,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Center Back,78,Barcelona,217,['305f24af-c4c3-48ed-a2ef-25d78a0eaaf0'],48,,,,,,,,,,,,,,,,,Barcelona,217,00:41:48.099,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.3188,,,,,,,,,,,,,,,71feec48-7641-4abc-bf1d-116198c68b97,2021,,,"[67.5, 57.7]",69265,41,,,,,-1.735945,,Left Foot,,,"[65.9, 48.1]",Low Pass,,9.73242,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,78,Barcelona,217,['eccd0c0f-bfea-49a8-8c5f-fa7e186db0ec'],48,,,,,,,,,,,,,,,,,Barcelona,217,00:41:48.964,Pass,,2011/2012
,,,,,,,,,,,,,,,,2.751093,,,,,,,,,,,,,,,172e3cac-def0-4037-bb4a-e0036cb11f62,2027,,,"[65.4, 20.9]",69265,41,,,,,-0.33945608,,Right Foot,,,"[97.4, 9.6]",Ground Pass,,33.936558,,,,Miguel Ángel De las Cuevas Barberá,23991.0,,,,,,,1,Regular Play,André de Castro Pereira,26703.0,Center Attacking Midfield,78,Barcelona,217,['41d78a11-a986-454b-a7bb-ee0036f30d6e'],54,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:41:54.278,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.1769,,,,,,,,,,,,,,,ae51f11d-52e4-4203-9562-917d8f367a31,2034,,,"[10.7, 46.7]",69265,42,,True,,,0.04823841,,Head,,,"[39.7, 48.1]",Low Pass,,29.033773,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,,1,From Keeper,Víctor Valdés Arribas,20176.0,Goalkeeper,79,Barcelona,217,['3c0170ef-dcee-41ce-8f76-6f4ca1f5cadf'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:42:13.872,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.803614,,,,,,,,,,,,,,,98bbf2d3-1aa7-46f3-bc51-980187d21e19,2036,,,"[70.5, 15.8]",69265,42,,,,,2.1979542,,Right Foot,,,"[62.6, 26.7]",Ground Pass,,13.461798,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,1,From Keeper,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,79,Barcelona,217,['f186852c-1534-4006-99db-51c4738c289f'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:42:17.055,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.447064,,,,,,,,,,,,,,,1037834f-08c9-4da5-88a7-8240dc8030db,2039,,,"[63.4, 28.5]",69265,42,,,,,1.2517267,,Right Foot,,,"[67.1, 39.7]",High Pass,,11.795338,,Incomplete,,Adriano Correia Claro,22102.0,,,,,,,1,From Keeper,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,79,Barcelona,217,"['2b60478e-6ba9-4410-a73a-fab8138b5450', 'dde08b44-eca2-4737-984a-90f56d814005']",19,,,,,,,,,,,,,,,,,Barcelona,217,00:42:19.485,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.1604,,,,,,,,,,,,,,,ce13248e-ea06-49f5-87d4-db2e0195f846,2042,,,"[54.6, 51.8]",69265,42,,,,,0.9676434,,Left Foot,,,"[68.1, 71.4]",Ground Pass,,23.79937,,,,Xavier Hernández Creus,20131.0,,,,,,Recovery,1,From Keeper,Daniel Alves da Silva,4324.0,Right Center Back,79,Barcelona,217,['f08ae211-4899-40e5-9f9b-e22fc8edc125'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:42:23.268,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.907612,,,,,,,,,,,,,,,2e4399bc-1225-4d68-bbe2-c4ce7de5a928,2045,,,"[71.0, 73.0]",69265,42,,,,,0.5028432,,Right Foot,,,"[81.0, 78.5]",Ground Pass,,11.412712,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Keeper,Xavier Hernández Creus,20131.0,Right Center Midfield,79,Barcelona,217,['39d4e983-be49-4bf0-971b-704f1f1c1b6c'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:42:26.124,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.513373,,,,,,,,,,,,,,,9be6a9e5-4f2f-4412-93b7-45a2b54da541,2047,,,"[80.3, 78.3]",69265,42,,,,,-2.718282,,Right Foot,,,"[71.2, 74.2]",Ground Pass,,9.980982,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Keeper,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,79,Barcelona,217,['66749780-14e1-4335-9542-480e3f3a86b9'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:42:27.032,Pass,,2011/2012
