bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,baadb917-6cb7-491a-8e74-db60c7473112,1,,,,70307,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 26005, 'name': 'José Manuel Pinto Colorado'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f9c5f0b8-1982-4799-b7c6-046d12e56dd7,2,,,,70307,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6730, 'name': 'Rubén Iván Martínez Andrade'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 26801, 'name': 'Jordi Figueras Montel'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 6709, 'name': 'Anaitz Arbilla Zabala'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 6557, 'name': 'Adrián González Morales'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 26694, 'name': 'José Carlos Fernández Vázquez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 26646, 'name': 'Alejandro Damián Domínguez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 26797, 'name': 'Francisco Medina Luna'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 27121, 'name': 'Andrija Delibašić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d27098c8-2281-48a8-8154-f1f0a7a2aab4,3,,,,70307,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d99b9abc-1c02-4ca9-8ba6-806b1e52f36b'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d99b9abc-1c02-4ca9-8ba6-806b1e52f36b,4,,,,70307,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d27098c8-2281-48a8-8154-f1f0a7a2aab4'],0,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dc56acf0-dfcb-488e-9d98-11b4ba0e3e83,2168,,,,70307,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,142,Barcelona,217,['a252d4d5-1743-4ab9-9aec-fe58785a54fe'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a252d4d5-1743-4ab9-9aec-fe58785a54fe,2169,,,,70307,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,142,Barcelona,217,['dc56acf0-dfcb-488e-9d98-11b4ba0e3e83'],0,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,0.305518,,,,,,,,,,,,,c7e04c89-6ccc-48cc-ba67-c411cb24bb26,5,,,"[61.0, 41.0]",70307,0,,True,,,1.9513026,,Left Foot,,,,"[60.6, 42.0]",,Ground Pass,,1.0770329,,,Andrija Delibašić,27121.0,,,,,,Kick Off,1,From Kick Off,Alejandro Damián Domínguez,26646.0,Center Attacking Midfield,2,Rayo Vallecano,360,['a3c5103d-2865-4ee3-acfb-b345a492dd35'],0,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.619,Pass,,2012/2013
,,,,,,,,,,,,,,,0.943218,,,,,,,,,,,,,e03f3239-8a9b-4759-9b4c-569d8bf88e21,7,,,"[61.1, 41.0]",70307,0,,,,,-3.0928507,,Right Foot,,,,"[52.9, 40.6]",,Ground Pass,,8.20975,,,Roberto Trashorras Gayoso,26848.0,,,,,,,1,From Kick Off,Andrija Delibašić,27121.0,Center Forward,2,Rayo Vallecano,360,['a65b0b5a-6b11-4325-8b2a-99c383d7e04f'],0,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.949,Pass,,2012/2013
,,,,,,,,,,,,,,,1.496627,,,,,,,,,,,,,522ce472-568f-4bb8-b89d-0fd1d8564489,10,,,"[53.2, 45.4]",70307,0,,,,,1.5520486,,Right Foot,,,,"[53.8, 77.4]",,Ground Pass,,32.005623,,,Roberto Román Triguero,6914.0,,,,,,,1,From Kick Off,Roberto Trashorras Gayoso,26848.0,Left Center Midfield,2,Rayo Vallecano,360,['ec431b0f-645b-4669-8e25-ff5190b126ed'],3,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:03.012,Pass,,2012/2013
,,,,,,,,,,,,,,,2.853178,,,,,,,,,,,,,614e1c90-f865-4fa7-9f4f-f8d31797648b,14,,,"[60.9, 78.1]",70307,0,,,,,-0.023144014,,Right Foot,,,,"[104.1, 77.1]",,High Pass,,43.21157,Incomplete,,Andrija Delibašić,27121.0,,,,,,,1,From Kick Off,Roberto Román Triguero,6914.0,Right Back,2,Rayo Vallecano,360,"['3b6fd2a4-84d9-44b9-a002-19af9d28ccb1', '3fbc0e0a-7e39-4659-945e-8a98436160af', '711b0ff3-1502-479e-a493-88b01d89997a']",6,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:06.983,Pass,True,2012/2013
