bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,5d2c5b1e-70a5-4a29-94e5-e9509aaaf202,17,,"[32.0, 12.0]",9736,0,,,,0.8519663,,Right Foot,,,"[39.0, 20.0]",,Ground Pass,,10.630146,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['4e55a321-f2d7-4bf3-9202-72fa0460f5c0'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.080,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,4318b556-6984-40ee-aecc-8e1b132fce1c,22,,"[39.0, 21.0]",9736,0,,,,-2.634494,,Right Foot,,,"[30.0, 16.0]",,Ground Pass,,10.29563,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Center Midfield,2,Barcelona,217,"['2182bff8-f433-4b1c-a0b2-f22b38583a7f', 'a9567cbe-e188-4151-8250-ec9b09726bb7']",10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.040,Pass,True,2017/2018
,,,,,,,,,,,,,,,,2.467,,,,,,,,,,,,,,0c3dea04-1dc6-4f13-a29a-b4ac24e7dda6,26,,"[27.0, 3.0]",9736,0,,,,0.1269728,,Left Foot,,,"[74.0, 9.0]",,High Pass,,47.38143,,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,"['12d0ee2e-0f0d-4af1-87ea-0cbaec630018', '5a93d328-2daa-47bc-a054-cec50f37773b', 'de453f32-a1b9-4c75-8cf9-f3db5b39796a']",12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.640,Pass,True,2017/2018
,,,,,,,,,,,,,,,,3.44,,,,,,,,,,,,,,12d0ee2e-0f0d-4af1-87ea-0cbaec630018,28,,"[47.0, 72.0]",9736,0,,,,-0.1798535,,Right Foot,,,"[80.0, 66.0]",,High Pass,,33.54102,,,,Daniel Carvajal Ramos,5721.0,,,,,,Recovery,1,From Kick Off,Raphaël Varane,5485.0,Right Center Back,2,Barcelona,217,"['0c3dea04-1dc6-4f13-a29a-b4ac24e7dda6', 'fba36a48-0d91-4a0f-8c5c-41fc214fcdf6']",15,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:15.107,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.853,,,,,,,,,,,,,,05c8c022-2677-4194-842b-234785d9d58e,30,,"[84.0, 60.0]",9736,0,,,True,-0.98279375,,,,,"[88.0, 54.0]",,High Pass,,7.2111025,,Incomplete,,Karim Benzema,19677.0,,,,,,,1,From Kick Off,Daniel Carvajal Ramos,5721.0,Right Back,2,Barcelona,217,"['93883bf4-6099-436b-b5be-85ef71d9dd71', '96e908b1-0ee6-4d72-ac4b-717fcaf3a22d', 'e8bcff82-efe5-4be8-8a64-9a768d43273a']",18,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:18.587,Pass,True,2017/2018
,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,e8bcff82-efe5-4be8-8a64-9a768d43273a,33,,"[33.0, 27.0]",9736,0,,,,-1.8568478,,Left Foot,,,"[28.0, 10.0]",,Low Pass,,17.720045,,,,Jordi Alba Ramos,5211.0,,,,,,Recovery,1,From Kick Off,Ivan Rakitić,5470.0,Left Center Midfield,2,Barcelona,217,"['05c8c022-2677-4194-842b-234785d9d58e', 'eb24fa8d-7041-46ac-994d-686ff9fad022']",20,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.440,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.719,,,,,,,,,,,,,,b4647e0c-145f-4fda-bc19-56e216260722,36,,"[26.0, 11.0]",9736,0,,,,2.2655346,,Left Foot,,,"[21.0, 17.0]",,Ground Pass,,7.81025,,,,Thomas Vermaelen,6332.0,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['5e2aff7d-3970-4564-9ad4-85d4c1d70a77'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.080,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.76,,,,,,,,,,,,,,79da2e5c-57b8-4390-b8c4-eba26ae29cd0,40,,"[18.0, 18.0]",9736,0,,,,2.016902,,Left Foot,,,"[7.0, 41.0]",,Ground Pass,,25.495098,,,,Marc-André ter Stegen,20055.0,,,,,,,1,From Kick Off,Thomas Vermaelen,6332.0,Left Center Back,2,Barcelona,217,"['15ddca2d-5f09-4cde-a68a-7fb86eed864a', 'a9410fd9-9589-4e4e-86ee-9426fae5a0b4']",26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.760,Pass,True,2017/2018
,,,,,,,,,,,,,,,,2.746,,,,,,,,,,,,,,7ec8f2f8-9d26-446c-ae64-20b5b30d6312,43,,"[17.0, 47.0]",9736,0,,,,0.5191461,,Right Foot,,,"[66.0, 75.0]",,High Pass,,56.435802,,,,José Paulo Bezzera Maciel Júnior,5542.0,,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,['70c092e8-2a9e-4f18-a5cb-cec4370fc314'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.000,Pass,,2017/2018
,,,,,,,,,,,,,,,,3.74,,,,,,,,,,,,,,b0508f90-23c6-4ab2-a51f-1b3e102dd8f9,46,,"[79.0, 71.0]",9736,0,,,True,-0.4636476,,,,,"[91.0, 65.0]",,High Pass,,13.416408,,Incomplete,,,,,,,,,,1,From Kick Off,José Paulo Bezzera Maciel Júnior,5542.0,Right Midfield,2,Barcelona,217,"['7ecdc1c2-1e5d-474f-b6e4-264274c044d3', '82520d62-91da-4c92-93a5-de3e96e4fab7']",39,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.807,Pass,True,2017/2018
