bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.3125,,,,,,,,,,,,,b6b27152-5e72-4157-a67b-aa2acd51c852,17,,"[49.1, 52.9]",267533,0,,,,0.48995733,,Right Foot,,,,"[58.1, 57.7]",,Ground Pass,,10.2,,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['58d15305-7c18-4f54-b9e2-6da5aecdec6f'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.219,Pass,,2015/2016
,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,21ca590a-4626-49a2-b015-81507028366b,20,,"[58.3, 59.8]",267533,0,,,,-2.7972586,,Right Foot,,,,"[43.8, 54.6]",,Ground Pass,,15.404221,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['c4988461-ab37-4684-9206-5034e8cdd6ec'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.572,Pass,,2015/2016
,,,,,,,,,,,,,,,0.698082,,,,,,,,,,,,,f6e65ca2-ded4-4c1e-9330-e9b60ee94f73,23,,"[55.2, 54.8]",267533,0,,,,-0.45634848,,Right Foot,,,,"[82.7, 41.3]",,High Pass,,30.634947,,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['f124dc15-3beb-411c-89ef-4975dbef302a'],18,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.868,Pass,,2015/2016
,,,,,,,,,,,,,,,1.012092,,,,,,,,,,,,,f1d2ea3d-f73a-4469-853a-1d6e2fadb389,27,,"[82.1, 43.2]",267533,0,,,,2.0344439,,Right Foot,,,,"[76.0, 55.4]",,Low Pass,,13.640015,,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Right Wing,2,Barcelona,217,"['15c2394f-ab56-4148-863b-dd87381dda13', '68a1e5e2-904a-4d15-90bc-6bcc70d7b896']",20,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.792,Pass,True,2015/2016
,,,,,,,,,,,,,,,1.2162,,,,,,,,,,,,,0c7cc241-8f1f-465e-bed4-389fb30d60c2,30,,"[70.9, 54.4]",267533,0,,,,-2.5688756,,Right Foot,,,,"[52.6, 42.6]",,Ground Pass,,21.774527,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['27b43849-74b3-457b-8a74-6f3b05c8c209'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.088,Pass,,2015/2016
,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,a8416bc9-e20e-4450-9e7b-ddfd30e9f5b0,33,,"[54.1, 38.2]",267533,0,,,,-1.5126609,,Right Foot,,,,"[55.2, 19.3]",,Ground Pass,,18.931984,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['67583657-dc59-4bc1-94cb-8bdd0394c59e'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.515,Pass,,2015/2016
,,,,,,,,,,,,,,,1.432443,,,,,,,,,,,,,b85c886a-8619-4d31-af05-b9d736579ab3,36,,"[59.6, 15.9]",267533,0,,,,1.9277083,,Left Foot,,,,"[55.2, 27.7]",,Ground Pass,,12.593649,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['162add96-dedd-424d-96d2-05e59b72da42'],32,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.374,Pass,,2015/2016
,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,4bdc5629-9559-44a2-8406-e1ee5f7b81ac,39,,"[56.6, 32.5]",267533,0,,,,1.6126567,,Left Foot,,,,"[55.8, 51.6]",,Ground Pass,,19.116747,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['3443bdad-bd5d-424f-942e-e50644d30486'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.010,Pass,,2015/2016
,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,ace63bee-ff0e-4d5c-983f-827ee08d52d3,42,,"[58.1, 51.8]",267533,0,,,,-1.8568478,,Right Foot,,,,"[53.1, 34.8]",,Ground Pass,,17.720045,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['44f11c2c-6f7a-4616-8ae0-7f28ce23be3c'],40,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.024,Pass,,2015/2016
,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,d69b3bd3-fc90-436a-bd6b-270108cb3517,45,,"[57.1, 31.2]",267533,0,,,,-1.677532,,Right Foot,,,,"[55.6, 17.2]",,Ground Pass,,14.080128,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['4691bfe3-6e80-4d02-9a74-5828e6372dfc'],42,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.764,Pass,,2015/2016
,,,,,,,,,,,,,,,0.877911,,,,,,,,,,,,,0d58906c-71db-43c1-a6a4-76763306f1f9,48,,"[56.8, 14.9]",267533,0,,,,-0.82810724,,Left Foot,,,,"[68.0, 2.7]",,Ground Pass,,16.561401,,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['f478a490-2192-4089-b7ae-a01ed8e83e26'],44,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.712,Pass,,2015/2016
,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,55ea221e-8965-4b91-b5c3-10c5dc2eefd6,51,,"[68.0, 2.7]",267533,0,,,,2.5973122,,Left Foot,,,,"[56.6, 9.6]",,Ground Pass,,13.32554,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,['d0b7c5e9-25f1-40ba-972b-29042307019d'],45,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.704,Pass,,2015/2016
,,,,,,,,,,,,,,,2.3596,,,,,,,,,,,,,0b1d3939-f161-4c9b-afbc-42b715bc6bc8,54,,"[57.7, 14.2]",267533,0,,,,1.7155566,,Left Foot,,,,"[52.0, 53.3]",,Ground Pass,,39.51329,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['c432048f-449c-495a-ab31-7d8e76a837c5'],48,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.340,Pass,,2015/2016
,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,40ff2390-c385-4f71-bbd1-bf65b97ad484,57,,"[55.4, 53.9]",267533,0,,,,-0.4148143,,Right Foot,,,,"[66.3, 49.1]",,Ground Pass,,11.91008,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['229a2489-98ae-44a5-9f0b-68a4469ce960'],52,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.247,Pass,,2015/2016
,,,,,,,,,,,,,,,1.5994,,,,,,,,,,,,,fa8fe46d-679d-4d9a-9d93-34b4a5b5d483,60,,"[66.1, 48.9]",267533,0,,,,2.5967288,,Left Foot,,,,"[52.9, 56.9]",,Ground Pass,,15.435025,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['d35d26b2-fdb7-41db-9ae6-2cc841f664bb'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.198,Pass,,2015/2016
,,,,,,,,,,,,,,,1.965962,,,,,,,,,,,,,a95b2ec4-aef9-442a-b48a-d3b3c2b30345,63,,"[52.9, 55.6]",267533,0,,,,-1.766377,,Right Foot,,,,"[48.7, 34.4]",,Ground Pass,,21.612034,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['563236ca-902e-48c1-8720-100d00e06caa'],55,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.353,Pass,,2015/2016
,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,cf244205-c93c-42ce-b291-ee0de81c7769,66,,"[51.8, 35.9]",267533,0,,,,-0.6449674,,Right Foot,,,,"[62.7, 27.7]",,Ground Pass,,13.640015,,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['c46a82e6-587e-4e6e-89ff-011aaa60ade3'],58,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.259,Pass,,2015/2016
,,,,,,,,,,,,,,,1.384834,,,,,,,,,,,,,e3706faf-8882-4442-8267-56124e535dc9,69,,"[58.9, 23.9]",267533,1,,,,-2.429592,,Right Foot,,,,"[51.6, 17.6]",,Ground Pass,,9.642613,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['92da5ca3-6550-4424-9546-2e299eb055ac'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.023,Pass,,2015/2016
,,,,,,,,,,,,,,,1.332518,,,,,,,,,,,,,627ca4ac-9e7f-4080-bac5-28eee082a816,72,,"[52.4, 14.4]",267533,1,,,,0.8288491,,Left Foot,,,,"[63.4, 26.4]",,Ground Pass,,16.27882,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['ec474a01-8318-4793-a080-1efd3f3a2135'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.816,Pass,,2015/2016
,,,,,,,,,,,,,,,2.542122,,,,,,,,,,,,,86336958-45d8-4329-9b16-15571e5e7c04,75,,"[63.4, 25.2]",267533,1,,,,2.7850218,,Right Foot,,,,"[28.5, 38.2]",,High Pass,,37.242584,,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['a27e4bb0-8bc9-424f-bea0-2ef91e63b587'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.229,Pass,,2015/2016
,,,,,,,,,,,,,,,1.0279,,,,,,,,,,,,,1bb76141-c9ac-4225-b86e-1ab18a365e1d,78,,"[27.8, 36.3]",267533,1,,,,-0.56137455,,Left Foot,,,,"[37.5, 30.2]",,Ground Pass,,11.458621,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,2,Barcelona,217,['8b9da056-af51-455f-8841-b2f52ae990dd'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.171,Pass,,2015/2016
,,,,,,,,,,,,,,,1.256371,,,,,,,,,,,,,cb648c63-e7d5-4e52-8280-7afc57765080,81,,"[37.5, 30.2]",267533,1,,,,1.3481354,,Right Foot,,,,"[42.3, 51.4]",,Ground Pass,,21.736605,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['96fa61bb-a9ff-4793-b677-c60280ad78f4'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.491,Pass,,2015/2016
,,,,,,,,,,,,,,,0.8076,,,,,,,,,,,,,4b54148d-fb3e-4daa-8a0b-5468e6445741,84,,"[49.5, 54.2]",267533,1,,,,-0.18717694,,Right Foot,,,,"[62.7, 51.7]",,Ground Pass,,13.434657,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['9b976f1e-2f56-4d22-b0f8-b0c7f365a121'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.645,Pass,,2015/2016
,,,,,,,,,,,,,,,2.0638,,,,,,,,,,,,,02b4a5bc-994c-48d5-a849-4a057844fadd,87,,"[62.4, 51.4]",267533,1,,,,-1.1171151,,Left Foot,,,,"[68.3, 39.3]",,Ground Pass,,13.461798,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['04492cfa-01a5-44b0-810c-710688eac75a'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.490,Pass,,2015/2016
,,,,,,,,,,,,,,,1.680952,,,,,,,,,,,,,d114ef70-dd34-4846-b144-dfdc369155cb,96,,"[50.0, 41.4]",267533,2,True,,,-1.3594776,,Right Foot,,,,"[56.5, 11.1]",,Ground Pass,,30.989353,,,,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,Free Kick,1,From Free Kick,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,3,Real Madrid,220,['a7604357-e030-47e5-8019-caaeba9d4929'],15,,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:15.599,Pass,,2015/2016
