bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,2.560979,,,,,,,,,,,,,6d13c28e-dd83-4fa2-873d-a9caa7d3ceaf,17,,"[32.5, 22.7]",69289,0,,,,,1.385165,,Left Foot,,,,"[40.5, 65.3]",,Ground Pass,,43.344666,,,,Gerard Piqué Bernabéu,5213.0,,True,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['0c8016b5-0a65-43ed-a536-cbb259d77cdf'],10,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.537,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,1.759044,,,,,,,,,,,,,d20eb30c-b120-4729-8fc3-f24d1c80bd40,20,,"[39.9, 64.8]",69289,0,,,,,-1.7414285,,Right Foot,,,,"[34.3, 32.3]",,Ground Pass,,32.97893,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['7d65df04-db82-4df8-8eba-4df639320eb5'],14,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.317,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,1.839789,,,,,,,,,,,,,7c701381-e69a-4875-ba3b-913d9265da85,23,,"[39.9, 40.7]",69289,0,,,,,1.0620666,,Right Foot,,,,"[57.3, 71.9]",,Ground Pass,,35.72394,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['8125c869-4d24-4b54-90da-5a63e0749d16'],18,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.720,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,1.576879,,,,,,,,,,,,,04eb997b-8ffa-4a80-a2dc-98163a85a9dd,30,,"[76.7, 74.5]",69289,0,,,,,-2.6204545,,Left Foot,,,,"[65.9, 68.3]",,Ground Pass,,12.453112,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['0fd641be-f5e9-4e32-b367-efc589f754c4'],25,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.586,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,1.626053,,,,,,,,,,,,,48461229-aaaa-4971-85c9-384f2a6b0363,33,,"[57.5, 67.9]",69289,0,,,,,-1.6542838,,Right Foot,,,,"[55.5, 44.0]",,Low Pass,,23.983536,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['7531ac95-f239-4dca-b26c-506956c6eef2'],29,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.582,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,1.160973,,,,,,,,,,,,,b35ec2a0-5a23-4d21-be57-c56d6cb59d7f,36,,"[68.9, 41.7]",69289,0,,,,,1.1717354,,Right Foot,,,,"[72.4, 50.0]",,Ground Pass,,9.007774,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['e184e792-a748-4d15-8e5b-5e3043a06691'],34,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.209,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,1.014922,,,,,,,,,,,,,1742720f-f06c-4386-aebd-604339f65c81,39,,"[71.8, 48.6]",69289,0,,,,,1.0156177,,Right Foot,,,,"[76.7, 56.5]",,Ground Pass,,9.296236,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['12b8c0c4-0544-4c70-abe6-0549dc2fda93'],36,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.881,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,1.563488,,,,,,,,,,,,,cbc87fde-06fb-44b0-a2b9-655ded4e7c52,42,,"[82.5, 55.7]",69289,0,,,,,0.2676796,,Left Foot,,,,"[106.2, 62.2]",,Ground Pass,,24.575191,,,,David Villa Sánchez,12737.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['5afa6151-e24e-4b63-995c-431158a43ad5'],39,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.139,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,1.9268,,,,,,,,,,,,,abf91d39-08d3-4b11-a88a-ea9954d0ecfd,45,,"[104.2, 62.2]",69289,0,,,,,-0.61958766,,Right Foot,,,,"[118.5, 52.0]",,Ground Pass,,17.565022,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,David Villa Sánchez,12737.0,Center Forward,2,Barcelona,217,['f2299372-7cc2-42d9-9569-4cb5b009e25d'],42,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.098,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,1.3943,,,,,,,,,,,,,297e5420-7613-4f66-87eb-3edd1ab36f98,49,,"[118.1, 52.9]",69289,0,,,,,-1.8681614,,Right Foot,True,,,"[112.4, 34.3]",,High Pass,,19.45379,,Incomplete,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,"['49c8de4d-8ca4-49ed-ae4f-1a5929add294', '87761061-36b5-4b44-8225-f4b657bf446e']",44,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.105,Pass,,2010/2011
