bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d0cd5861-053a-4b15-a7bf-fd4248e2da9d,1,,,,16317,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6698, 'name': 'Marko Dmitrović'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8555, 'name': 'Pablo Ezequiel De Blasis'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6708, 'name': 'Paulo André Rodrigues de Oliveira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6705, 'name': 'José Ángel Valdés Díaz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6701, 'name': 'Joan Jordán Moreno'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 17620, 'name': 'Marc Cucurella Saseta'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Eibar,322,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,619d49a7-6fea-401e-9539-2d3c9ce5f0ec,2,,,,16317,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 8652, 'name': 'Jasper Cillessen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3109, 'name': 'Malcom Filipe Silva de Oliveira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,06eeac02-ce0d-4f6d-aba9-e0dad6cdb486,3,,,,16317,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,['a2a1d3e8-775f-4425-8068-36838093eb49'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a2a1d3e8-775f-4425-8068-36838093eb49,4,,,,16317,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,['06eeac02-ce0d-4f6d-aba9-e0dad6cdb486'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7928bbb1-2946-439e-bfa9-6295aef6da38,1934,,,,16317,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,88,Barcelona,217,['d00c5a88-0aa9-4825-9774-1bc22a468370'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d00c5a88-0aa9-4825-9774-1bc22a468370,1935,,,,16317,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,88,Barcelona,217,['7928bbb1-2946-439e-bfa9-6295aef6da38'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,1.504342,,,,,,,,,,,,,fd00dd43-c7be-478d-bf66-d54e7efa1fbc,5,,,"[61.0, 41.0]",16317,0,,,,,-2.5431738,,Right Foot,,,"[39.0, 26.0]",,Ground Pass,,26.627054,,,,Iván Ramis Barrios,6778.0,,,,,Kick Off,1,From Kick Off,Charles Días Barbosa de Oliveira,6707.0,Left Center Forward,2,Eibar,322,['f66d70da-6a8f-4606-a1a5-cb1677392a31'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.672,Pass,,2018/2019
,,,,,,,,,,,,,,1.617114,,,,,,,,,,,,,091fb47e-ab03-4085-ab11-bc224d11a768,8,,,"[40.0, 26.0]",16317,0,,,,,-1.6262949,,Right Foot,,,"[39.0, 8.0]",,Ground Pass,,18.027756,,,,José Ángel Valdés Díaz,6705.0,,,,,,1,From Kick Off,Iván Ramis Barrios,6778.0,Left Center Back,2,Eibar,322,['2e61b8b6-080a-47f9-b6de-024d95f2cf75'],3,,,,,,,,,,,,,,,,,Eibar,322,00:00:03.063,Pass,,2018/2019
,,,,,,,,,,,,,,1.581225,,,,,,,,,,,,,b733d878-bfe0-4625-80ec-9df0dad32cde,11,,,"[42.0, 10.0]",16317,0,,,,,1.7771202,,Left Foot,,,"[33.0, 53.0]",,Low Pass,,43.931767,,,,Paulo André Rodrigues de Oliveira,6708.0,,True,,,,1,From Kick Off,José Ángel Valdés Díaz,6705.0,Left Back,2,Eibar,322,['7050246e-57e0-4fc9-a7f3-c473bc9ae1cc'],5,,,,,,,,,,,,,,,,,Eibar,322,00:00:05.442,Pass,,2018/2019
,,,,,,,,,,,,,,1.302,,,,,,,,,,,,,7a835285-b4ae-44d8-8564-6fb600a084ad,14,,,"[30.0, 59.0]",16317,0,,,,,1.217806,,Right Foot,,,"[37.0, 78.0]",,Ground Pass,,20.248457,,,,Pablo Ezequiel De Blasis,8555.0,,,,,,1,From Kick Off,Paulo André Rodrigues de Oliveira,6708.0,Right Center Back,2,Eibar,322,['13ad3bd1-4145-444e-a9d9-e7d14ea0b733'],8,,,,,,,,,,,,,,,,,Eibar,322,00:00:08.625,Pass,,2018/2019
