ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.095351,,,,,,,,,,,d2468a1a-09d0-4790-a69a-eebe981b7705,3302,,"[52.3, 20.5]",3773571,79,,,,1.9244995,,Left Foot,,,"[47.5, 33.5]",,Ground Pass,,13.85785,,,,Rubén Alcaraz Jiménez,11300.0,,,,,,,2,From Throw In,Enrique Pérez Muñoz,40881.0,Left Midfield,183,Real Valladolid,901,['b2d3b441-9e76-4135-a8d4-b6d7e1ba2922'],7,,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:34:07.845,Pass,,2020/2021
,,,,,,,,,,,,,,,1.594183,,,,,,,,,,,0a6c2be0-9322-45b3-a107-047b6a30103e,3304,,"[47.5, 33.0]",3773571,79,,,,-1.53322,,Right Foot,,,"[48.5, 6.4]",,Ground Pass,,26.61879,,,,José Ignacio Martínez García,11298.0,,,,,,,2,From Throw In,Rubén Alcaraz Jiménez,11300.0,Left Center Back,183,Real Valladolid,901,['05c0ca99-5852-4af6-8789-f2bffb95aeaf'],8,,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:34:08.940,Pass,,2020/2021
,,,,,,,,,,,,,,,1.243242,,,,,,,,,,,8c3d0df2-9867-438c-bd6b-10ce8ba5f1cd,3307,,"[49.8, 9.2]",3773571,79,,,,-0.31932926,,Left Foot,,,"[62.2, 5.1]",,Ground Pass,,13.060245,,,,Laureano Antonio Villa Suárez,11291.0,,,,,,,2,From Throw In,José Ignacio Martínez García,11298.0,Left Back,183,Real Valladolid,901,['641315c3-3270-4890-b898-48e338a1a51a'],11,,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:34:11.108,Pass,,2020/2021
,,,,,,,,,,,,,,,0.83179,,,,,,,,,,,28716e87-e9d8-476a-9741-920bcf4c1a3a,3313,,"[60.5, 6.4]",3773571,79,,,,3.0466409,,Right Foot,,,"[41.6, 8.2]",,Ground Pass,,18.985521,,,,José Ignacio Martínez García,11298.0,,,,,,Recovery,2,From Throw In,Laureano Antonio Villa Suárez,11291.0,Left Center Forward,183,Real Valladolid,901,"['6868949b-c737-41b4-8fff-f29277512115', 'd995c30e-4b7d-48bd-a0dc-a6df2b1d1370']",14,,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:34:14.242,Pass,True,2020/2021
,,,,,,,,,,,,,,,1.36339,,,,,,,,,,,ee7c7672-3c6c-49ed-bbd5-b707e1dabba6,3316,,"[40.1, 8.3]",3773571,79,,,,2.645375,,Right Foot,,,"[24.4, 16.8]",,Ground Pass,,17.85329,,,,Rubén Alcaraz Jiménez,11300.0,,,,,,,2,From Throw In,José Ignacio Martínez García,11298.0,Left Back,183,Real Valladolid,901,['3e4640c8-19b3-465b-b50f-52098337c0ec'],16,,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:34:16.443,Pass,,2020/2021
,,,,,,,,,,,,,,,1.684769,,,,,,,,,,,c8bf6222-7afd-42b0-afac-5062ce9e925a,3319,,"[27.4, 16.8]",3773571,79,,,,-0.26807925,,Left Foot,,,"[59.8, 7.9]",,High Pass,,33.600147,,,,Sergio Guardiola Navarro,17027.0,,,,,,,2,From Throw In,Rubén Alcaraz Jiménez,11300.0,Left Center Back,183,Real Valladolid,901,['d9598777-4389-4f77-8678-89f8b8945f3e'],20,,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:34:20.128,Pass,,2020/2021
,,,,,,,,,,,,,,,3.048748,,,,,,,,,,,acf88326-f422-420e-8326-a833babdeaa4,3321,,"[59.8, 7.9]",3773571,79,,,,0.3077579,,Head,,,"[87.8, 16.8]",,Low Pass,,29.380436,,Incomplete,,Shon Zalman Weissman,29310.0,,,,,,,2,From Throw In,Sergio Guardiola Navarro,17027.0,Left Center Midfield,183,Real Valladolid,901,"['662fea02-7b47-49b1-b8a3-28eae4e8f878', '68f0f1b1-9890-4c60-83e0-b0ae23e9468a']",21,,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:34:21.813,Pass,,2020/2021
,,,,,,,,,,,,,,,2.621775,,,,,,,,,,,662fea02-7b47-49b1-b8a3-28eae4e8f878,3323,,"[32.3, 63.3]",3773571,79,,,,-2.330559,,Left Foot,,,"[5.7, 35.3]",,Ground Pass,,38.62072,,,,Marc-André ter Stegen,20055.0,,,,,,Recovery,2,Regular Play,Clément Lenglet,6826.0,Left Center Back,184,Barcelona,217,"['9b258270-aa84-48dc-ab35-c890cdfeab93', 'acf88326-f422-420e-8326-a833babdeaa4']",24,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:24.862,Pass,,2020/2021
,,,,,,,,,,,,,,,1.532185,,,,,,,,,,,347c02ba-d89a-4ebb-b594-82a6dc7bb425,3326,,"[6.7, 36.7]",3773571,79,,,,0.2374713,,Right Foot,,,"[22.4, 40.5]",,Ground Pass,,16.153328,,,,Sergio Busquets i Burgos,5203.0,,,,,,,2,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,184,Barcelona,217,['f82e6f14-b1ca-489b-ab50-64f8cdfe6c4a'],28,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:28.508,Pass,,2020/2021
,,,,,,,,,,,,,,,1.374364,,,,,,,,,,,27adc43a-1d19-4319-bf57-70e211425509,3328,,"[20.8, 39.7]",3773571,79,,,,2.049775,,Right Foot,,,"[8.7, 63.0]",,Low Pass,,26.254524,,,,Clément Lenglet,6826.0,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,184,Barcelona,217,['838c3f1c-0da0-4d4c-ae88-2ce582f0e2f5'],30,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:30.041,Pass,,2020/2021
