50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8f27e548-0db1-4897-afa1-2d021c582d1e,1,,,69238,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,19ba79e8-d8c5-4dce-b077-4ce4642bcc20,2,,,69238,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26221, 'name': 'Gustavo Adolfo Munúa Vera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26233, 'name': 'Manuel Gaspar Haro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 26680, 'name': 'Milan Stepanov'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26679, 'name': 'Manuel Torres Caturla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 25883, 'name': 'Juan Jesús Gutiérrez Robles'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 23792, 'name': 'Daniel Toribio Gutiérrez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 26249, 'name': 'Fernando Miguel Fernández Escribano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 26670, 'name': 'Nabil Baha'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 25859, 'name': 'Sérgio Paulo Barbosa Valente'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 26678, 'name': 'Victor Obinna Nsofor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Málaga,223,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a14bb118-958e-4476-87b1-77d9f75d47b9,3,,,69238,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['4a9f164c-568c-4948-9387-352abdff733b'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4a9f164c-568c-4948-9387-352abdff733b,4,,,69238,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['a14bb118-958e-4476-87b1-77d9f75d47b9'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,38ecb3fb-5e69-4a7b-bccf-08bbdfb6215e,1891,,,69238,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Málaga,223,['2fb0d163-d97d-43b3-851b-f4ed97d68e0c'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2fb0d163-d97d-43b3-851b-f4ed97d68e0c,1892,,,69238,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Málaga,223,['38ecb3fb-5e69-4a7b-bccf-08bbdfb6215e'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,,,0.590232,,,,,,,,,,,,,ed620026-e09f-4c24-94cc-8fcb5e1527ed,5,,"[61.0, 40.1]",69238,0,True,,,-2.0344439,,Right Foot,,,,"[59.3, 36.7]",,Ground Pass,,3.8013155,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Zlatan Ibrahimović,3672.0,Center Forward,2,Barcelona,217,['2fbba4a9-3c9e-45db-87d9-6cc64f02f6ff'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.750,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,0.689684,,,,,,,,,,,,,28dba526-ebaa-415e-85ea-4f41655b16d9,7,,"[58.8, 37.9]",69238,0,,,,2.1189198,,Left Foot,,,,"[53.0, 47.4]",,Ground Pass,,11.130589,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,2,Barcelona,217,['16efa80d-6bf2-4fd1-addb-1b71c295cae3'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.453,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,1.473952,,,,,,,,,,,,,97ebdc60-7d62-483f-a680-eba9cfe72870,11,,"[53.8, 45.3]",69238,0,,,,-1.6480832,,Right Foot,,,,"[51.5, 15.6]",,Ground Pass,,29.788923,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['7f2b1a0e-e9a6-40ee-8faf-a4b05e3b231f'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.211,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,1.261141,,,,,,,,,,,,,8c0505da-c76a-4cd3-b852-5c754a753fa9,14,,"[49.6, 15.9]",69238,0,,,,2.746291,,Right Foot,,,,"[35.7, 21.7]",,Ground Pass,,15.061541,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Wing,2,Barcelona,217,['14e091d1-3e19-4356-805a-ee58afc06204'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.589,Pass,,2009/2010
