50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,41c370df-e684-4c08-a70e-b1fe4ccfce25,1,,,,16157,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 13599, 'name': 'Carles Aleña Castillo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7aee1529-ec45-4df3-8e90-7305381f119e,2,,,,16157,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6590, 'name': 'Norberto Murara Neto'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11634, 'name': 'Cristiano Piccini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 6891, 'name': 'Ezequiel Marcelo Garay'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 6587, 'name': 'Antonio Latorre Grueso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5186, 'name': 'Denis Cheryshev'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 6401, 'name': 'Kevin Gameiro'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Valencia,207,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,90230d70-9d63-40aa-a70f-7a921552c687,3,,,,16157,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['c1665939-5715-4df2-86fb-e4df9bf42e88'],0,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c1665939-5715-4df2-86fb-e4df9bf42e88,4,,,,16157,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['90230d70-9d63-40aa-a70f-7a921552c687'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,435b8d6f-a95e-4211-bd8e-a40fdcf40a79,2121,,,,16157,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,86,Valencia,207,['755e66f6-4847-493a-b719-9447f0103102'],0,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,755e66f6-4847-493a-b719-9447f0103102,2122,,,,16157,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,86,Valencia,207,['435b8d6f-a95e-4211-bd8e-a40fdcf40a79'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,1.269367,,,,,,,,,,,,,,362d3a69-2625-46df-a727-53089dc0cf4b,5,,,"[61.0, 41.0]",16157,0,,,,,-2.8430936,,Right Foot,,,,"[48.0, 37.0]",,Ground Pass,,13.601471,,,Daniel Parejo Muñoz,6595.0,,,,,,Kick Off,1,From Kick Off,Kevin Gameiro,6401.0,Left Center Forward,2,Valencia,207,['41698dda-90cb-423f-8537-f3d12b6b7119'],0,,,,,,,,,,,,,,,,Valencia,207,00:00:00.985,Pass,,2018/2019
,,,,,,,,,,,,,,2.370726,,,,,,,,,,,,,,302e403b-2d2e-494b-8f72-965457431610,8,,,"[47.0, 38.0]",16157,0,,,,,0.8577355,,Right Foot,,,,"[79.0, 75.0]",,High Pass,,48.9183,,,Daniel Wass,6797.0,,,,,,,1,From Kick Off,Daniel Parejo Muñoz,6595.0,Left Center Midfield,2,Valencia,207,['d18704e7-cda4-4fd6-8947-3809902fe289'],3,,,,,,,,,,,,,,,,Valencia,207,00:00:03.309,Pass,,2018/2019
,,,,,,,,,,,,,,1.575839,,,,,,,,,,,,,,43856d9d-62bb-4214-8a55-dcbbb5f6f989,11,,,"[77.0, 72.0]",16157,0,,,,True,-0.57133746,,,,,,"[91.0, 63.0]",,High Pass,,16.643316,Incomplete,,Rodrigo Moreno Machado,5718.0,,,,,,,1,From Kick Off,Daniel Wass,6797.0,Right Midfield,2,Valencia,207,"['43d20470-1192-4c0a-82a6-164802245bba', '54a972cb-3652-4d75-9fd7-377396fa7d83', 'c3472bd2-5c64-4457-ac20-2b17d0e44e30']",6,,,,,,,,,,,,,,,,Valencia,207,00:00:06.003,Pass,True,2018/2019
,,,,,,,,,,,,,,2.451151,,,,,,,,,,,,,,c3472bd2-5c64-4457-ac20-2b17d0e44e30,14,,,"[30.0, 18.0]",16157,0,,,,,-0.84781694,,Head,,,,"[45.0, 1.0]",,Low Pass,,22.671568,Out,,Sergi Roberto Carnicer,6379.0,,,,,,Recovery,1,From Kick Off,Thomas Vermaelen,6332.0,Left Center Back,2,Valencia,207,"['43856d9d-62bb-4214-8a55-dcbbb5f6f989', '504ae5e8-cb79-4a1c-8312-bb57d7ff3758']",7,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.578,Pass,,2018/2019
