50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,"[103.2, 74.5]",,,,,,,,,,,,1.30911,,,,,,,,,,,,,,3bf93e7e-002f-4df0-9c65-d9919e0da564,1895,,"[90.7, 76.7]",68356,53,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,115,Barcelona,217,"['6c92bea8-24c7-4630-9b59-dafa797214d1', 'db23406f-5acc-48a6-860c-bac69c1093fa', 'dc433d8d-53b1-4756-9176-663db66186ee']",7,,,,,,,,,,,,,,,,,Barcelona,217,00:08:07.049,Carry,True,2007/2008
,,,"[113.5, 58.6]",,,,,,,,,,,,3.367614,,,,,,,,,,,,,,4e30c83d-2b36-4cfa-b40d-6e3f90bcccbb,1899,,"[103.2, 74.5]",68356,53,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,115,Barcelona,217,"['1b021d39-35dc-4205-a28a-8c3856757512', '6c92bea8-24c7-4630-9b59-dafa797214d1', 'dc433d8d-53b1-4756-9176-663db66186ee', 'f2eeb92a-b3b7-4f51-b130-795cba948e59']",8,,,,,,,,,,,,,,,,,Barcelona,217,00:08:08.358,Carry,True,2007/2008
,,,"[108.5, 64.4]",,,,,,,,,,,,2.050846,,,,,,,,,,,,,,95a8ebcb-d9da-40a6-a642-0e8d5ef4812d,1904,,"[112.4, 59.1]",68356,53,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,115,Barcelona,217,"['3699cd78-2054-4fa0-85a2-485f3dab9fe2', '95966d30-d38c-40a0-8795-b6d8c82aadd9', 'e3e9f17f-2b64-4865-a919-9dc28fc3e1dd']",13,,,,,,,,,,,,,,,,,Barcelona,217,00:08:13.104,Carry,True,2007/2008
,,,"[115.8, 75.7]",,,,,,,,,,,,6.256872,,,,,,,,,,,,,,99ac5f8c-b761-4dfc-9e95-e52a19888f5e,1908,,"[115.7, 69.3]",68356,53,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Carles Puyol i Saforcada,20125.0,Right Back,115,Barcelona,217,"['10cb2bb3-4567-47b6-b9fc-7afd4a60333e', '37ee12e6-ddaf-49c7-b126-1d7134534c05', '5e883332-5bb2-4e9b-9ca2-0aa0478aa6a4', '8bbccca6-064c-4ab1-a272-4046966c02ed']",16,,,,,,,,,,,,,,,,,Barcelona,217,00:08:16.810,Carry,True,2007/2008
,,,"[117.0, 75.7]",,,,,,,,,,,,0.893687,,,,,,,,,,,,,,2534b7d4-2212-47cb-bec2-92ba5ce3a81e,1911,,"[115.8, 75.7]",68356,53,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Carles Puyol i Saforcada,20125.0,Right Back,115,Barcelona,217,"['37ee12e6-ddaf-49c7-b126-1d7134534c05', '5e883332-5bb2-4e9b-9ca2-0aa0478aa6a4', 'da2df212-7a3b-4a25-b350-0b4f8e3f0dee']",23,,,,,,,,,,,,,,,,,Barcelona,217,00:08:23.067,Carry,True,2007/2008
,,,"[100.3, 71.9]",,,,,,,,,,,,0.80012,,,,,,,,,,,,,,33d5ae96-9b8e-465a-a197-0b07b0c4760c,1916,,"[100.5, 71.9]",68356,53,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,116,Barcelona,217,"['18ef7fa5-fe0f-4f6a-b3f3-0d81a1a7b440', '2dc501d9-62ab-4d4c-b6e2-38fc340c1b64', '589c1e16-086a-438f-93a4-42cf38e247b3']",40,,,,,,,,,,,,,,,,,Barcelona,217,00:08:40.384,Carry,True,2007/2008
,,,"[105.6, 75.5]",,,,,,,,,,,,0.262255,,,,,,,,,,,,,,a47041cd-c88c-441c-b481-fe75be7caff4,1920,,"[106.6, 75.5]",68356,53,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Carles Puyol i Saforcada,20125.0,Right Back,116,Barcelona,217,"['089526dc-fa14-4060-8130-00f102d7fc25', '695b3d1c-7115-4860-a865-2648dad581b0', 'e4a55706-c444-4464-a3c9-724bc7ff8f06']",42,,,,,,,,,,,,,,,,,Barcelona,217,00:08:42.318,Carry,True,2007/2008
,,,"[36.2, 21.9]",,,,,,,,,,,,2.590885,,,,,,,,,,,,,,78c1c559-1a82-4911-86b9-4c49ef656b1b,1925,,"[22.6, 25.8]",68356,53,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Marc Torrejón Moya,26163.0,Right Center Back,117,Espanyol,214,"['0dbeb835-57f9-402e-9c30-99d6b690cecb', '7c92c983-7b10-4ef3-b801-65806c13a755']",51,,,,,,,,,,,,,,,,,Espanyol,214,00:08:51.374,Carry,,2007/2008
,,,"[57.2, 25.7]",,,,,,,,,,,,4.047346,,,,,,,,,,,,,,5bb59286-88c3-4bb7-832c-4f6e8804bdf4,1928,,"[58.9, 5.2]",68356,53,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Raúl Tamudo Montero,26109.0,Left Center Forward,117,Espanyol,214,"['0c650662-eea1-4ab8-9f54-289df7f3083f', '58606823-7228-431a-bca3-787af1864115', 'b9b98875-1e20-44e7-8faf-13ba67d382f4']",55,,,,,,,,,,,,,,,,,Espanyol,214,00:08:55.023,Carry,True,2007/2008
,,,"[92.8, 78.3]",,,,,,,,,,,,5.015381,,,,,,,,,,,,,,daef6f5b-f289-462c-9da1-f4af5b7a1b92,1936,,"[87.1, 76.9]",68356,54,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Valmiro Lópes Rocha,25872.0,Right Midfield,118,Espanyol,214,"['0ca2f3d2-a523-4d85-97e2-8a920677e558', '6ebc7697-c9d3-40e2-b64a-71fa0107e184']",8,,,,,,,,,,,,,,,,,Espanyol,214,00:09:08.996,Carry,,2007/2008
,,,"[103.4, 59.5]",,,,,,,,,,,,0.1783,,,,,,,,,,,,,,c140f2bf-8fb6-400d-9843-e56ec5f356c7,1941,,"[105.1, 61.2]",68356,54,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Valmiro Lópes Rocha,25872.0,Right Midfield,118,Espanyol,214,"['267d0ea9-6df7-43cb-8d33-f3e6666cc17f', '6d0b5f56-a980-407d-a836-a3655b1f9ecf']",15,,,,,,,,,,,,,,,,,Espanyol,214,00:09:15.893,Carry,,2007/2008
,,,"[99.6, 55.7]",,,,,,,,,,,,0.661059,,,,,,,,,,,,,,c997e5df-4d4c-41f7-8664-eb0d6937e6ca,1946,,"[99.6, 55.7]",68356,54,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Ángel Martínez Cervera,26160.0,Right Center Midfield,118,Espanyol,214,"['323e158c-cfb4-4381-84dc-5b9fc2ff8044', '8fb38c23-a3ac-4fe0-91b3-b4f4f004d1b6']",17,,,,,,,,,,,,,,,,,Espanyol,214,00:09:17.568,Carry,,2007/2008
,,,"[102.9, 59.7]",,,,,,,,,,,,0.604378,,,,,,,,,,,,,,0f73555d-db74-45d5-b887-981d952932ef,1949,,"[104.5, 61.5]",68356,54,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Pablo Javier Zabaleta Girod,3052.0,Right Back,118,Espanyol,214,"['7832f8bf-add6-430c-abf6-50d62fefe1a0', 'ca0fc4d2-bee9-43ef-a725-be87986eb70e']",19,,,,,,,,,,,,,,,,,Espanyol,214,00:09:19.025,Carry,,2007/2008
,,,"[99.9, 67.5]",,,,,,,,,,,,3.629349,,,,,,,,,,,,,,5ff85076-c864-4ac7-922e-bf85b35b2591,1954,,"[104.9, 67.7]",68356,54,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Valmiro Lópes Rocha,25872.0,Right Midfield,118,Espanyol,214,"['77ac8d4e-c481-4fe1-bddd-5e15133c1d2c', 'a48694ac-aefa-4c9f-835a-a3034a49c8f0']",21,,,,,,,,,,,,,,,,,Espanyol,214,00:09:21.987,Carry,,2007/2008
,,,"[110.9, 61.5]",,,,,,,,,,,,0.326958,,,,,,,,,,,,,,06d67524-2a6f-49d9-a57d-4dd6b342145c,1958,,"[108.5, 59.1]",68356,54,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Pablo Javier Zabaleta Girod,3052.0,Right Back,118,Espanyol,214,"['16c744bc-b2ce-4304-9f7a-070a0c4d829d', '8e4b8436-ded6-4181-9ae7-86073dcfd499', 'a2947d59-9dc8-4d3c-92c7-cdf11f09dfd6']",26,,,,,,,,,,,,,,,,,Espanyol,214,00:09:26.392,Carry,True,2007/2008
,,,"[41.0, 44.3]",,,,,,,,,,,,6.714297,,,,,,,,,,,,,,c2fafd3a-dc6b-4233-afc3-f330fabfce2d,1965,,"[36.2, 44.3]",68356,54,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Idriss Carlos Kameni,26103.0,Goalkeeper,119,Espanyol,214,"['c1ed8299-bd73-4f57-b281-bcd3c19c4369', 'fc07857d-090b-4d13-84a3-3f184bff0849']",52,,,,,,,,,,,,,,,,,Espanyol,214,00:09:52.850,Carry,,2007/2008
,,,"[36.4, 74.0]",,,,,,,,,,,,1.104758,,,,,,,,,,,,,,6c07cad7-b007-473c-9489-98b76822a5bf,1971,,"[38.8, 74.8]",68356,55,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,119,Espanyol,214,"['06215914-0700-4b8a-98b8-45d9c978fbe6', '08a6532b-fc2c-43dc-b25b-b4931f51791a', 'bb78d316-4b98-48d0-af9f-e35c00457c4e']",5,,,,,,,,,,,,,,,,,Barcelona,217,00:10:05.068,Carry,True,2007/2008
