ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.824649,,,,,,,,,,,,,ce807385-8f4f-4aee-b9dd-07863c17dc19,18,,"[34.0, 52.9]",266015,0,,,,,-2.9289477,,Right Foot,,,,"[7.6, 47.2]",,Ground Pass,,27.008331,,,,,Daniel Hernández Santos,24264.0,,,,,,1,From Kick Off,Henrique Sereno Fonseca,26692.0,Right Center Back,2,Real Valladolid,901,"['4a19f027-5bdf-4431-94e5-bdc99414b843', '71a34cc9-3df0-4570-bfba-14335ab71aad']",9,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:09.440,Pass,True,2012/2013
,,,,,,,,,,,,,,,,3.450516,,,,,,,,,,,,,1676f159-497c-4245-96b9-f92406f9c541,21,,"[8.3, 47.2]",266015,0,,,,,1.0589932,,Right Foot,,,,"[26.5, 79.6]",,High Pass,,37.161808,,,Out,,,,,,,,,1,From Kick Off,Daniel Hernández Santos,24264.0,Goalkeeper,2,Real Valladolid,901,,11,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:11.347,Pass,,2012/2013
,,,,,,,,,,,,,,,,0.523502,,,,,,,,,,,,,578e9788-b898-40c6-8364-94e9561effee,22,,"[95.9, 1.0]",266015,0,,True,,,2.158799,,,,,,"[89.9, 10.0]",,Low Pass,,10.816654,,,,,Thiago Alcântara do Nascimento,5208.0,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['dfa6dd4c-1bba-416c-b2e0-0e4e549cdf54'],23,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.777,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.10871,,,,,,,,,,,,,bf8aa464-ee13-4798-a93d-02a1a3ad7adb,24,,"[89.9, 10.0]",266015,0,,,,,-2.0583916,,Right Foot,,,,"[86.4, 3.4]",,Ground Pass,,7.470609,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,3,Barcelona,217,['db552629-000b-4f37-b4fb-79b628303b85'],24,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.795,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.367618,,,,,,,,,,,,,305feabc-3f61-453d-8980-36d3a9d170b5,32,,"[49.0, 69.4]",266015,0,,,,,-2.4172297,,Left Foot,,,,"[29.9, 52.5]",,Ground Pass,,25.503334,,,,,Henrique Sereno Fonseca,26692.0,,,,,,1,From Throw In,Lluis Sastre Reus,19396.0,Right Center Midfield,3,Barcelona,217,['88dd4483-bcbf-47c8-919d-7240cfd0d51b'],31,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:31.341,Pass,,2012/2013
,,,,,,,,,,,,,,,,3.0783,,,,,,,,,,,,,658c2b73-f3dc-4f14-b61d-9c0f0195ac96,35,,"[29.9, 52.5]",266015,0,,,,,0.47018346,,Right Foot,,,,"[60.4, 68.0]",,High Pass,,34.21257,,,Incomplete,,Alberto Bueno Calvo,6879.0,,,,,,1,From Throw In,Henrique Sereno Fonseca,26692.0,Right Center Back,3,Barcelona,217,"['6ee62fb7-4764-43a3-84f0-6c4a68ebb28c', 'f3b65489-88ed-42c0-88ca-0b761d77333f']",32,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:32.800,Pass,,2012/2013
,,,,,,,,,,,,,,,,2.2671,,,,,,,,,,,,,6ee62fb7-4764-43a3-84f0-6c4a68ebb28c,37,,"[60.6, 13.0]",266015,0,,,,,0.31514272,,Head,,,,"[87.9, 21.9]",,High Pass,,28.714108,,,Incomplete,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,Recovery,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,"['04602db6-b4ce-422e-be23-a0bb756188d7', '5466a1ae-a3d0-4f66-9fd5-7fa958b5ce10', '658c2b73-f3dc-4f14-b61d-9c0f0195ac96']",35,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.879,Pass,,2012/2013
,,,,,,,,,,,,,,,,2.182326,,,,,,,,,,,,,a5b972ba-ec12-4d46-abc2-5c92507076ac,43,,"[66.3, 14.8]",266015,0,,True,,,2.0277774,,Left Foot,,,,"[51.5, 44.9]",,Low Pass,,33.541763,,,,,Gerard Piqué Bernabéu,5213.0,,,,,Free Kick,1,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,4,Barcelona,217,['1af6d50f-ebfb-42fe-9e60-9efb648580fe'],49,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.404,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.356693,,,,,,,,,,,,,16c6d8b6-23d8-4014-a0c7-610d53c2a3df,45,,"[50.9, 53.8]",266015,0,,,,,1.2364237,,Right Foot,,,,"[58.3, 75.1]",,Ground Pass,,22.548836,,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,['48e47cfc-b994-4d65-80eb-97bbe9b83ca0'],53,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.117,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.1314,,,,,,,,,,,,,cab6b3b1-e0e1-4263-a2b6-6e142b1ef7be,48,,"[57.7, 73.3]",266015,0,,,,,-1.3290435,,Right Foot,,,,"[63.1, 51.4]",,Ground Pass,,22.555931,,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['5e4076a9-1414-4a7b-872f-6143efd090b2'],55,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.661,Pass,,2012/2013
