50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.435817,,,,,,,,,,,,d9722dec-0332-4d30-a0b4-28d25eedbfd8,18,,"[33.3, 29.5]",16095,0,,,,,-1.0618234,,Right Foot,,,,"[43.4, 11.4]",,Ground Pass,,20.727276,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Thomas Vermaelen,6332.0,Left Center Back,2,Barcelona,217,['98b6f1a8-b053-429b-83a9-c2e9e589ad80'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.548,Pass,,2018/2019
,,,,,,,,,,,,,,,,,0.770384,,,,,,,,,,,,4bcac743-a6d5-4781-93f9-08e12c0f2b6c,21,,"[43.4, 11.4]",16095,0,,,,,3.029482,,Left Foot,,,,"[28.3, 13.1]",,Ground Pass,,15.195394,,,,Thomas Vermaelen,6332.0,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Wing Back,2,Barcelona,217,['99a23b54-0bf5-4cb6-b3d5-d0988e20da19'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.601,Pass,,2018/2019
,,,,,,,,,,,,,,,,,2.04392,,,,,,,,,,,,f05f0071-1835-47a1-a29b-44a096539297,25,,"[28.6, 8.4]",16095,0,,,,,0.23268671,,Left Foot,,,,"[67.0, 17.5]",,High Pass,,39.463528,,Incomplete,,,,,,,,,,1,From Kick Off,Thomas Vermaelen,6332.0,Left Center Back,2,Barcelona,217,"['00dec190-b9da-48ed-93c7-941c60ad546c', 'b7d024b5-265d-4e78-987d-df4ae0ecaaba']",11,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.436,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,2.383661,,,,,,,,,,,,00dec190-b9da-48ed-93c7-941c60ad546c,26,,"[53.1, 62.6]",16095,0,,,,,1.4532847,,Head,,,,"[54.8, 77.0]",,Low Pass,,14.5,,,,José Ángel Gómez Campaña,6688.0,,,,,,Recovery,1,From Kick Off,Erick Cathriel Cabaco Almada,6809.0,Right Center Back,2,Barcelona,217,"['cf70b578-dc46-409c-be81-69a22400d0f2', 'f05f0071-1835-47a1-a29b-44a096539297']",13,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:13.480,Pass,,2018/2019
,,,,,,,,,,,,,,,,,0.866045,,,,,,,,,,,,64f1f5a7-03a7-4f80-85a3-b545de5bb7ed,29,,"[55.3, 75.4]",16095,0,,,,,0.05258306,,Right Foot,,,,"[64.8, 75.9]",,Ground Pass,,9.513149,,Incomplete,,Rubén Rochina Naixes,6680.0,,,,,,,1,From Kick Off,José Ángel Gómez Campaña,6688.0,Right Defensive Midfield,2,Barcelona,217,"['31f79e5c-bd21-44dd-abb3-e3c19b98f720', '746ce985-c580-4dc8-aa05-1d31419bad5d']",16,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:16.680,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.058661,,,,,,,,,,,,31f79e5c-bd21-44dd-abb3-e3c19b98f720,31,,"[55.3, 4.2]",16095,0,,,,,0.90675014,,Left Foot,,,,"[58.9, 8.8]",,Ground Pass,,5.841233,,,,Sergio Busquets i Burgos,5203.0,,,,,,Recovery,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Wing Back,2,Barcelona,217,"['64f1f5a7-03a7-4f80-85a3-b545de5bb7ed', 'd6bbf6b6-9444-4e1e-9a84-5b9699f325cf']",17,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.546,Pass,,2018/2019
,,,,,,,,,,,,,,,,,0.819605,,,,,,,,,,,,6b5e3e60-bd0e-4592-b6bf-98e592d72c04,35,,"[59.6, 10.0]",16095,0,,,,,1.6796539,,Left Foot,,,,"[57.6, 28.3]",,Ground Pass,,18.408966,,,,Ivan Rakitić,5470.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,"['b2de4ac5-ac1d-4c2a-8504-67f1e93d0241', 'e5f5b636-cdcf-4e2d-b701-83b7d4d69d30']",18,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.776,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,0.99918,,,,,,,,,,,,e64f456f-0b4c-4d38-9e72-c38373cacef9,38,,"[57.9, 28.5]",16095,0,,,,,1.0415496,,Right Foot,,,,"[64.1, 39.1]",,Ground Pass,,12.280066,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['2244e1de-7c27-4609-a6e2-71488f889922'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.307,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.050336,,,,,,,,,,,,fe3b0a21-a5a0-4b8d-97e9-523e28dbed5a,44,,"[39.1, 45.1]",16095,0,,,,,0.45106965,,Right Foot,,,,"[51.9, 51.3]",,Ground Pass,,14.222517,,,,Emmanuel Okyere Boateng,6678.0,,,,,,Recovery,1,Regular Play,José Ángel Gómez Campaña,6688.0,Right Defensive Midfield,3,Levante UD,221,['d5b01e2f-c241-4ce1-9772-ab772335bc10'],27,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:27.557,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.080909,,,,,,,,,,,,a9be400c-36f2-4427-adfb-d0b368d64785,47,,"[49.8, 59.7]",16095,0,,,,,2.0500069,,Right Foot,,,,"[44.5, 69.9]",,Ground Pass,,11.4947815,,,,David Remeseiro Salgueiro,6691.0,,,,,,,1,Regular Play,Emmanuel Okyere Boateng,6678.0,Right Center Forward,3,Levante UD,221,['9556dd52-b6f9-44c7-bde5-16d07b1e8fe2'],30,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:30.297,Pass,,2018/2019
